@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
20,229,97,194,van
18,156,64,205,van
19,175,74,197,van
18,163,69,197,van
20,170,79,191,van
20,176,70,197,van
20,170,73,194,van
20,169,74,193,van
19,200,91,196,van
17,140,69,194,van
18,161,69,195,van
18,154,65,204,van
20,171,73,195,van
18,160,63,207,van
18,154,69,196,van
18,166,73,196,van
20,173,76,192,van
19,167,67,201,van
17,141,64,208,van
18,156,63,210,van
18,157,67,201,van
18,160,81,184,van
19,163,64,206,van
17,147,64,207,van
20,176,76,192,van
19,168,70,200,van
20,173,75,192,van
18,161,62,208,van
18,164,78,185,van
20,173,77,192,van
17,143,79,185,van
18,168,70,201,van
19,177,74,196,van
18,161,67,204,van
20,170,76,193,van
19,160,63,207,van
17,140,61,207,van
18,150,63,210,van
18,157,69,192,van
17,135,74,190,van
17,141,72,190,van
20,169,74,192,van
18,153,66,202,van
20,175,77,193,van
17,143,65,199,van
18,162,80,183,van
18,155,66,196,van
20,179,75,194,van
17,135,72,194,van
20,176,70,200,van
18,163,71,195,van
18,148,66,200,van
19,171,72,198,van
19,161,64,207,van
19,168,70,200,van
18,157,74,185,van
17,135,86,183,van
17,137,80,185,van
18,149,61,208,van
17,136,89,184,van
17,134,64,202,van
20,180,75,197,van
20,168,77,191,van
18,162,73,191,van
18,168,73,196,van
19,166,65,205,van
18,167,71,196,van
17,147,66,198,van
18,161,68,201,van
20,170,76,193,van
18,147,62,209,van
20,170,76,193,van
18,159,65,203,van
18,156,71,190,van
18,159,68,202,van
19,272,118,194,van
19,171,72,196,van
18,167,72,193,van
17,139,81,184,van
19,170,72,199,van
18,160,69,194,van
19,172,72,200,van
19,159,85,183,van
19,174,75,196,van
18,159,62,209,van
18,145,84,183,van
18,158,67,201,van
18,158,78,183,van
18,168,78,187,van
18,162,67,202,van
18,142,87,183,van
20,169,76,192,van
20,176,71,196,van
19,173,71,200,van
18,164,79,185,van
17,140,78,186,van
20,170,73,195,van
18,166,73,188,van
17,149,62,210,van
20,173,68,202,van
20,171,78,191,van
18,154,62,208,van
20,179,75,195,van
17,144,85,184,van
18,153,62,209,van
20,173,67,200,van
17,138,82,183,van
20,178,75,194,van
18,160,80,184,van
20,166,74,193,van
19,165,67,203,van
20,174,68,199,van
18,169,71,199,van
