@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,10-11,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
93,82,159,143,160,van
84,75,153,145,175,bus
83,54,119,125,143,saab
93,66,154,128,162,opel
106,98,176,171,235,saab
81,68,125,146,169,bus
96,98,161,175,226,opel
89,89,147,145,170,van
86,60,115,132,141,van
84,66,154,144,168,bus
100,100,209,147,231,opel
97,88,173,157,173,van
86,75,136,163,170,van
81,63,125,145,166,bus
100,85,164,163,176,van
110,103,223,169,280,bus
103,91,179,170,220,opel
93,84,150,165,171,van
102,106,221,164,228,saab
90,86,169,131,194,opel
81,72,139,146,180,bus
90,78,134,167,169,van
89,77,172,125,174,opel
86,65,116,141,175,bus
82,68,150,144,169,bus
86,66,129,136,154,opel
116,110,231,165,231,saab
98,66,130,138,160,van
89,81,246,160,200,van
93,83,142,155,180,van
94,88,179,131,188,saab
89,80,169,131,186,saab
109,103,205,175,229,saab
87,73,158,138,175,bus
101,106,188,164,256,bus
97,101,210,151,208,opel
89,81,156,149,187,opel
88,71,145,143,159,opel
96,77,160,150,161,van
86,71,155,144,167,bus
89,70,158,143,164,bus
96,74,183,127,178,bus
84,70,145,134,159,van
99,91,226,148,234,bus
104,105,168,162,220,saab
89,74,135,158,170,van
81,68,139,145,172,bus
78,70,147,145,169,bus
104,100,201,173,224,saab
91,72,133,132,170,saab
95,92,159,157,176,van
101,105,182,177,221,opel
101,103,212,156,215,opel
113,93,197,165,221,saab
96,87,169,149,167,van
109,103,210,172,229,saab
92,82,170,149,181,opel
84,66,138,132,144,opel
90,83,178,132,199,opel
98,68,136,144,159,van
102,101,213,157,214,opel
105,105,184,168,224,saab
100,88,190,155,186,saab
85,66,125,145,170,bus
110,109,199,169,272,bus
100,92,197,143,200,saab
96,83,177,152,195,opel
110,102,201,171,222,saab
97,88,184,140,192,saab
96,74,202,149,185,bus
105,108,234,168,226,saab
86,77,144,127,179,opel
109,104,199,162,220,saab
97,75,188,129,199,bus
111,103,199,156,223,saab
88,64,151,142,150,van
87,98,211,141,214,opel
115,100,203,165,229,saab
85,66,120,145,168,bus
88,80,147,144,169,van
84,60,128,130,148,opel
93,84,205,152,190,bus
104,101,206,161,207,opel
108,109,204,159,229,saab
89,84,163,159,173,van
