@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
37,51,56,138,213,7,183,van
44,84,44,176,351,7,195,van
39,68,52,159,251,4,187,van
35,70,53,147,237,4,207,van
45,91,45,166,334,18,205,van
39,76,48,156,281,3,209,van
44,90,44,170,348,9,203,van
38,58,57,140,208,9,186,van
43,70,51,159,253,1,194,van
39,82,46,164,308,13,201,van
35,66,50,159,258,8,201,van
37,69,48,163,284,1,195,van
41,62,52,149,246,13,208,van
37,52,58,135,196,11,190,van
40,58,54,146,225,7,206,van
46,78,45,168,323,13,200,van
48,87,43,179,363,4,195,van
42,68,52,154,246,14,196,van
44,70,49,168,273,10,187,van
48,75,43,170,371,3,192,van
34,58,52,148,243,4,206,van
41,66,53,159,237,3,194,van
45,87,44,167,351,9,201,van
38,70,47,162,296,4,202,van
35,66,52,148,246,6,200,van
46,75,43,173,369,0,192,van
38,76,47,167,301,5,196,van
47,75,44,168,358,1,191,van
49,87,43,179,363,4,194,van
46,85,42,176,387,18,196,van
40,59,52,145,250,12,183,van
45,81,46,164,313,11,202,van
39,58,57,140,204,7,194,van
36,66,56,140,212,1,190,van
44,78,46,168,305,1,201,van
35,64,57,138,200,1,203,van
42,85,44,173,345,8,197,van
46,80,43,169,366,17,193,van
36,68,50,153,265,6,209,van
37,60,56,141,209,2,190,van
45,71,46,171,307,2,196,van
39,60,55,140,212,7,207,van
41,64,51,161,249,6,201,van
35,58,55,142,222,6,203,van
48,84,44,171,354,8,195,van
38,66,51,160,251,3,194,van
48,78,43,169,366,1,192,van
39,68,51,164,261,4,186,van
47,81,44,170,352,6,193,van
42,64,51,150,253,3,210,van
45,66,47,168,294,3,196,van
42,64,51,164,262,16,185,van
42,85,44,168,347,11,204,van
44,85,43,176,363,5,195,van
40,66,54,145,225,7,208,van
45,80,45,169,324,1,199,van
38,66,52,158,253,11,183,van
43,81,45,200,332,5,196,van
40,70,50,162,269,10,183,van
48,85,43,175,375,3,195,van
47,83,43,229,364,0,194,van
42,64,50,157,265,7,201,van
44,80,44,166,349,5,193,van
45,82,43,170,362,10,193,van
42,64,49,163,268,7,201,van
34,62,54,141,223,2,208,van
48,78,43,172,374,2,193,van
36,66,50,154,265,9,208,van
48,78,43,173,370,10,192,van
37,76,51,157,256,0,192,van
42,66,51,162,254,10,191,van
46,88,43,173,354,14,202,van
39,62,57,137,203,7,204,van
37,72,50,161,262,2,195,van
44,66,48,166,280,1,194,van
42,89,44,170,338,11,199,van
40,55,53,142,249,0,183,van
44,88,43,173,367,14,202,van
43,70,49,164,282,4,185,van
43,85,43,173,356,5,196,van
36,70,50,153,266,2,202,van
41,75,49,164,284,5,185,van
40,66,50,159,277,12,183,van
42,70,53,156,240,5,190,van
40,82,45,165,319,9,206,van
45,80,46,161,316,5,207,van
45,88,43,173,365,8,200,van
37,70,53,156,238,2,190,van
39,57,51,155,261,12,182,van
40,77,46,168,314,0,200,van
46,88,44,173,339,15,199,van
39,77,48,159,289,8,209,van
44,72,48,159,283,9,203,van
43,78,48,156,281,17,210,van
41,62,52,158,247,5,186,van
39,57,58,134,195,17,202,van
41,84,45,170,330,9,199,van
41,82,46,160,309,6,207,van
46,74,44,170,356,12,191,van
46,91,43,172,358,15,200,van
43,68,48,161,285,6,201,van
45,73,46,173,307,2,199,van
45,85,44,170,357,17,195,van
40,60,56,143,209,10,199,van
41,63,55,148,223,12,188,van
47,85,43,320,354,12,196,van
40,53,53,142,247,8,183,van
44,84,46,163,312,10,206,van
46,84,43,173,368,1,197,van
35,47,57,136,203,5,184,van
49,85,43,173,365,1,192,van
36,60,56,139,211,6,198,van
38,70,53,157,243,0,185,van
42,66,54,147,227,8,198,van
46,82,43,180,371,2,194,van
39,78,48,157,290,4,208,van
44,85,43,167,355,3,202,van
46,90,43,170,363,17,200,van
47,85,44,175,349,13,197,van
40,73,49,166,275,0,188,van
35,44,57,139,208,6,183,van
48,83,43,177,357,4,196,van
36,51,57,139,207,13,184,van
41,82,46,163,314,4,207,van
43,82,43,176,359,1,197,van
47,73,42,172,376,11,191,van
43,76,44,173,339,2,200,van
45,73,46,169,305,10,199,van
37,62,55,143,218,0,185,van
43,70,48,231,289,4,199,van
44,76,44,163,352,12,193,van
36,68,52,155,242,1,196,van
41,66,50,160,275,7,184,van
48,77,44,169,354,1,191,van
48,83,42,176,379,6,197,van
47,88,43,176,371,12,198,van
42,66,50,163,268,6,197,van
37,70,48,159,280,11,202,van
49,87,43,178,366,5,194,van
37,53,55,141,221,7,183,van
43,84,44,174,350,6,196,van
40,79,46,168,311,8,197,van
46,85,44,169,339,0,204,van
37,51,57,135,207,8,183,van
46,76,42,175,381,8,193,van
45,81,44,200,347,9,192,van
41,80,45,169,318,4,197,van
36,68,47,166,291,7,196,van
47,81,45,171,325,0,198,van
41,84,45,172,330,4,200,van
39,64,52,160,258,7,184,van
47,85,44,172,355,7,195,van
47,85,43,179,355,1,196,van
49,82,43,176,367,10,192,van
47,80,43,175,369,1,193,van
44,78,47,160,300,19,207,van
47,85,42,177,389,9,195,van
50,84,44,171,351,5,191,van
37,70,49,156,278,0,205,van
48,86,44,272,346,0,194,van
43,88,45,165,326,1,207,van
38,74,49,167,278,7,193,van
47,85,43,179,354,2,196,van
47,85,44,175,345,4,197,van
46,77,44,171,351,7,191,van
41,79,46,165,309,4,203,van
42,64,50,157,264,7,201,van
45,85,43,177,362,12,193,van
35,60,52,147,246,1,209,van
46,73,43,170,373,0,193,van
46,92,42,176,372,7,200,van
39,58,52,154,255,6,182,van
36,64,49,161,279,2,204,van
44,69,49,165,272,3,191,van
45,83,43,180,364,1,197,van
39,77,47,161,294,15,208,van
45,85,43,174,367,1,199,van
47,84,44,169,354,5,192,van
40,62,52,149,241,13,210,van
46,83,41,185,382,10,191,saab
52,100,31,229,697,14,197,saab
37,80,43,180,353,6,195,saab
46,104,35,210,543,0,200,saab
47,81,39,196,425,4,198,saab
38,71,43,181,355,4,195,saab
52,101,35,208,527,14,202,saab
51,105,32,220,641,9,197,saab
45,81,41,180,383,11,199,saab
38,86,39,191,433,1,199,saab
52,100,33,218,583,10,198,saab
40,89,37,202,471,7,196,saab
45,100,33,214,586,8,200,saab
54,108,31,226,687,4,201,saab
36,83,47,163,298,0,200,saab
51,100,34,207,573,22,208,saab
54,98,31,229,696,1,199,saab
38,71,49,158,277,0,186,saab
39,72,46,170,314,9,189,saab
53,101,31,216,667,12,198,saab
38,58,46,163,319,12,183,saab
40,100,37,205,486,5,202,saab
43,72,42,174,360,15,209,saab
38,63,47,162,299,2,185,saab
47,88,38,197,452,0,202,saab
36,78,50,155,270,0,195,saab
36,85,41,187,385,9,203,saab
44,96,36,202,512,4,199,saab
46,81,40,189,415,13,207,saab
50,106,32,223,635,14,196,saab
48,104,33,221,604,8,197,saab
54,108,31,223,700,13,204,saab
43,69,43,175,349,12,198,saab
56,103,30,232,718,8,197,saab
