@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,11-12,15,18-19'

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
43,66,48,162,281,3,202,van
44,98,36,202,505,4,204,saab
55,103,32,227,624,6,194,opel
36,51,57,137,206,2,185,van
41,77,36,202,485,4,199,bus
56,104,26,275,956,5,184,bus
39,68,53,148,241,8,187,van
42,66,45,174,333,4,188,bus
55,101,30,231,748,6,195,opel
43,68,44,179,337,4,192,bus
38,60,58,135,194,14,194,van
46,105,34,212,575,0,205,opel
43,85,44,174,351,12,196,van
49,79,37,189,463,5,202,bus
42,80,44,171,331,3,199,van
52,101,33,219,610,17,206,opel
51,105,32,222,653,5,195,opel
48,94,36,200,494,20,203,opel
40,81,46,167,317,0,199,van
44,72,44,181,350,0,187,bus
44,77,44,175,344,8,187,saab
47,74,43,175,349,6,189,bus
36,73,41,184,374,2,204,bus
45,71,45,171,337,3,187,bus
54,109,31,226,675,11,202,saab
48,85,39,188,427,16,201,saab
36,63,50,158,260,3,201,van
55,102,27,265,870,10,183,bus
52,86,33,212,570,4,195,bus
48,107,32,227,635,5,203,saab
48,107,32,222,624,9,206,opel
52,104,33,217,589,12,201,opel
40,62,52,160,249,8,184,van
44,63,45,166,329,3,182,bus
44,82,45,170,332,10,193,opel
43,88,45,164,334,2,206,van
57,102,28,243,822,7,187,bus
51,88,32,222,625,8,190,bus
52,110,31,228,668,21,205,saab
49,96,35,202,519,3,205,opel
47,87,43,173,359,1,202,van
36,53,57,138,205,9,183,van
41,75,43,175,352,2,195,bus
53,108,32,216,627,21,205,saab
37,68,51,150,253,3,203,van
40,71,45,167,330,12,186,opel
50,88,35,209,517,12,201,opel
42,90,37,189,480,3,208,saab
40,73,44,173,342,11,187,opel
55,104,32,222,658,1,196,saab
46,78,43,170,367,5,194,van
54,98,31,219,706,5,196,opel
36,53,57,137,204,7,183,van
56,100,30,231,757,0,197,opel
53,100,30,229,710,21,199,saab
43,70,46,166,317,6,182,bus
42,75,45,174,322,22,211,opel
55,96,28,267,857,8,184,bus
37,74,42,183,378,3,197,saab
39,75,42,175,365,4,200,bus
39,89,38,200,458,11,195,saab
55,108,30,231,737,8,198,opel
38,74,49,160,282,9,191,opel
43,77,46,163,308,13,201,saab
42,60,46,169,324,2,182,bus
37,49,55,144,219,8,184,van
48,81,44,173,333,2,195,van
42,63,50,154,259,15,204,van
44,65,45,168,331,4,183,bus
41,66,46,164,318,19,185,saab
43,72,49,158,279,4,209,van
42,66,46,169,321,10,182,bus
35,52,55,139,220,5,184,saab
53,108,31,228,704,10,203,saab
52,110,30,235,711,10,198,opel
48,96,32,226,633,2,196,opel
57,102,26,287,968,2,184,bus
41,78,48,161,284,0,197,opel
40,78,38,197,455,3,200,saab
53,95,34,220,559,3,196,saab
38,78,39,197,430,9,199,saab
47,96,33,219,586,4,198,saab
55,103,30,221,709,10,197,saab
49,82,43,173,365,7,191,van
