@relation ecoli

@attribute Mcg numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
44,59,cp
38,39,cp
24,31,cp
51,26,cp
44,37,cp
37,45,cp
47,43,cp
44,54,cp
41,25,cp
2,57,cp
47,26,cp
5,34,cp
36,46,cp
4,0,cp
52,42,cp
41,31,cp
31,39,cp
17,39,cp
51,45,cp
48,35,cp
22,47,cp
25,42,cp
25,29,cp
34,43,cp
44,2,cp
29,52,cp
35,43,cp
41,32,cp
29,39,cp
24,43,cp
59,36,cp
36,23,cp
67,46,cp
61,44,cp
29,34,cp
39,43,cp
34,44,cp
23,37,cp
34,41,cp
34,44,cp
17,46,cp
25,52,cp
43,52,cp
28,33,cp
36,54,cp
25,5,cp
0,55,cp
23,38,cp
37,36,cp
38,35,cp
47,25,cp
4,39,cp
16,37,cp
26,37,cp
27,39,cp
56,46,cp
23,43,cp
25,42,cp
34,46,cp
44,36,cp
65,4,cp
43,41,cp
31,14,cp
42,3,cp
36,41,cp
42,43,cp
52,54,cp
3,33,cp
23,59,cp
3,32,cp
51,43,cp
35,27,cp
57,33,cp
42,36,cp
53,36,cp
39,35,cp
24,34,cp
24,38,cp
61,41,cp
32,38,cp
51,41,cp
32,2,cp
4,42,cp
22,28,cp
29,34,cp
4,44,cp
34,44,cp
53,39,cp
43,39,cp
21,39,cp
44,58,cp
4,56,cp
4,27,cp
36,53,cp
5,53,cp
4,44,cp
37,47,cp
35,48,cp
34,35,cp
33,41,cp
41,41,cp
34,56,cp
17,5,cp
65,28,cp
7,44,cp
38,31,cp
25,36,cp
33,29,cp
44,43,cp
64,38,cp
42,27,cp
26,35,cp
4,33,cp
54,42,cp
23,35,cp
21,41,cp
25,42,cp
27,43,cp
3,49,cp
4,47,cp
43,44,cp
29,5,cp
28,42,cp
22,39,cp
49,35,cp
26,41,cp
18,35,cp
42,37,cp
72,7,im
5,66,im
71,99,im
63,71,im
41,78,im
6,83,im
39,75,im
58,74,im
43,78,im
44,54,im
48,71,im
7,83,im
34,9,im
52,79,im
16,48,im
34,8,im
63,86,im
71,74,im
33,69,im
54,83,im
31,82,im
48,88,im
48,8,im
47,79,im
63,66,im
2,81,im
7,73,im
3,34,im
35,74,im
52,73,im
6,71,im
4,84,im
69,79,im
47,75,im
61,88,im
55,8,im
33,89,im
45,77,im
61,32,im
37,79,im
27,79,im
74,89,im
31,94,im
58,81,im
73,92,im
46,87,im
74,69,im
36,72,im
6,37,im
83,74,im
5,92,im
61,52,im
46,23,im
12,74,im
63,84,im
89,76,im
0,44,im
34,79,im
31,85,im
49,81,im
36,17,im
12,63,im
51,67,im
59,82,im
54,88,im
23,89,im
1,21,im
5,69,im
68,78,im
29,69,im
85,35,imS
63,79,imS
75,3,imL
76,75,imU
84,74,imU
81,88,imU
62,81,imU
75,74,imU
88,75,imU
63,76,imU
49,74,imU
79,83,imU
57,33,imU
7,87,imU
81,68,imU
47,77,imU
72,79,imU
73,78,imU
87,79,imU
84,7,imU
64,76,imU
78,68,imU
77,74,imU
63,8,imU
76,62,imU
79,7,imU
69,77,imU
83,79,imU
58,76,imU
81,8,imU
79,68,imU
86,83,imU
66,74,imU
64,66,imU
86,9,imU
71,36,om
77,2,om
64,26,om
73,29,om
63,28,om
75,3,om
68,3,om
67,37,om
68,27,om
61,33,om
63,28,om
69,21,om
67,25,om
74,29,om
74,15,om
56,45,om
78,29,om
52,38,om
71,3,omL
68,28,omL
77,1,omL
67,16,omL
74,52,pp
63,2,pp
69,52,pp
7,85,pp
62,54,pp
63,49,pp
63,39,pp
57,33,pp
32,38,pp
71,32,pp
66,35,pp
63,19,pp
69,24,pp
67,38,pp
7,47,pp
69,25,pp
62,4,pp
63,35,pp
72,21,pp
64,38,pp
74,42,pp
74,36,pp
56,3,pp
66,36,pp
76,39,pp
67,23,pp
63,29,pp
68,34,pp
67,33,pp
71,39,pp
64,4,pp
75,33,pp
74,3,pp
63,34,pp
64,2,pp
59,37,pp
68,42,pp
7,43,pp
64,44,pp
74,41,pp
65,51,pp
64,19,pp
66,43,pp
61,38,pp
69,41,pp
73,31,pp
68,56,pp
