@relation ecoli

@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
25,35,cp
22,33,cp
27,37,cp
44,52,cp
32,35,cp
24,35,cp
52,59,cp
47,54,cp
31,41,cp
39,47,cp
19,31,cp
28,38,cp
37,46,cp
22,33,cp
32,42,cp
3,4,cp
16,28,cp
21,32,cp
37,46,cp
36,45,cp
38,4,cp
2,25,cp
28,38,cp
27,37,cp
36,45,cp
35,44,cp
46,54,cp
29,39,cp
3,4,cp
55,61,cp
18,3,cp
25,2,cp
45,53,cp
48,55,cp
28,39,cp
38,46,cp
28,39,cp
23,34,cp
28,38,cp
18,3,cp
27,27,cp
33,42,cp
26,37,cp
35,44,cp
51,57,cp
32,41,cp
26,36,cp
29,39,cp
37,28,cp
14,26,cp
22,33,cp
33,42,cp
26,36,cp
42,5,cp
34,43,cp
35,44,cp
4,48,cp
28,39,cp
31,41,cp
38,46,cp
29,39,cp
26,36,cp
49,56,cp
42,5,cp
3,27,cp
25,35,cp
5,14,cp
28,38,cp
47,54,cp
38,46,cp
37,46,cp
33,43,cp
45,36,cp
35,44,cp
24,35,cp
6,2,cp
42,5,cp
33,43,cp
34,43,cp
28,33,cp
25,35,cp
24,25,cp
52,59,cp
34,43,cp
2,31,cp
49,56,cp
45,52,cp
44,52,cp
46,53,cp
2,31,cp
31,41,cp
27,37,cp
39,47,cp
16,26,cp
28,39,cp
23,34,cp
15,27,cp
35,41,cp
39,47,cp
26,37,cp
33,42,cp
3,39,cp
22,0,cp
29,39,cp
41,49,cp
16,28,cp
37,46,cp
24,35,cp
29,39,cp
21,32,cp
44,51,cp
24,35,cp
35,38,cp
52,58,cp
11,23,cp
34,43,cp
3,4,cp
35,44,cp
38,43,cp
32,41,cp
31,41,cp
3,17,cp
17,29,cp
34,43,cp
32,41,cp
22,23,cp
22,29,cp
33,42,cp
33,42,cp
76,79,im
94,94,im
66,7,im
39,48,im
71,74,im
78,8,im
67,44,im
71,74,im
87,88,im
71,74,im
82,84,im
85,86,im
71,73,im
66,66,im
78,73,im
7,74,im
72,68,im
62,67,im
61,34,im
79,81,im
67,21,im
78,81,im
67,71,im
88,89,im
76,79,im
88,89,im
8,32,im
65,69,im
58,63,im
84,85,im
75,78,im
76,23,im
85,8,im
72,75,im
65,69,im
92,92,im
72,76,im
74,77,im
79,81,im
8,82,im
76,79,im
64,69,im
76,79,im
88,89,im
65,69,im
71,75,im
78,8,im
81,83,im
77,8,im
92,37,im
87,88,im
82,84,im
9,9,im
9,88,im
78,8,im
67,52,im
61,66,im
79,82,im
77,79,im
69,72,im
7,74,im
47,54,im
78,73,im
79,17,im
81,83,im
73,66,im
75,78,im
7,74,im
86,87,im
76,79,imS
52,35,imS
47,3,imL
82,84,imL
78,8,imU
71,75,imU
76,79,imU
74,77,imU
86,87,imU
76,79,imU
75,77,imU
61,66,imU
89,9,imU
78,74,imU
66,68,imU
81,83,imU
81,83,imU
73,75,imU
82,7,imU
64,68,imU
74,77,imU
77,8,imU
73,76,imU
71,74,imU
92,7,imU
73,68,imU
78,74,imU
72,76,imU
7,74,imU
77,79,imU
87,88,imU
73,76,imU
77,79,imU
67,68,imU
49,33,imU
45,27,om
4,29,om
36,45,om
43,36,om
33,33,om
33,26,om
53,2,om
53,29,om
54,15,om
5,25,om
59,52,om
54,37,om
41,28,om
38,38,om
4,3,om
39,21,om
54,33,om
57,3,om
55,28,omL
58,16,omL
59,3,omL
54,1,omL
56,36,omL
48,41,pp
52,33,pp
52,43,pp
68,3,pp
28,38,pp
49,54,pp
35,32,pp
51,49,pp
49,56,pp
7,2,pp
57,26,pp
42,37,pp
49,23,pp
47,51,pp
45,4,pp
53,52,pp
37,38,pp
39,38,pp
41,36,pp
42,25,pp
45,33,pp
57,42,pp
44,52,pp
51,31,pp
38,43,pp
84,85,pp
54,36,pp
51,47,pp
54,32,pp
55,21,pp
5,25,pp
49,41,pp
65,56,pp
39,19,pp
5,35,pp
39,39,pp
47,33,pp
4,48,pp
54,39,pp
36,4,pp
44,42,pp
36,38,pp
37,3,pp
39,2,pp
31,29,pp
47,34,pp
39,24,pp
