@relation ecoli

@attribute Mcg numeric
@attribute Lip numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
17,48,37,cp
17,48,42,cp
44,48,52,cp
23,48,53,cp
22,48,39,cp
25,48,33,cp
41,48,21,cp
35,48,4,cp
52,48,28,cp
29,48,38,cp
28,48,22,cp
26,48,32,cp
35,48,3,cp
49,48,3,cp
34,48,24,cp
4,48,27,cp
34,48,35,cp
24,48,23,cp
43,48,35,cp
52,48,36,cp
33,48,32,cp
42,48,15,cp
44,48,26,cp
4,48,29,cp
36,48,45,cp
27,48,38,cp
23,48,28,cp
42,48,34,cp
67,48,38,cp
36,48,32,cp
52,48,47,cp
56,48,37,cp
23,48,26,cp
51,48,32,cp
37,48,36,cp
27,48,28,cp
57,48,28,cp
51,48,14,cp
41,48,44,cp
23,48,33,cp
51,48,36,cp
29,48,44,cp
44,48,33,cp
3,48,18,cp
26,48,26,cp
61,48,35,cp
43,48,31,cp
39,48,34,cp
38,48,16,cp
51,48,31,cp
29,48,3,cp
3,48,22,cp
21,48,32,cp
18,48,24,cp
24,48,19,cp
29,48,23,cp
44,48,25,cp
42,48,26,cp
33,48,18,cp
29,48,29,cp
5,48,23,cp
25,48,17,cp
0,48,48,cp
43,48,28,cp
24,48,52,cp
32,48,6,cp
47,48,16,cp
39,48,24,cp
44,48,55,cp
29,48,42,cp
22,48,29,cp
47,48,33,cp
24,48,3,cp
35,48,34,cp
23,48,25,cp
36,48,22,cp
4,48,39,cp
7,48,35,cp
4,48,35,cp
34,48,37,cp
41,48,31,cp
54,48,33,cp
31,48,5,cp
34,48,34,cp
65,48,37,cp
34,48,35,cp
4,48,33,cp
34,48,31,cp
2,48,51,cp
38,48,29,cp
38,48,22,cp
49,48,24,cp
51,48,34,cp
64,48,35,cp
17,48,3,cp
53,48,26,cp
4,48,22,cp
31,48,28,cp
26,48,25,cp
32,48,28,cp
56,48,37,cp
4,48,49,cp
3,48,41,cp
48,48,25,cp
25,48,44,cp
29,48,23,cp
36,48,47,cp
25,48,33,cp
34,48,49,cp
61,48,35,cp
4,48,22,cp
42,48,27,cp
25,48,32,cp
3,48,11,cp
44,48,27,cp
37,48,42,cp
24,48,28,cp
43,48,45,cp
44,48,52,cp
34,48,35,cp
44,48,38,cp
24,48,34,cp
59,48,45,cp
41,48,24,cp
36,48,38,cp
25,48,42,cp
42,48,18,cp
53,48,29,cp
47,48,71,im
34,48,9,im
52,48,76,im
68,48,75,im
31,48,79,im
6,1,77,im
61,48,87,im
66,48,66,im
36,48,79,im
59,48,8,im
5,48,61,im
48,48,78,im
16,48,39,im
34,48,76,im
46,48,86,im
63,48,82,im
33,48,88,im
45,48,74,im
12,48,7,im
71,48,7,im
74,48,65,im
48,48,77,im
33,48,78,im
3,48,61,im
71,48,1,im
55,48,78,im
52,48,71,im
44,48,47,im
5,48,92,im
47,48,76,im
5,48,64,im
72,48,66,im
7,48,86,im
83,48,71,im
61,48,67,im
58,48,7,im
36,48,69,im
73,48,91,im
31,48,84,im
43,48,75,im
4,48,82,im
0,48,67,im
63,48,67,im
6,48,81,im
51,48,62,im
46,48,76,im
54,48,81,im
29,48,65,im
63,48,79,im
11,48,72,im
6,48,67,im
58,48,87,im
6,48,92,im
74,48,88,im
84,48,71,im
35,48,71,im
63,48,73,im
27,48,77,im
63,48,85,im
61,48,8,im
39,48,72,im
1,48,67,im
2,48,78,im
34,48,85,im
89,48,72,im
64,48,78,im
37,48,76,im
69,48,76,im
7,48,78,im
54,48,87,im
85,48,52,imS
7,1,82,imL
75,1,47,imL
86,48,89,imU
81,48,67,imU
57,48,49,imU
63,48,77,imU
64,48,73,imU
87,48,76,imU
62,48,79,imU
67,48,64,imU
83,48,76,imU
73,48,75,imU
66,48,7,imU
88,48,73,imU
84,48,78,imU
7,48,86,imU
49,1,71,imU
79,48,82,imU
76,48,59,imU
72,48,77,imU
58,48,73,imU
59,48,75,imU
81,48,87,imU
75,48,7,imU
78,48,73,imU
63,48,72,imU
84,48,92,imU
76,48,71,imU
81,48,78,imU
86,48,81,imU
79,48,66,imU
77,48,78,imU
79,48,81,imU
78,48,77,imU
69,48,39,om
65,48,54,om
56,48,36,om
63,48,41,om
71,48,43,om
68,48,4,om
75,48,57,om
78,48,4,om
74,48,53,om
77,48,53,om
52,48,38,om
63,48,45,om
74,48,54,om
68,48,45,om
67,48,54,om
73,48,58,om
6,1,59,om
67,48,5,om
71,1,59,omL
67,1,58,omL
68,1,55,omL
66,1,56,omL
72,48,55,pp
66,48,41,pp
67,48,42,pp
69,48,48,pp
67,48,49,pp
64,48,36,pp
63,48,47,pp
59,48,42,pp
63,48,7,pp
76,48,39,pp
57,48,47,pp
75,48,52,pp
32,48,28,pp
64,48,39,pp
63,48,31,pp
74,48,54,pp
71,48,35,pp
61,48,39,pp
74,48,53,pp
74,48,68,pp
68,48,65,pp
64,48,42,pp
71,48,54,pp
43,48,49,pp
74,48,57,pp
64,48,45,pp
62,48,49,pp
74,48,49,pp
69,48,44,pp
67,48,37,pp
56,48,37,pp
64,48,39,pp
69,48,57,pp
63,48,51,pp
62,48,36,pp
66,48,5,pp
63,48,44,pp
73,48,51,pp
7,48,84,pp
63,48,4,pp
68,48,44,pp
29,48,4,pp
71,48,54,pp
63,48,39,pp
67,48,45,pp
68,48,4,pp
7,48,51,pp
