@relation 'ecoli-weka.filters.unsupervised.attribute.Remove-V-R1,5,7-8'

@attribute Mcg numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
56,49,46,cp
51,46,35,cp
3,56,23,cp
38,48,29,cp
44,55,61,cp
29,45,17,cp
52,41,38,cp
24,54,59,cp
41,51,51,cp
29,48,46,cp
38,54,28,cp
24,38,4,cp
44,39,4,cp
49,49,4,cp
3,43,3,cp
84,48,74,im
33,33,8,im
64,48,73,im
66,59,66,im
63,65,81,im
6,54,8,im
11,58,68,im
7,51,84,imL
78,57,79,imU
59,64,77,imU
67,54,68,imU
65,66,33,om
6,77,52,om
66,54,36,omL
67,25,25,pp
71,4,32,pp
69,46,26,pp
29,52,48,pp
43,52,56,pp
