@relation ecoli

@attribute Mcg numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
52,36,cp
31,28,cp
36,22,cp
0,48,cp
34,35,cp
3,22,cp
35,4,cp
57,28,cp
25,33,cp
25,44,cp
25,42,cp
34,35,cp
29,3,cp
23,33,cp
64,35,cp
27,28,cp
24,3,cp
38,29,cp
37,36,cp
17,42,cp
56,37,cp
44,52,cp
29,38,cp
34,24,cp
54,33,cp
4,22,cp
29,42,cp
22,29,cp
42,27,cp
43,28,cp
21,32,cp
34,34,cp
49,3,cp
61,35,cp
38,16,cp
36,45,cp
28,22,cp
39,34,cp
47,16,cp
5,23,cp
41,31,cp
23,53,cp
35,3,cp
29,29,cp
24,23,cp
18,24,cp
41,44,cp
44,26,cp
52,28,cp
23,28,cp
26,32,cp
34,49,cp
31,5,cp
65,37,cp
4,35,cp
27,38,cp
44,38,cp
34,37,cp
53,26,cp
4,22,cp
32,28,cp
26,26,cp
44,33,cp
4,27,cp
51,14,cp
47,33,cp
44,55,cp
3,18,cp
36,38,cp
44,25,cp
17,3,cp
61,35,cp
24,19,cp
25,33,cp
4,33,cp
29,23,cp
36,47,cp
49,24,cp
35,34,cp
23,25,cp
42,34,cp
59,45,cp
56,37,cp
25,32,cp
22,39,cp
4,49,cp
38,22,cp
29,44,cp
33,18,cp
53,29,cp
24,34,cp
32,6,cp
34,35,cp
43,35,cp
24,28,cp
2,51,cp
44,27,cp
43,31,cp
7,35,cp
42,15,cp
48,25,cp
51,34,cp
33,32,cp
39,24,cp
44,52,cp
51,31,cp
42,18,cp
52,47,cp
36,32,cp
3,41,cp
29,23,cp
3,11,cp
67,38,cp
25,17,cp
37,42,cp
17,37,cp
4,39,cp
24,52,cp
26,25,cp
51,36,cp
51,32,cp
41,21,cp
41,24,cp
42,26,cp
43,45,cp
23,26,cp
4,29,cp
34,31,cp
47,76,im
43,75,im
55,78,im
29,65,im
45,74,im
34,9,im
48,77,im
46,76,im
71,1,im
34,76,im
5,64,im
54,87,im
39,72,im
51,62,im
61,87,im
63,73,im
58,87,im
89,72,im
31,79,im
6,92,im
61,8,im
52,71,im
83,71,im
63,85,im
27,77,im
74,88,im
33,78,im
5,92,im
68,75,im
52,76,im
58,7,im
6,77,im
3,61,im
63,67,im
74,65,im
69,76,im
36,69,im
44,47,im
1,67,im
31,84,im
6,67,im
63,82,im
59,8,im
54,81,im
7,86,im
66,66,im
35,71,im
73,91,im
48,78,im
5,61,im
63,79,im
61,67,im
33,88,im
16,39,im
7,78,im
37,76,im
6,81,im
71,7,im
4,82,im
11,72,im
2,78,im
47,71,im
64,78,im
84,71,im
0,67,im
36,79,im
34,85,im
46,86,im
72,66,im
12,7,im
85,52,imS
75,47,imL
7,82,imL
72,77,imU
64,73,imU
59,75,imU
81,67,imU
79,81,imU
66,7,imU
58,73,imU
76,71,imU
73,75,imU
49,71,imU
84,92,imU
86,81,imU
79,66,imU
67,64,imU
88,73,imU
78,77,imU
83,76,imU
63,72,imU
63,77,imU
77,78,imU
62,79,imU
76,59,imU
84,78,imU
81,78,imU
87,76,imU
79,82,imU
78,73,imU
75,7,imU
86,89,imU
81,87,imU
7,86,imU
57,49,imU
77,53,om
78,4,om
65,54,om
67,5,om
68,45,om
6,59,om
52,38,om
56,36,om
73,58,om
68,4,om
63,45,om
75,57,om
69,39,om
71,43,om
74,53,om
67,54,om
74,54,om
63,41,om
68,55,omL
67,58,omL
66,56,omL
71,59,omL
67,37,pp
56,37,pp
64,45,pp
63,39,pp
71,54,pp
68,4,pp
74,57,pp
76,39,pp
74,49,pp
71,54,pp
74,53,pp
74,54,pp
29,4,pp
69,57,pp
63,31,pp
67,49,pp
63,44,pp
74,68,pp
64,36,pp
71,35,pp
7,84,pp
61,39,pp
62,36,pp
7,51,pp
64,39,pp
67,45,pp
32,28,pp
68,65,pp
63,47,pp
68,44,pp
57,47,pp
75,52,pp
72,55,pp
63,7,pp
67,42,pp
63,4,pp
64,39,pp
73,51,pp
64,42,pp
43,49,pp
62,49,pp
63,51,pp
69,48,pp
69,44,pp
66,41,pp
59,42,pp
66,5,pp
