@relation ecoli

@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
46,54,cp
41,49,cp
52,58,cp
22,0,cp
31,41,cp
33,42,cp
26,36,cp
22,23,cp
52,59,cp
18,3,cp
36,45,cp
25,35,cp
26,36,cp
23,34,cp
28,39,cp
28,33,cp
11,23,cp
3,4,cp
42,5,cp
16,26,cp
31,41,cp
16,28,cp
28,39,cp
34,43,cp
17,29,cp
26,37,cp
44,52,cp
28,38,cp
38,43,cp
32,41,cp
22,33,cp
33,42,cp
3,17,cp
46,53,cp
34,43,cp
35,44,cp
33,42,cp
36,42,cp
39,47,cp
21,32,cp
22,33,cp
22,29,cp
18,3,cp
15,27,cp
32,41,cp
32,42,cp
45,36,cp
25,35,cp
39,47,cp
26,36,cp
33,42,cp
33,43,cp
38,4,cp
27,27,cp
49,56,cp
24,25,cp
3,27,cp
24,35,cp
53,59,cp
33,43,cp
29,39,cp
32,41,cp
34,43,cp
49,56,cp
35,44,cp
35,44,cp
5,14,cp
23,34,cp
23,34,cp
33,43,cp
47,54,cp
28,38,cp
34,43,cp
25,35,cp
42,5,cp
37,28,cp
16,28,cp
21,32,cp
28,38,cp
37,46,cp
3,39,cp
35,44,cp
34,43,cp
24,35,cp
47,54,cp
38,46,cp
2,25,cp
32,35,cp
23,34,cp
3,4,cp
4,48,cp
44,52,cp
2,31,cp
14,26,cp
38,46,cp
3,4,cp
36,45,cp
48,55,cp
28,39,cp
25,35,cp
31,41,cp
55,61,cp
24,35,cp
52,59,cp
27,37,cp
37,46,cp
2,31,cp
37,46,cp
35,44,cp
42,36,cp
45,53,cp
34,43,cp
38,46,cp
32,41,cp
28,38,cp
45,52,cp
29,39,cp
44,51,cp
28,39,cp
37,46,cp
25,2,cp
35,41,cp
18,29,cp
33,42,cp
35,44,cp
27,37,cp
51,57,cp
29,39,cp
42,5,cp
67,71,im
7,74,im
77,71,im
79,82,im
86,83,im
65,69,im
87,88,im
82,84,im
1,99,im
71,74,im
78,73,im
67,44,im
76,79,im
8,82,im
66,7,im
67,71,im
88,89,im
9,88,im
61,34,im
65,69,im
76,79,im
69,72,im
85,86,im
74,77,im
78,73,im
72,76,im
92,92,im
87,81,im
78,8,im
71,75,im
47,54,im
71,74,im
8,32,im
67,52,im
77,79,im
65,69,im
64,69,im
71,73,im
79,17,im
39,48,im
88,89,im
73,66,im
76,23,im
7,74,im
76,79,im
79,81,im
81,83,im
75,78,im
85,8,im
7,74,im
78,81,im
61,66,im
71,74,im
87,88,im
86,87,im
72,68,im
94,94,im
78,8,im
78,8,im
91,92,im
75,78,im
66,66,im
77,8,im
62,67,im
75,78,im
81,83,im
79,81,im
72,75,im
58,63,im
76,79,imS
52,35,imS
82,84,imL
47,3,imL
79,81,imU
82,7,imU
73,76,imU
73,75,imU
71,75,imU
72,76,imU
73,76,imU
77,79,imU
64,68,imU
87,88,imU
75,77,imU
71,74,imU
49,33,imU
74,77,imU
74,77,imU
66,68,imU
86,87,imU
7,74,imU
73,68,imU
77,8,imU
7,74,imU
76,79,imU
78,74,imU
77,79,imU
78,8,imU
75,78,imU
78,74,imU
59,62,imU
61,66,imU
92,7,imU
81,83,imU
45,27,om
59,52,om
41,28,om
43,36,om
58,29,om
38,38,om
33,26,om
54,33,om
54,37,om
5,25,om
4,3,om
36,45,om
45,28,om
57,3,om
53,29,om
33,33,om
53,2,om
39,21,om
59,3,omL
54,1,omL
55,28,omL
58,16,omL
56,36,omL
39,19,pp
4,48,pp
45,33,pp
68,3,pp
39,39,pp
51,47,pp
42,37,pp
39,2,pp
47,51,pp
37,38,pp
7,2,pp
36,4,pp
39,44,pp
53,52,pp
44,52,pp
52,33,pp
44,42,pp
36,38,pp
5,35,pp
49,23,pp
49,56,pp
54,36,pp
52,43,pp
51,31,pp
57,26,pp
48,41,pp
4,39,pp
54,39,pp
49,41,pp
35,32,pp
55,21,pp
42,25,pp
5,25,pp
84,85,pp
54,32,pp
47,33,pp
47,34,pp
51,49,pp
57,42,pp
41,36,pp
38,43,pp
4,34,pp
42,19,pp
44,35,pp
39,24,pp
37,3,pp
