@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
41,57,32,cp
25,4,52,cp
52,57,54,cp
38,44,31,cp
36,54,46,cp
27,42,43,cp
23,32,35,cp
28,33,33,cp
25,26,42,cp
67,39,46,cp
3,37,49,cp
17,38,5,cp
34,51,46,cp
44,35,61,cp
53,38,36,cp
29,41,46,cp
41,51,31,cp
34,35,56,cp
25,37,42,cp
64,76,38,cp
28,38,42,cp
31,47,39,cp
48,42,35,cp
38,46,29,cp
51,49,26,cp
38,4,35,cp
49,43,4,cp
44,51,36,cp
44,42,2,cp
43,39,41,cp
34,28,44,cp
34,33,44,cp
29,28,34,cp
29,28,5,cp
25,51,5,cp
51,5,35,cp
41,43,41,cp
4,46,44,cp
4,31,39,cp
36,56,53,cp
51,54,43,cp
65,47,4,cp
4,5,47,cp
25,4,42,cp
42,4,3,cp
2,44,57,cp
5,49,53,cp
25,48,29,cp
43,4,39,cp
42,35,27,cp
42,3,36,cp
25,37,36,cp
52,44,42,cp
4,41,33,cp
23,33,43,cp
43,32,52,cp
32,33,2,cp
16,43,37,cp
21,51,41,cp
33,45,41,cp
38,26,28,cp
26,5,41,cp
31,23,14,cp
59,49,36,cp
29,3,17,cp
24,34,4,cp
34,55,41,cp
51,46,41,cp
27,3,39,cp
36,42,41,cp
56,51,46,cp
34,42,43,cp
41,48,51,cp
21,34,39,cp
23,58,59,cp
61,45,41,cp
41,43,25,cp
42,24,37,cp
17,39,39,cp
34,45,35,cp
61,36,44,cp
7,4,44,cp
39,31,43,cp
56,4,46,cp
49,29,35,cp
5,51,34,cp
35,34,27,cp
35,37,43,cp
34,46,44,cp
22,34,39,cp
32,42,38,cp
17,52,46,cp
54,47,42,cp
43,37,44,cp
18,3,35,cp
23,4,38,cp
3,37,3,cp
4,45,0,cp
44,49,4,cp
52,36,38,cp
37,5,45,cp
35,48,48,cp
36,39,23,cp
42,38,43,cp
53,42,39,cp
57,54,33,cp
44,56,54,cp
44,34,43,cp
24,43,38,cp
3,16,23,cp
4,42,27,cp
22,43,28,cp
37,52,36,cp
33,47,29,cp
23,34,37,cp
37,44,47,cp
51,37,45,cp
24,35,31,cp
3,44,33,cp
47,28,25,cp
4,29,44,cp
36,41,54,cp
3,45,32,cp
44,28,37,cp
47,47,26,cp
24,43,59,cp
22,36,47,cp
44,27,58,cp
11,5,68,im
34,49,8,im
74,7,69,im
34,51,9,im
12,43,74,im
27,35,79,im
74,44,89,im
47,55,75,im
7,4,83,im
36,47,72,im
39,41,75,im
3,51,34,im
45,4,77,im
1,49,21,im
69,39,79,im
37,47,79,im
31,44,82,im
52,54,79,im
33,37,69,im
12,67,63,im
84,44,74,im
46,59,23,im
48,41,88,im
66,53,66,im
36,45,17,im
0,51,44,im
4,5,84,im
6,5,8,im
6,61,71,im
6,61,37,im
52,39,73,im
5,66,92,im
2,46,81,im
33,56,8,im
31,5,85,im
63,5,86,im
35,51,74,im
23,48,89,im
49,42,81,im
31,36,94,im
73,36,92,im
43,4,78,im
54,57,83,im
29,47,69,im
64,58,73,im
58,55,74,im
33,45,89,im
63,47,84,im
5,57,66,im
48,49,71,im
61,52,52,im
5,37,69,im
61,47,32,im
83,37,74,im
51,4,67,im
6,46,83,im
89,55,76,im
41,51,78,im
59,56,82,im
72,46,7,im
71,52,99,im
44,52,54,im
55,47,8,im
58,34,81,im
47,59,79,im
54,49,88,im
63,54,81,im
71,4,74,im
63,75,66,im
61,66,88,im
63,49,79,imS
7,39,84,imL
75,55,3,imL
59,29,77,imU
64,46,76,imU
75,37,74,imU
78,44,68,imU
81,44,68,imU
84,54,7,imU
72,42,79,imU
79,41,83,imU
64,45,66,imU
77,55,74,imU
81,53,88,imU
66,48,74,imU
67,37,68,imU
86,39,9,imU
7,53,87,imU
49,61,74,imU
76,71,75,imU
62,42,81,imU
84,49,74,imU
87,49,79,imU
88,42,75,imU
57,38,33,imU
76,41,62,imU
47,46,77,imU
86,55,83,imU
78,33,79,imU
63,42,8,imU
58,6,76,imU
73,26,78,imU
81,52,8,imU
69,43,77,imU
83,48,79,imU
77,57,2,om
68,76,27,om
75,76,3,om
63,69,28,om
63,49,28,om
74,9,29,om
52,81,38,om
65,51,33,om
64,57,26,om
67,88,25,om
6,76,52,om
73,84,29,om
78,68,29,om
68,63,3,om
69,59,21,om
74,78,15,om
61,75,33,om
67,84,37,om
71,46,3,omL
77,57,1,omL
66,49,36,omL
68,49,28,omL
71,71,39,pp
63,1,49,pp
73,78,31,pp
69,67,24,pp
63,57,2,pp
29,39,48,pp
75,84,33,pp
68,67,34,pp
71,86,32,pp
68,82,56,pp
43,59,56,pp
64,66,2,pp
64,84,4,pp
59,61,37,pp
64,78,38,pp
65,57,51,pp
63,8,29,pp
63,65,35,pp
63,86,34,pp
32,39,38,pp
7,61,43,pp
64,81,44,pp
62,83,4,pp
72,86,21,pp
63,71,39,pp
67,81,23,pp
66,74,43,pp
56,54,3,pp
76,73,39,pp
74,74,52,pp
66,71,35,pp
69,66,25,pp
68,78,42,pp
67,7,33,pp
7,64,47,pp
69,8,26,pp
7,71,85,pp
74,56,3,pp
69,65,41,pp
67,81,25,pp
67,61,38,pp
74,47,42,pp
69,59,52,pp
64,72,19,pp
71,57,32,pp
62,78,54,pp
61,6,38,pp
