@relation ecoli

@attribute Mcg numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
33,53,29,cp
48,45,35,cp
53,44,36,cp
35,56,48,cp
4,42,44,cp
17,49,46,cp
25,44,29,cp
37,42,45,cp
51,35,45,cp
21,51,39,cp
51,58,41,cp
28,5,42,cp
56,34,46,cp
4,45,42,cp
25,37,5,cp
44,44,59,cp
23,43,37,cp
36,48,54,cp
29,44,34,cp
38,63,35,cp
23,39,38,cp
4,37,27,cp
36,48,23,cp
42,54,43,cp
16,54,37,cp
4,55,33,cp
32,35,38,cp
23,37,59,cp
64,45,38,cp
25,39,42,cp
26,34,35,cp
44,5,54,cp
22,48,28,cp
4,42,44,cp
34,52,44,cp
26,44,41,cp
34,51,56,cp
29,48,52,cp
65,59,4,cp
34,38,44,cp
47,22,26,cp
67,36,46,cp
3,36,32,cp
52,42,54,cp
23,43,43,cp
34,44,46,cp
33,52,41,cp
54,28,42,cp
22,35,47,cp
36,43,53,cp
39,38,43,cp
65,34,28,cp
5,27,34,cp
25,43,36,cp
44,47,36,cp
61,49,44,cp
2,46,57,cp
57,37,33,cp
35,3,43,cp
41,39,32,cp
44,43,37,cp
23,55,35,cp
39,46,35,cp
24,49,34,cp
29,5,5,cp
36,41,46,cp
3,59,49,cp
17,45,5,cp
37,42,36,cp
41,5,25,cp
0,42,55,cp
47,51,43,cp
4,52,56,cp
35,46,27,cp
61,48,41,cp
29,41,34,cp
5,49,53,cp
17,53,39,cp
38,43,31,cp
38,43,39,cp
21,5,41,cp
31,73,14,cp
27,37,43,cp
41,58,31,cp
22,42,39,cp
29,42,39,cp
25,46,52,cp
59,52,36,cp
24,63,43,cp
34,41,43,cp
47,56,25,cp
3,49,33,cp
43,53,44,cp
42,57,37,cp
4,41,39,cp
49,56,35,cp
51,41,43,cp
7,54,44,cp
28,45,33,cp
34,38,35,cp
42,56,3,cp
18,46,35,cp
44,55,58,cp
42,58,27,cp
43,33,52,cp
32,6,2,cp
43,39,39,cp
44,42,2,cp
37,42,47,cp
25,47,42,cp
27,71,39,cp
52,37,42,cp
4,38,0,cp
24,31,31,cp
34,41,44,cp
53,16,39,cp
4,45,47,cp
44,3,43,cp
36,53,41,cp
42,48,36,cp
34,58,41,cp
41,45,41,cp
26,36,37,cp
25,41,42,cp
51,53,26,cp
24,37,38,cp
31,29,39,cp
43,47,41,cp
31,58,94,im
69,57,79,im
33,45,89,im
46,36,23,im
39,52,75,im
73,53,92,im
12,74,63,im
4,65,84,im
23,59,89,im
72,51,7,im
6,54,71,im
1,41,21,im
27,51,79,im
31,57,85,im
5,71,66,im
33,46,69,im
63,59,86,im
34,58,8,im
36,51,72,im
49,53,81,im
12,63,74,im
6,45,83,im
47,58,75,im
51,57,67,im
2,57,81,im
36,38,17,im
61,54,52,im
5,66,69,im
74,55,89,im
52,65,73,im
54,56,83,im
48,6,8,im
63,66,71,im
55,57,8,im
45,61,77,im
16,33,48,im
52,62,79,im
61,46,88,im
54,4,88,im
71,71,74,im
37,39,79,im
31,5,82,im
48,51,88,im
74,66,69,im
0,35,44,im
89,51,76,im
46,48,87,im
63,64,66,im
34,52,79,im
63,51,84,im
61,0,32,im
59,55,82,im
47,52,79,im
41,53,78,im
7,56,73,im
58,56,81,im
48,52,71,im
35,61,74,im
29,71,69,im
58,57,74,im
71,64,99,im
43,58,78,im
6,49,37,im
7,56,83,im
3,42,34,im
83,61,74,im
34,67,9,im
68,71,78,im
5,31,92,im
44,43,54,im
63,54,79,imS
85,53,35,imS
75,4,3,imL
81,57,88,imU
7,7,87,imU
57,6,33,imU
87,61,79,imU
78,45,68,imU
75,64,74,imU
49,56,74,imU
64,48,76,imU
62,58,81,imU
76,5,75,imU
72,65,79,imU
69,59,77,imU
77,51,74,imU
58,59,76,imU
79,5,68,imU
84,75,7,imU
79,66,83,imU
81,57,8,imU
86,59,9,imU
76,5,62,imU
81,42,68,imU
84,55,74,imU
64,67,66,imU
83,65,79,imU
86,63,83,imU
63,64,76,imU
88,52,75,imU
73,57,78,imU
47,62,77,imU
79,46,7,imU
66,54,74,imU
63,48,8,imU
71,68,36,om
52,72,38,om
68,73,3,om
63,79,28,om
74,75,15,om
68,84,27,om
77,88,2,om
67,74,37,om
75,83,3,om
73,86,29,om
63,65,28,om
78,83,29,om
64,7,26,om
61,51,33,om
74,57,29,om
67,73,25,om
56,77,45,om
69,77,21,om
71,52,3,omL
67,66,16,omL
68,62,28,omL
77,37,1,omL
69,46,52,pp
63,4,19,pp
68,43,42,pp
74,42,36,pp
63,39,35,pp
64,37,4,pp
66,31,43,pp
72,17,21,pp
63,39,34,pp
76,44,39,pp
66,41,35,pp
67,46,33,pp
74,49,41,pp
73,58,31,pp
67,51,38,pp
64,49,19,pp
69,41,25,pp
64,41,2,pp
74,31,52,pp
68,49,34,pp
69,3,24,pp
62,47,54,pp
75,35,33,pp
64,37,44,pp
68,38,56,pp
7,42,85,pp
57,39,33,pp
63,35,49,pp
63,46,29,pp
63,6,39,pp
67,54,23,pp
71,48,32,pp
65,47,51,pp
32,53,38,pp
64,5,38,pp
7,56,43,pp
63,49,2,pp
62,46,4,pp
74,5,42,pp
71,4,39,pp
66,34,36,pp
56,43,3,pp
69,63,41,pp
74,47,3,pp
59,42,37,pp
61,44,38,pp
7,47,47,pp
