@relation ecoli

@attribute Mcg numeric
@attribute Chg numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
25,5,17,cp
53,5,26,cp
29,5,38,cp
52,5,28,cp
43,5,35,cp
51,5,34,cp
42,5,15,cp
32,5,28,cp
23,5,33,cp
3,5,22,cp
24,5,52,cp
57,5,28,cp
67,5,38,cp
4,5,22,cp
44,5,52,cp
3,5,41,cp
52,5,36,cp
31,5,28,cp
38,5,22,cp
24,5,28,cp
21,5,32,cp
3,5,18,cp
44,5,33,cp
44,5,26,cp
3,5,11,cp
36,5,47,cp
35,5,4,cp
32,5,6,cp
54,5,33,cp
36,5,22,cp
41,5,21,cp
44,5,38,cp
4,5,33,cp
53,5,29,cp
56,5,37,cp
27,5,38,cp
4,5,27,cp
47,5,33,cp
35,5,3,cp
37,5,42,cp
25,5,33,cp
44,5,55,cp
37,5,36,cp
51,5,32,cp
49,5,3,cp
17,5,37,cp
65,5,37,cp
24,5,19,cp
42,5,26,cp
29,5,3,cp
34,5,35,cp
61,5,35,cp
48,5,25,cp
4,5,22,cp
36,5,45,cp
51,5,14,cp
44,5,27,cp
25,5,33,cp
61,5,35,cp
36,5,32,cp
26,5,25,cp
43,5,31,cp
34,5,37,cp
35,5,34,cp
23,5,25,cp
64,5,35,cp
4,5,49,cp
4,5,29,cp
23,5,28,cp
34,5,49,cp
24,5,23,cp
42,5,34,cp
33,5,18,cp
22,5,39,cp
29,5,23,cp
25,5,42,cp
4,5,39,cp
36,5,38,cp
25,5,32,cp
56,5,37,cp
24,5,34,cp
17,5,3,cp
34,5,31,cp
22,5,29,cp
18,5,24,cp
52,5,47,cp
38,5,16,cp
24,5,3,cp
28,5,22,cp
44,5,25,cp
5,5,23,cp
38,5,29,cp
43,5,45,cp
29,5,23,cp
34,5,35,cp
29,5,44,cp
51,5,36,cp
33,5,32,cp
34,5,34,cp
25,5,44,cp
41,5,31,cp
41,5,24,cp
17,5,42,cp
29,5,29,cp
47,5,16,cp
26,5,32,cp
29,5,42,cp
31,5,5,cp
44,5,52,cp
39,5,34,cp
4,5,35,cp
51,5,31,cp
42,5,18,cp
34,5,24,cp
7,5,35,cp
49,5,24,cp
2,5,51,cp
59,5,45,cp
23,5,26,cp
39,5,24,cp
34,5,35,cp
27,5,28,cp
23,5,53,cp
43,5,28,cp
42,5,27,cp
0,5,48,cp
26,5,26,cp
41,5,44,cp
52,5,76,im
34,5,76,im
69,5,76,im
36,5,79,im
66,5,66,im
54,5,87,im
63,5,82,im
33,5,78,im
63,5,73,im
52,5,71,im
31,5,84,im
55,5,78,im
84,5,71,im
47,5,76,im
74,5,65,im
54,5,81,im
0,5,67,im
2,5,78,im
61,5,67,im
71,5,1,im
51,5,62,im
29,5,65,im
37,5,76,im
74,5,88,im
16,5,39,im
27,5,77,im
43,5,75,im
35,5,71,im
5,5,92,im
89,5,72,im
3,5,61,im
46,5,86,im
45,5,74,im
83,5,71,im
72,5,66,im
7,5,78,im
61,5,8,im
6,5,67,im
6,5,81,im
33,5,88,im
71,5,7,im
46,5,76,im
58,5,7,im
64,5,78,im
1,5,67,im
59,5,8,im
44,5,47,im
5,5,61,im
31,5,79,im
36,5,69,im
4,5,82,im
34,5,9,im
61,5,87,im
6,5,77,im
6,5,92,im
12,5,7,im
39,5,72,im
63,5,85,im
73,5,91,im
11,5,72,im
48,5,78,im
5,5,64,im
68,5,75,im
63,5,79,im
58,5,87,im
63,5,67,im
7,5,86,im
34,5,85,im
48,5,77,im
47,5,71,im
85,5,52,imS
7,5,82,imL
75,1,47,imL
64,5,73,imU
78,5,77,imU
58,5,73,imU
88,5,73,imU
76,5,71,imU
81,5,87,imU
84,5,78,imU
79,5,66,imU
59,5,75,imU
79,5,81,imU
75,5,7,imU
57,5,49,imU
84,5,92,imU
66,5,7,imU
86,5,81,imU
87,5,76,imU
81,5,67,imU
81,5,78,imU
63,5,77,imU
78,5,73,imU
72,5,77,imU
63,5,72,imU
86,5,89,imU
73,5,75,imU
7,5,86,imU
83,5,76,imU
67,5,64,imU
76,5,59,imU
49,5,71,imU
77,5,78,imU
62,5,79,imU
79,5,82,imU
65,5,54,om
56,5,36,om
52,5,38,om
77,5,53,om
69,5,39,om
78,5,4,om
71,5,43,om
63,5,41,om
73,5,58,om
74,5,53,om
6,5,59,om
68,5,45,om
63,5,45,om
68,5,4,om
75,5,57,om
67,5,54,om
67,5,5,om
74,5,54,om
71,5,59,omL
66,5,56,omL
68,5,55,omL
67,5,58,omL
67,5,42,pp
7,5,51,pp
67,5,37,pp
69,5,57,pp
63,5,7,pp
67,5,45,pp
63,5,44,pp
71,5,54,pp
62,5,36,pp
73,5,51,pp
67,5,49,pp
69,5,44,pp
32,5,28,pp
74,5,54,pp
63,5,39,pp
63,5,47,pp
61,5,39,pp
66,5,41,pp
74,5,53,pp
29,5,4,pp
43,5,49,pp
74,5,68,pp
63,5,4,pp
64,5,45,pp
63,5,51,pp
64,5,39,pp
68,5,4,pp
68,5,44,pp
57,5,47,pp
7,5,84,pp
75,5,52,pp
64,5,39,pp
72,5,55,pp
74,5,49,pp
59,5,42,pp
74,5,57,pp
62,5,49,pp
68,5,65,pp
63,5,31,pp
64,5,42,pp
71,5,54,pp
64,5,36,pp
71,5,35,pp
66,5,5,pp
69,5,48,pp
76,5,39,pp
56,5,37,pp
