@relation ecoli

@attribute Gvh numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
37,36,cp
42,27,cp
37,35,cp
37,41,cp
33,6,cp
41,38,cp
34,26,cp
35,33,cp
44,36,cp
42,25,cp
43,16,cp
45,32,cp
47,33,cp
35,15,cp
51,37,cp
27,52,cp
43,28,cp
44,39,cp
28,27,cp
51,32,cp
34,3,cp
45,22,cp
31,29,cp
46,49,cp
43,3,cp
23,5,cp
51,42,cp
47,28,cp
49,38,cp
49,14,cp
3,26,cp
57,47,cp
49,46,cp
28,35,cp
5,32,cp
42,34,cp
34,29,cp
57,21,cp
42,28,cp
35,19,cp
5,36,cp
56,46,cp
26,16,cp
29,35,cp
35,52,cp
47,3,cp
39,3,cp
48,4,cp
52,29,cp
34,33,cp
52,42,cp
38,48,cp
46,31,cp
46,35,cp
36,28,cp
32,45,cp
58,53,cp
47,16,cp
31,34,cp
45,35,cp
45,21,cp
35,49,cp
45,24,cp
54,38,cp
26,25,cp
37,26,cp
24,27,cp
3,29,cp
35,55,cp
4,44,cp
4,25,cp
4,37,cp
38,42,cp
41,22,cp
38,34,cp
33,35,cp
55,31,cp
51,37,cp
43,24,cp
55,37,cp
51,2,cp
3,28,cp
36,35,cp
39,38,cp
37,18,cp
5,39,cp
51,26,cp
41,47,cp
32,25,cp
4,35,cp
38,33,cp
36,39,cp
37,33,cp
4,26,cp
28,2,cp
37,44,cp
49,45,cp
5,32,cp
44,51,cp
28,23,cp
56,45,cp
46,35,cp
33,22,cp
16,11,cp
47,23,cp
34,28,cp
3,24,cp
42,29,cp
43,27,cp
57,34,cp
48,44,cp
3,3,cp
43,52,cp
26,32,cp
76,35,cp
51,23,cp
28,42,cp
29,33,cp
37,34,cp
4,18,cp
4,28,cp
46,22,cp
47,18,cp
34,3,cp
29,24,cp
32,24,cp
41,23,cp
44,2,cp
38,26,cp
7,65,im
46,81,im
66,92,im
37,64,im
4,74,im
36,91,im
48,88,im
37,71,im
51,39,im
41,9,im
35,77,im
4,7,im
41,72,im
54,79,im
67,58,im
5,82,im
51,71,im
37,65,im
46,78,im
57,61,im
34,87,im
44,71,im
59,76,im
75,73,im
47,8,im
52,1,im
36,94,im
46,66,im
61,92,im
43,7,im
44,79,im
49,67,im
4,75,im
44,88,im
51,67,im
45,79,im
4,86,im
42,79,im
51,75,im
65,67,im
51,61,im
51,75,im
61,86,im
47,76,im
45,88,im
52,67,im
39,76,im
4,62,im
59,76,im
49,85,im
5,72,im
47,82,im
61,67,im
56,8,im
58,78,im
5,77,im
51,9,im
39,71,im
56,78,im
49,77,im
47,65,im
67,76,im
57,81,im
5,84,im
49,87,im
53,66,im
45,78,im
52,47,im
47,69,im
53,52,imS
49,76,imS
39,82,imL
55,47,imL
36,82,imU
53,87,imU
29,75,imU
51,72,imU
49,78,imU
44,67,imU
39,89,imU
61,71,imU
42,73,imU
45,61,imU
55,81,imU
53,86,imU
43,74,imU
38,49,imU
46,74,imU
44,73,imU
6,73,imU
41,59,imU
37,64,imU
49,76,imU
41,81,imU
54,66,imU
54,92,imU
46,73,imU
48,7,imU
26,75,imU
42,79,imU
37,7,imU
52,78,imU
55,78,imU
33,77,imU
71,71,imU
57,33,om
84,58,om
68,36,om
88,5,om
71,43,om
49,45,om
57,53,om
76,45,om
68,4,om
78,54,om
81,38,om
51,54,om
69,41,om
75,33,om
76,59,om
84,54,om
63,4,om
59,39,om
49,56,omL
57,54,omL
55,58,omL
49,55,omL
81,42,pp
8,31,pp
39,28,pp
86,55,pp
57,7,pp
83,39,pp
61,52,pp
47,57,pp
74,53,pp
66,5,pp
6,39,pp
1,51,pp
82,65,pp
64,51,pp
78,36,pp
67,4,pp
84,52,pp
84,45,pp
59,49,pp
57,47,pp
59,44,pp
78,49,pp
8,57,pp
78,51,pp
67,39,pp
61,37,pp
81,39,pp
78,44,pp
71,4,pp
71,5,pp
73,39,pp
86,54,pp
82,49,pp
56,68,pp
39,4,pp
65,44,pp
59,47,pp
71,84,pp
66,39,pp
49,54,pp
74,38,pp
72,42,pp
86,47,pp
61,42,pp
57,35,pp
86,41,pp
65,48,pp
