@relation newthyroid

@attribute triiodothyronine numeric
@attribute class {3,2,1}

@data
0.3,3
1.1,3
1.5,3
1.1,3
0.7,3
0.7,3
0.9,3
1.2,3
0.2,3
1.1,3
0.7,3
1.8,3
2.5,3
1.3,3
1.4,3
1.1,3
0.7,3
1.3,3
2.1,3
1.8,3
0.3,3
0.6,3
0.6,3
1.8,3
0.8,3
0.7,3
1.1,3
5.5,2
1.8,2
1.6,2
5.5,2
3.8,2
3.3,2
5.8,2
4.8,2
3.7,2
2.7,2
10,2
3,2
4.1,2
2.7,2
3.6,2
3.3,2
3.6,2
5.4,2
1.8,2
7.3,2
10,2
1.8,2
7.1,2
3.1,2
7.4,2
4.4,2
1.9,2
2.7,2
4.5,2
2,2
1.9,2
1.5,1
2,1
1.8,1
0.8,1
1.8,1
2.2,1
1.7,1
1.5,1
2,1
2.4,1
1.7,1
1.4,1
2.2,1
1.7,1
1.3,1
1.8,1
1,1
2,1
1.7,1
1.5,1
1.6,1
1.4,1
2.4,1
2.1,1
1.5,1
1.8,1
2,1
1.8,1
1.5,1
2,1
1.6,1
1.7,1
1.6,1
1.1,1
2.1,1
2,1
1.6,1
1.2,1
2.1,1
2.1,1
1.5,1
1.7,1
0.7,1
2.6,1
2.2,1
1.5,1
1.3,1
2.1,1
2.3,1
2.1,1
1.5,1
2.3,1
1.1,1
2.1,1
2.4,1
2.7,1
2,1
1.9,1
1.1,1
1.5,1
2.9,1
2.3,1
2.4,1
0.4,1
2.5,1
2.3,1
2,1
1.3,1
1.8,1
2.2,1
1.7,1
1.5,1
2,1
1.5,1
1.7,1
1.8,1
2.4,1
1.6,1
1.9,1
1.4,1
1.2,1
2.7,1
1.9,1
1.9,1
2.5,1
1.9,1
1.2,1
1.3,1
2.4,1
3.1,1
1.7,1
1.8,1
1.4,1
1.2,1
1.3,1
2.4,1
1.8,1
1.2,1
1.1,1
1.5,1
1.3,1
1.6,1
1.2,1
1.3,1
1.8,1
1.5,1
1.5,1
1.8,1
2.9,1
1.2,1
1.8,1
1.8,1
1.8,1
1,1
1.5,1
1.9,1
1.7,1
1.6,1
1.5,1
2.3,1
1.4,1
0.9,1
1,1
2.7,1
1,1
1.6,1
1.6,1
1.6,1
2.4,1
1.2,1
1.9,1
2,1
1.7,1
1.4,1
1.6,1
