@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
162.052,136.031,76.96,g
48.2468,17.3565,4.792,g
26.7897,13.7595,0.812,g
46.7619,15.1993,7.875,g
62.7766,29.9104,9.9144,g
18.8562,16.46,11.461,g
38.1817,15.9235,2.572,g
27.6746,18.9149,19.3719,g
18.6533,15.1674,4.7998,g
12.974,10.9058,42.2408,g
86.5636,36.8235,2.643,g
34.889,19.6402,8.376,g
74.5714,23.0735,4.029,g
26.0862,12.5473,4.1527,g
35.8144,12.3164,23.123,g
23.6924,8.8987,27.014,g
70.6584,19.8319,0.45,g
32.7059,17.1981,40.3711,g
63.8128,26.2233,1.919,g
60.8598,18.7033,4.182,g
23.8915,12.8584,6.2472,g
23.6179,20.0571,47.786,g
20.7779,7.1383,28.79,g
68.0121,27.6698,3.9746,g
61.6933,18.0011,2.926,g
50.5984,25.8939,8.44,g
22.4236,15.8256,53.815,g
21.1221,9.3478,75.3948,g
86.5389,16.3152,1.53,g
20.5056,12.823,1.701,g
58.4387,17.4136,3.1218,g
18.8932,15.3311,14.71,g
70.0225,26.4199,3.902,g
23.9467,14.5395,60.493,g
21.1305,12.5141,81.2274,g
67.9187,18.5575,9.654,g
38.3448,14.1032,0.1899,g
42.1712,11.9324,10.7626,g
35.7536,18.467,0.226,g
77.8141,26.5122,2.712,g
20.2467,10.4762,79.4844,g
61.374,22.8597,3.713,g
71.3468,25.1598,8.6575,g
97.1547,38.0068,1.2669,g
90.8484,33.0185,2.5821,g
49.0345,13.0214,5.173,g
43.7014,14.2281,0.4341,g
23.1716,9.5924,30.652,g
34.9922,18.443,8.191,g
57.6389,19.9578,0.619,g
46.7637,14.9414,2.0311,g
29.4437,17.2949,20.244,g
20.1958,7.2301,17.9072,g
20.2001,14.9132,5.736,g
39.938,17.9057,14.4579,g
26.6212,19.2324,44.407,g
109.32,47.7498,1.102,g
79.3831,12.9439,9.4384,g
70.6168,19.7858,8.372,g
70.3337,18.5827,4.6368,g
81.9649,35.4074,3.5171,g
29.6299,17.3722,24.196,g
20.7099,6.2012,27.282,g
20.1058,9.2855,79.283,g
77.1621,30.2821,11.476,g
22.1067,13.7589,1.318,g
12.8128,11.5202,21.21,g
38.6616,18.6597,8.262,g
31.7502,20.3468,7.038,g
17.3029,11.088,3.5463,g
38.5054,20.5728,18.3976,g
33.055,15.1941,9.323,g
40.8246,18.1856,9.868,g
21.1628,12.2039,35.801,g
32.2758,16.4034,12.3195,g
21.6816,13.2289,55.7262,g
22.2342,12.5906,16.7407,g
133.103,87.8861,8.6871,g
63.5381,26.3231,9.428,g
21.3927,14.2909,0.9412,g
31.4889,18.1427,22.241,g
32.5149,16.1373,10.4419,g
114.303,40.4397,0.3,g
35.4054,20.3297,34.644,g
12.5342,11.9191,19.242,g
23.2796,16.4149,9.5021,g
65.4978,18.2304,4.4339,g
24.3642,9.1402,10.8031,g
38.7469,24.4913,12.098,g
20.5388,16.9771,0.0276,g
20.1024,12.5616,16.42,g
40.8148,19.8202,25.505,g
64.8397,22.7859,0.109,g
18.8542,9.0044,37.1081,g
99.4753,42.6959,2.17,g
25.0031,17.8324,16.948,g
37.4849,15.9605,36.3065,g
84.7997,29.0826,2.2059,g
90.7035,32.6492,1.5563,g
80.9545,29.885,3.6974,g
20.1609,11.2402,18.0262,g
41.7032,11.9532,0.598,g
20.6413,12.7878,40.0066,g
71.6435,29.1304,4.1632,g
97.7331,34.3795,0.908,g
23.4732,12.2901,1.8023,g
26.3733,19.1659,9.37,g
25.0459,22.9081,30.4393,g
76.1799,24.8222,2.1911,g
28.3543,25.5873,33.509,g
29.4491,12.7271,8.1501,g
15.4067,11.9714,68.753,g
40.1519,21.0822,27.9849,g
84.3821,24.1278,0.709,g
13.2918,10.5394,58.693,g
20.5175,12.946,53.922,g
87.4843,25.5134,2.72,g
61.3494,21.7627,8.993,g
60.8065,28.7891,1.9667,g
20.1977,17.8147,14.9307,g
19.8632,12.3814,62.678,g
19.9436,12.8339,30.5107,g
25.6872,15.5947,1.5757,g
35.1568,16.1465,1.2733,g
67.3736,23.2082,2.135,g
78.2112,25.6598,7.052,g
32.8709,18.7783,23.761,g
37.7771,25.3763,0.8021,g
19.6379,7.3288,80.2685,g
47.2337,19.8555,3.5641,g
58.6792,26.0154,14.967,g
94.7591,34.3084,6.005,g
45.8873,22.874,4.521,g
43.3537,17.7987,17.749,g
20.1937,7.3055,45.009,g
19.4386,17.1093,58.159,g
12.976,10.3524,0.764,g
23.8725,11.8221,9.027,g
76.6657,19.6882,0.436,g
46.5588,13.3629,11.03,g
25.7288,15.0604,27.1409,g
62.1786,15.7135,2.553,g
87.1434,13.1445,7.3785,g
26.567,18.815,12.3055,g
36.8621,14.2671,14.4244,g
52.3766,16.1986,8.8454,g
84.9312,26.6571,1.1373,g
33.6195,24.7136,31.8731,g
21.4317,10.6329,28.035,g
51.7656,30.7225,7.6181,g
40.2341,25.8946,6.2066,g
12.7273,11.6358,35.694,g
41.0916,7.7414,10.8662,g
18.4204,9.8345,33.3598,g
88.5821,45.3852,3.144,g
37.1464,21.6205,1.705,g
21.3145,12.5083,13.2097,g
45.0948,16.4904,4.361,g
25.2747,7.6662,38.741,g
77.537,26.5315,0.9581,g
34.8534,6.6139,1.207,g
14.6095,12.2051,21.3448,g
30.7233,17.244,2.0573,g
58.6077,18.0167,0.256,g
18.6811,10.1583,42.612,g
68.4339,13.6962,27.43,g
22.9886,13.3644,14.3483,g
35.2047,17.138,10.218,g
22.248,9.4628,0.0865,g
41.8231,25.2456,12.156,g
20.9972,16.9618,26.046,g
79.4851,29.5448,4.5885,g
82.3651,26.8716,1.884,g
28.097,20.4787,15.876,g
19.8544,7.3577,45.5575,g
42.2145,14.1213,0.5371,g
12.9108,11.3309,76.6517,g
26.619,18.0992,8.3473,g
26.5096,12.8159,7.58,g
19.5172,15.4178,26.742,g
53.2359,21.0305,6.1069,g
44.7025,17.275,14.5058,g
21.9413,10.0942,15.8411,g
66.3629,27.4271,1.2327,g
20.7297,12.8606,7.9853,g
28.3689,15.6983,2.948,g
17.6485,10.9792,23.7151,g
28.6793,7.9675,36.4032,g
75.6241,28.467,4.0898,g
67.5796,28.5328,2.7859,g
29.5252,20.0901,19.7036,g
23.8573,21.8826,16.4046,g
22.985,17.2814,9.987,g
77.9107,28.337,1.762,g
65.1314,26.0843,10.7786,g
47.5381,33.4546,17.858,g
48.0175,32.658,8.7025,g
18.8496,16.1203,25.809,g
91.3695,49.0157,1.9148,g
43.394,14.3798,13.603,g
28.1836,21.694,45.4106,g
68.9226,18.0087,9.7906,g
27.3841,16.5037,16.37,g
18.3186,10.3349,50.4492,g
54.9218,12.7197,6.312,g
36.1281,11.0465,10.5725,g
30.4837,17.4756,21.1876,g
58.2616,13.6449,5.4939,g
12.6909,11.6845,7.208,g
16.1931,11.1654,56.5349,g
14.9201,11.6836,29.1403,g
60.6227,24.2893,12.113,g
23.1882,14.8885,9.004,g
46.9609,24.6372,5.775,g
64.949,24.887,0.76,g
61.0835,21.8459,12.079,g
15.2955,11.9972,54.997,g
18.3861,10.3691,4.135,g
35.1271,10.2434,1.0485,g
61.4574,18.204,5.6897,g
29.549,14.1175,0.9098,g
64.5788,21.3742,0.209,g
25.9214,14.0449,9.6072,g
80.9257,38.4425,3.9366,g
103.582,30.2095,2.3493,g
28.4384,12.8778,54.7663,g
24.7122,16.1387,33.725,g
25.1407,10.8048,2.4381,g
21.7089,14.8872,3.465,g
43.8674,17.4839,39.8956,g
31.3498,17.9672,10.9966,g
42.4667,21.8903,4.9852,g
81.4119,37.6561,0.256,g
55.4763,27.6942,3.086,g
41.751,6.7535,31.305,g
34.6176,15.4927,22.7129,g
40.5407,24.3492,1.3003,g
37.7155,7.2191,24.5831,g
41.1061,17.0662,0.4014,g
20.5028,7.2654,66.693,g
34.7496,22.6172,7.8384,g
91.1582,28.2765,0.5,g
50.7743,18.7763,5.1845,g
20.3898,9.174,7.6029,g
72.9815,24.8335,2.203,g
33.7823,26.3385,2.0557,g
20.5294,10.1788,34.677,g
19.4697,15.868,17.713,g
13.1817,10.44,24.9009,g
31.0486,16.6026,19.8899,g
28.0939,7.6208,15.2489,g
96.4553,33.856,1.7133,g
35.6882,18.0117,7.742,g
31.2892,15.2223,4.9939,g
86.1643,27.8817,3.0817,g
42.9078,26.0176,13.9853,g
107.219,43.8984,4.3625,g
56.2778,16.7935,4.439,g
52.8865,28.4185,12.295,g
60.9285,15.7068,1.0066,g
49.4109,10.7175,16.5835,g
88.3013,45.0557,4.067,g
113.789,19.7495,2.3023,g
28.7242,12.3564,13.962,g
20.5867,12.5551,31.2984,g
25.2187,21.9403,32.3326,g
24.8026,12.3618,7.5907,g
18.2941,10.064,87.0857,g
56.2287,29.0967,7.4349,g
77.484,15.8702,72.931,g
64.0183,26.8934,2.9665,g
38.0252,16.247,10.748,g
22.0114,18.5969,35.946,g
62.8329,18.5583,6.4855,g
53.8685,15.831,32.443,g
23.4162,13.1513,78.726,g
40.1959,32.5425,10.0734,g
61.9829,17.8697,2.076,g
36.6546,20.3887,59.046,g
57.0829,23.3635,6.6582,g
22.6082,13.715,7.936,g
64.3202,35.1645,0.217,g
36.5413,17.8073,21.303,g
46.395,20.7354,9.8102,g
48.4978,23.9276,23.893,g
25.8648,15.096,10.4893,g
38.5551,11.2822,17.979,g
38.015,17.8824,9.2636,g
24.8861,11.3642,12.957,g
26.9974,17.3158,38.664,g
12.7087,11.6678,46.283,g
16.2188,7.2375,24.17,g
18.7737,10.5601,32.593,g
34.3556,14.2397,1.1303,g
68.5786,14.4335,5.205,g
28.1465,9.0446,86.3532,g
18.9276,7.4513,18.1586,g
32.6893,16.7666,0.562,g
25.392,14.7142,7.8399,g
25.1694,14.5658,21.27,g
20.9852,6.3914,22.568,g
13.1,10.3364,39.62,g
45.3973,23.2863,4.1267,g
58.3519,19.2454,0.78,g
13.1625,10.4977,40.316,g
85.167,32.3973,3.743,g
37.8358,18.0066,3.108,g
21.7388,6.8516,26.948,g
20.0484,10.0276,9.098,g
39.5872,23.2324,16.85,g
53.7587,42.1545,84.3933,g
23.8241,18.6198,12.249,g
84.0883,25.5212,5.4781,g
28.1288,19.641,24.2231,g
33.0532,16.455,9.549,g
41.9175,14.8591,9.541,g
96.8724,27.5535,6.0195,g
24.0748,16.458,0.893,g
26.6758,10.1784,13.928,g
24.1038,15.8991,37.5625,g
54.1138,12.2997,2.9862,g
81.2862,14.7447,4.129,g
49.7442,26.6913,7.3364,g
31.9789,16.2532,15.3064,g
70.2269,46.2068,9.1982,g
172.979,18.5465,0.329,g
61.8847,30.7737,0.0235,g
41.7932,20.9993,13.6362,g
21.3305,12.7697,15.8492,g
71.3117,23.1143,6.3073,g
17.0422,11.0571,11.4165,g
39.617,17.3085,9.772,g
15.9438,11.2942,46.6417,g
55.5017,28.7067,0.936,g
40.8914,14.4618,5.2595,g
57.3784,11.9098,21.804,g
22.9555,12.1637,27.041,g
16.4178,11.3364,65.558,g
12.7445,11.6208,4.555,g
24.0005,16.3923,6.9421,g
50.9418,21.5709,2.8444,g
37.2735,20.2912,17.7959,g
24.8562,10.9226,22.9883,g
26.3386,10.9589,11.8733,g
100.286,20.9058,4.664,g
75.469,21.3266,3.0461,g
57.6796,22.1521,10.262,g
75.0502,21.8345,1.2422,g
24.3377,11.0705,2.8878,g
