@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
75.1362,30.9205,3.1611,4.648,g
96.2327,46.5165,4.154,4.854,g
29.4741,22.4581,2.6258,48.0364,g
36.1741,17.6865,2.946,0.254,g
46.0588,18.787,3.2217,8.686,g
90.5299,17.8721,3.033,2.039,g
37.742,24.3346,3.0404,24.216,g
16.7608,11.3962,2.2989,62.618,g
19.6562,9.7376,2.238,63.03,g
45.0172,18.4512,2.699,8.718,g
22.6397,10.2608,2.1492,14.3756,g
89.8648,33.6384,3.8899,3.689,g
77.9219,31.8209,3.7043,0.2442,g
29.3108,14.6309,2.6464,24.109,g
19.6419,0,2.2,34.817,g
26.8971,19.2128,2.7657,41.065,g
56.2418,16.5703,2.8943,1.574,g
70.2768,24.5132,3.3917,2.9261,g
16.9286,11.2814,2.4116,18.5125,g
34.1619,21.2966,2.9974,11.6079,g
30.0005,21.6966,2.934,27.943,g
19.7366,7.3095,2.1383,24.7838,g
28.4148,13.01,2.4778,13.6965,g
47.6,13.413,2.8092,2.608,g
21.776,12.7202,2.356,22.3655,g
20.6454,6.839,2.2844,2.7533,g
72.969,19.2006,3.008,4.087,g
36.5237,15.3246,2.4786,12.715,g
19.0154,12.8813,2.5085,58.903,g
82.3156,17.9964,2.7404,10.08,g
23.1657,12.7022,2.2201,82.0505,g
13.0557,10.9159,2.2188,74.1884,g
26.611,14.1842,2.4878,29.5051,g
71.2234,17.8914,2.9445,7.615,g
100.226,28.222,3.3769,4.4376,g
92.6284,33.594,3.5469,6.878,g
32.2468,13.0261,2.6532,16.2095,g
80.7093,47.2876,3.5386,30.763,g
26.466,18.778,2.6107,6.6995,g
17.1997,7.3014,2.2844,19.79,g
29.4259,17.0431,2.4526,45.059,g
85.4576,31.2369,3.2899,2.245,g
54.2845,17.4844,2.6217,1.7076,g
66.5662,28.6046,3.5894,0.4,g
20.7708,16.7921,2.5815,72.2425,g
12.7592,11.6189,2.2162,1.2142,g
30.5807,12.704,2.2253,0.0648,g
38.941,22.4191,3.2844,13.913,g
79.539,22.7182,3.4649,1.6851,g
88.5562,23.4657,3.6856,0.8794,g
77.8088,24.8816,3.233,19.558,g
28.9475,20.2296,2.78,56.0565,g
20.4623,12.5622,2.3918,65.011,g
84.3787,33.7186,3.6211,0.1081,g
25.5991,12.5304,2.6959,8.7515,g
17.1072,11.2406,2.2989,54.2205,g
17.0875,11.2666,2.2553,56.4005,g
40.2965,15.4665,2.6959,0.125,g
29.5611,16.2612,2.5587,23.721,g
19.7062,17.9125,2.3589,29.7652,g
87.0611,30.202,3.2249,1.5388,g
