@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
162.052,136.031,4.0612,76.96,g
48.2468,17.3565,3.0332,4.792,g
26.7897,13.7595,2.5521,0.812,g
46.7619,15.1993,2.5786,7.875,g
62.7766,29.9104,3.3331,9.9144,g
18.8562,16.46,2.4385,11.461,g
38.1817,15.9235,2.6906,2.572,g
27.6746,18.9149,2.5422,19.3719,g
18.6533,15.1674,2.4338,4.7998,g
12.974,10.9058,2.1021,42.2408,g
86.5636,36.8235,3.8026,2.643,g
34.889,19.6402,2.8429,8.376,g
74.5714,23.0735,2.9914,4.029,g
26.0862,12.5473,2.4099,4.1527,g
35.8144,12.3164,2.57,23.123,g
23.6924,8.8987,2.3181,27.014,g
70.6584,19.8319,3.1041,0.45,g
32.7059,17.1981,2.5804,40.3711,g
63.8128,26.2233,3.5143,1.919,g
60.8598,18.7033,2.6128,4.182,g
23.8915,12.8584,2.534,6.2472,g
23.6179,20.0571,2.5224,47.786,g
20.7779,7.1383,2.081,28.79,g
68.0121,27.6698,3.0824,3.9746,g
61.6933,18.0011,2.9015,2.926,g
50.5984,25.8939,3.0586,8.44,g
22.4236,15.8256,2.5938,53.815,g
21.1221,9.3478,2.2967,75.3948,g
86.5389,16.3152,2.8756,1.53,g
20.5056,12.823,2.3531,1.701,g
58.4387,17.4136,2.9342,3.1218,g
18.8932,15.3311,2.4822,14.71,g
70.0225,26.4199,3.3192,3.902,g
23.9467,14.5395,2.634,60.493,g
21.1305,12.5141,2.4057,81.2274,g
67.9187,18.5575,2.9001,9.654,g
38.3448,14.1032,2.8238,0.1899,g
42.1712,11.9324,2.4829,10.7626,g
35.7536,18.467,2.9834,0.226,g
77.8141,26.5122,3.7987,2.712,g
20.2467,10.4762,2.3096,79.4844,g
61.374,22.8597,3.0245,3.713,g
71.3468,25.1598,3.0253,8.6575,g
97.1547,38.0068,3.972,1.2669,g
90.8484,33.0185,3.7827,2.5821,g
49.0345,13.0214,2.8379,5.173,g
43.7014,14.2281,2.86,0.4341,g
23.1716,9.5924,2.2742,30.652,g
34.9922,18.443,2.9883,8.191,g
57.6389,19.9578,2.9183,0.619,g
46.7637,14.9414,2.7392,2.0311,g
29.4437,17.2949,2.7271,20.244,g
20.1958,7.2301,2.1287,17.9072,g
20.2001,14.9132,2.5434,5.736,g
39.938,17.9057,2.5152,14.4579,g
26.6212,19.2324,2.5257,44.407,g
109.32,47.7498,4.3035,1.102,g
79.3831,12.9439,2.7427,9.4384,g
70.6168,19.7858,3.1119,8.372,g
70.3337,18.5827,2.8058,4.6368,g
81.9649,35.4074,3.3729,3.5171,g
29.6299,17.3722,2.7903,24.196,g
20.7099,6.2012,2.2822,27.282,g
20.1058,9.2855,2.2553,79.283,g
77.1621,30.2821,3.4572,11.476,g
22.1067,13.7589,2.5289,1.318,g
12.8128,11.5202,2.0774,21.21,g
38.6616,18.6597,2.7189,8.262,g
31.7502,20.3468,2.6299,7.038,g
17.3029,11.088,2.179,3.5463,g
38.5054,20.5728,3.0434,18.3976,g
33.055,15.1941,2.3444,9.323,g
40.8246,18.1856,2.596,9.868,g
21.1628,12.2039,2.3473,35.801,g
32.2758,16.4034,2.6566,12.3195,g
21.6816,13.2289,2.4893,55.7262,g
22.2342,12.5906,2.2601,16.7407,g
