@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
51.624,3.613,g
87.2384,4.4265,g
23.5647,26.5328,g
73.6263,4.471,g
44.0846,16.119,g
65.3574,4.874,g
43.7724,16.25,g
20.9491,40.656,g
41.2629,7.6147,g
53.7339,1.886,g
47.8275,4.798,g
13.1994,54.0277,g
20.7445,25.7775,g
42.3725,0.6925,g
25.2091,41.563,g
35.7062,1.2543,g
62.6886,3.121,g
22.5702,80.3449,g
33.3528,8.709,g
97.794,3.2128,g
52.8479,6.087,g
40.6097,0.774,g
59.817,5.235,g
24.38,0.8652,g
39.2192,9.1923,g
23.153,27.621,g
70.457,34.2372,g
63.7616,3.473,g
37.6518,7.803,g
70.4799,4.5199,g
38.5491,7.8488,g
36.2124,27.4653,g
45.5567,3.378,g
32.4734,6.915,g
48.6413,11.287,g
35.5524,13.69,g
31.8025,9.822,g
72.7983,7.4414,g
92.3205,2.0919,g
18.9658,76.0739,g
38.525,2.3112,g
74.1464,4.802,g
63.6676,20.872,g
41.504,12.8677,g
43.0546,12.089,g
60.012,11.1868,g
43.9241,21.329,g
72.7908,4.2311,g
31.3015,7.923,g
42.7735,13.269,g
27.506,3.3162,g
27.8546,4.1367,g
34.9792,4.075,g
12.4899,45.6611,g
46.3706,2.447,g
91.6993,1.9921,g
18.4491,42.315,g
27.1373,17.2732,g
12.8557,78.748,g
28.2338,8.526,g
17.725,33.97,g
18.7991,35.2698,g
71.7681,5.254,g
24.8332,20.643,g
80.7882,22.529,g
27.1259,21.073,g
46.3641,10.4919,g
53.0403,10.1148,g
24.8368,6.437,g
87.02,2.8508,g
25.9826,4.752,g
22.9006,11.7582,g
57.9074,10.159,g
33.4718,0.6027,g
31.0015,8.767,g
60.6745,18.082,g
35.648,5.014,g
26.2271,2.1651,g
20.5966,45.299,g
63.9655,5.7611,g
25.2907,3.1678,g
49.5199,16.8734,g
13.1739,16.7394,g
20.5858,23.962,g
76.1914,4.034,g
25.8305,17.392,g
51.0346,9.203,g
93.0607,3.737,g
87.9125,2.628,g
22.2142,23.936,g
48.4816,0.7494,g
26.9169,78.1246,g
53.746,36.8773,g
33.8385,9.0883,g
54.4375,2.6399,g
34.6872,4.286,g
20.8857,58.7535,g
56.5563,1.695,g
22.6828,6.211,g
36.2836,24.191,g
22.2418,18.5462,g
18.9821,18.537,g
27.0104,11.766,g
25.9264,19.267,g
23.7368,30.194,g
41.8489,5.055,g
63.8905,4.63,g
94.6049,1.2109,g
26.0216,44.3455,g
21.2163,27.583,g
52.3507,5.164,g
23.945,7.211,g
37.5297,30.76,g
20.8415,33.539,g
80.2186,0.8713,g
53.1946,2.701,g
49.8805,39.8357,g
17.4019,72.654,g
48.6283,2.809,g
114.476,1.1708,g
22.4791,30.8451,g
25.3811,37.555,g
28.0209,27.3043,g
49.4822,3.8218,g
