@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
16.0021,2.6449,40.092,g
15.6364,2.638,3.251,g
19.2817,2.6375,77.5379,g
36.4657,3.6809,17.575,g
14.6867,2.5434,9.862,g
7.1717,2.1255,85.103,g
17.775,2.5993,81.8671,g
11.7563,2.4074,69.2291,g
39.5491,3.9457,4.0677,g
32.4617,2.7938,9.628,g
12.8876,2.4191,26.586,g
39.9496,4.0942,3.0094,g
7.1982,2.2443,88.4999,g
7.2419,2.1775,9.1256,g
15.0832,2.3075,44.74,g
33.3225,3.8949,3.7714,g
14.4511,2.7941,32.377,g
37.459,3.2412,31.553,g
23.1372,3.2357,12.616,g
12.1812,2.3664,18.354,g
25.6517,3.03,46.1539,g
25.5221,3.1307,0.402,g
22.0999,3.1746,5.4509,g
12.2939,2.4556,53.7383,g
15.468,2.6628,26.996,g
0,2.3149,0,g
23.5917,3.3842,0.71,g
20.2437,3.1313,6.846,g
7.2912,2.4116,0.589,g
10.0147,2.4031,50.86,g
15.8392,2.6821,83.8778,g
35.2208,3.3244,2.129,g
14.0718,2.4893,47.377,g
20.5976,2.8979,5.1606,g
21.9779,2.7864,6.11,g
29.8364,3.3093,1.6058,g
36.8892,2.772,16.194,g
14.7674,2.4997,39.4624,g
16.6038,2.7716,15.834,g
37.9939,4.0896,1.024,g
23.3226,3.2331,25.6015,g
23.1654,3.0101,2.1522,g
16.5417,2.6107,3.5355,g
24.3438,2.9368,19.977,g
21.7506,3.5485,0.2763,g
15.5717,2.667,7.608,g
14.3012,2.5539,20.8407,g
10.2434,2.3483,12.938,g
15.6801,2.8132,8.2676,g
11.3381,2.5051,21.817,g
19.8114,2.6794,18.65,g
17.6112,2.3551,8.3828,g
22.2848,3.3116,0.6261,g
14.8974,2.8663,7.136,g
11.6146,2.4914,30.148,g
8.4981,2.3541,9.3744,g
25.5782,3.0092,1.8934,g
25.9623,3.2369,19.89,g
40.3261,3.6494,1.7505,g
10.9047,2.5775,6.219,g
19.0787,2.94,27.4184,g
0,2.2,47.7751,g
12.1986,2.5521,6.6964,g
16.2488,2.9759,7.0604,g
16.3956,2.7147,0.0821,g
10.7215,2.1351,32.861,g
14.9461,2.3075,51.0269,g
12.0404,2.2,18.3994,g
21.2758,2.8156,30.825,g
57.3927,4.2401,2.931,g
30.7499,3.0086,13.377,g
14.1847,2.499,89.9535,g
16.4389,2.7945,1.8977,g
47.0706,3.0527,17.086,g
16.2389,2.3945,15.4009,g
23.8253,3.0092,6.121,g
13.6215,2.6042,5.3844,g
28.5416,3.1921,2.661,g
19.9412,2.9865,8.724,g
19.8422,2.9474,14.5122,g
41.9258,4.0443,3.7039,g
22.1306,3.2543,10.649,g
27.6647,3.5497,8.3983,g
18.2389,2.5781,9.141,g
16.1578,2.357,67.7358,g
18.2532,2.6937,13.812,g
24.8696,3.044,25.394,g
13.7599,2.586,15.0753,g
22.1564,2.8873,9.383,g
16.3552,2.6474,19.6343,g
20.0252,2.4836,24.26,g
22.0786,3.1838,0.5805,g
12.6677,2.2695,12.169,g
22.594,3.0107,16.037,g
16.7695,2.6201,4.1,g
16.9119,2.6299,56.523,g
17.3662,2.3274,1.493,g
24.843,3.4371,8.174,g
6.9116,2.1319,7.414,g
14.4091,2.5017,5.515,g
14.2779,2.5723,47.559,g
30.0414,3.0202,0.0345,g
32.9219,3.3583,4.358,g
20.5633,2.6762,17.999,g
17.6444,2.5359,15.148,g
19.9946,2.9423,15.151,g
32.736,3.683,5.627,g
27.6602,2.8479,11.7922,g
11.4348,2.1658,9.2006,g
23.842,3.3945,10.6904,g
24.7904,3.4318,1.621,g
19.9695,2.3086,63.4398,g
21.7638,2.9266,20.5187,g
22.6843,3.031,14.976,g
9.6675,2.3589,44.0434,g
17.3168,2.6439,10.742,g
12.665,2.3664,4.941,g
17.6963,2.4479,79.712,g
41.5354,3.5597,26.8401,g
10.2621,2.2529,26.1461,g
28.4542,3.6142,3.2719,g
14.0499,2.6542,5.4954,g
21.4481,2.6924,8.129,g
23.2731,3.1002,4.6995,g
28.6412,3.4029,5.703,g
18.698,2.7304,0.56,g
22.8539,2.8241,30.5133,g
20.0742,2.7763,54.004,g
12.3949,2.2923,3.145,g
34.0896,3.5389,4.172,g
29.3006,3.6658,2.4487,g
18.6983,3.2834,6.3952,g
21.7152,3.3981,0.075,g
36.8864,3.5261,3.9967,g
6.8176,2.0774,23.9321,g
15.1933,2.7202,2.9967,g
6.7906,2.3589,43.554,g
10.4372,2.1629,58.386,g
34.263,3.0932,9.5567,g
9.9431,2.2028,54.7684,g
11.5357,2.4322,26.025,g
10.3991,2.1399,5.6931,g
18.6554,2.8791,1.819,g
17.4723,2.3191,53.4984,g
24.8108,2.9948,5.092,g
24.8821,3.321,10.429,g
27.0765,2.9373,31.2271,g
20.8285,2.9167,6.903,g
20.7548,3.0434,6.941,g
16.2294,2.4893,17.8954,g
0,2.1477,12.5074,g
19.7938,2.7675,3.2801,g
7.6722,2.2175,6.445,g
13.7293,2.382,2.6206,g
11.3311,2.1156,43.7132,g
10.7622,2.3096,79.763,g
11.1869,2.3909,3.426,g
16.8221,2.7771,74.6315,g
25.9336,3.143,2.173,g
16.8762,2.7738,16.575,g
22.951,3.1608,14.047,g
18.5898,2.5211,32.28,g
16.237,2.7927,1.379,g
10.3079,2.2201,63.735,g
6.4102,2.1319,65.694,g
36.3217,4.0231,0.5982,g
11.7773,2.6488,6.3297,g
13.4125,2.9509,6.4844,g
32.3037,3.5645,1.775,g
14.9228,2.5855,24.9145,g
28.6052,2.6594,0.9214,g
31.0974,3.4678,1.192,g
11.0068,2.243,8.279,g
24.2694,3.1558,9.976,g
9.2682,2.4969,3.927,g
10.7672,2.433,6.816,g
17.6425,2.6258,77.961,g
11.3034,2.4935,19.4896,g
31.682,3.4011,7.0441,g
16.0478,2.4166,52.521,g
62.1755,4.3152,9.964,g
11.6998,2.0233,56.8101,g
22.0828,3.1191,7.652,g
22.6579,3.049,2.0522,g
12.481,2.5231,28.516,g
17.4339,2.4878,39.035,g
13.88,2.7482,4.6031,g
15.8767,2.5786,32.005,g
14.0799,2.5905,0.141,g
47.3822,4.1949,1.0667,g
