@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
28.7967,2.6449,0.1982,40.092,g
44.7394,2.638,0.1715,3.251,g
27.2304,2.6375,0.2039,77.5379,g
84.61,3.6809,0.0714,17.575,g
24.999,2.5434,0.2332,9.862,g
20.8112,2.1255,0.3558,85.103,g
24.999,2.5993,0.2453,81.8671,g
18.4475,2.4074,0.4051,69.2291,g
101.703,3.9457,0.077,4.0677,g
41.3848,2.7938,0.1889,9.628,g
20.5839,2.4191,0.2648,26.586,g
91.6174,4.0942,0.0406,3.0094,g
20.7154,2.2443,0.3618,88.4999,g
20.4525,2.1775,0.3754,9.1256,g
17.8912,2.3075,0.3818,44.74,g
84.2741,3.8949,0.0635,3.7714,g
33.7616,2.7941,0.2096,32.377,g
74.3456,3.2412,0.0801,31.553,g
78.2002,3.2357,0.1212,12.616,g
19.7592,2.3664,0.2989,18.354,g
44.9999,3.03,0.1405,46.1539,g
68.9648,3.1307,0.1121,0.402,g
49.6601,3.1746,0.1843,5.4509,g
19.4731,2.4556,0.3205,53.7383,g
24.5581,2.6628,0.1989,26.996,g
23.6426,2.3149,0.3705,0,g
88.6611,3.3842,0.0981,0.71,g
43.9615,3.1313,0.109,6.846,g
109.37,2.4116,0.3973,0.589,g
18.7703,2.4031,0.3577,50.86,g
19.7692,2.6821,0.3274,83.8778,g
79.7124,3.3244,0.1708,2.129,g
27.1848,2.4893,0.2188,47.377,g
66.8289,2.8979,0.1967,5.1606,g
35.8341,2.7864,0.148,6.11,g
40.0436,3.3093,0.0881,1.6058,g
81.8495,2.772,0.1513,16.194,g
23.4123,2.4997,0.2927,39.4624,g
37.7253,2.7716,0.1497,15.834,g
94.8276,4.0896,0.0506,1.024,g
38.0902,3.2331,0.1535,25.6015,g
72.6419,3.0101,0.1832,2.1522,g
28.7248,2.6107,0.1875,3.5355,g
29.4682,2.9368,0.144,19.977,g
95.6947,3.5485,0.0632,0.2763,g
33.1706,2.667,0.253,7.608,g
24.4446,2.5539,0.2304,20.8407,g
18.9434,2.3483,0.2892,12.938,g
48.8261,2.8132,0.2068,8.2676,g
23.4563,2.5051,0.2766,21.817,g
31.3318,2.6794,0.2061,18.65,g
18.6774,2.3551,0.3068,8.3828,g
48.5152,3.3116,0.11,0.6261,g
32.392,2.8663,0.2211,7.136,g
26.503,2.4914,0.2694,30.148,g
21.0167,2.3541,0.4137,9.3744,g
51.6785,3.0092,0.1023,1.8934,g
57.1182,3.2369,0.0982,19.89,g
82.1714,3.6494,0.0725,1.7505,g
25.0822,2.5775,0.2712,6.219,g
35.5418,2.94,0.1682,27.4184,g
23.6729,2.2,0.4196,47.7751,g
34.2078,2.5521,0.2006,6.6964,g
37.1898,2.9759,0.1739,7.0604,g
40.9872,2.7147,0.1649,0.0821,g
12.9987,2.1351,0.4872,32.861,g
16.9818,2.3075,0.4261,51.0269,g
12.4392,2.2,0.3438,18.3994,g
27.1388,2.8156,0.1766,30.825,g
100.038,4.2401,0.0481,2.931,g
64.5397,3.0086,0.177,13.377,g
28.2176,2.499,0.1854,89.9535,g
36.9048,2.7945,0.179,1.8977,g
92.3723,3.0527,0.0996,17.086,g
23.8022,2.3945,0.1875,15.4009,g
41.0476,3.0092,0.1121,6.121,g
21.0689,2.6042,0.2724,5.3844,g
102.285,3.1921,0.1494,2.661,g
32.853,2.9865,0.1645,8.724,g
40.3463,2.9474,0.11,14.5122,g
77.3543,4.0443,0.054,3.7039,g
51.264,3.2543,0.115,10.649,g
70.1638,3.5497,0.076,8.3983,g
27.7483,2.5781,0.1863,9.141,g
18.0652,2.357,0.3099,67.7358,g
31.79,2.6937,0.2217,13.812,g
37.374,3.044,0.1152,25.394,g
18.6774,2.586,0.3722,15.0753,g
33.7945,2.8873,0.1316,9.383,g
26.277,2.6474,0.2264,19.6343,g
32.4832,2.4836,0.1921,24.26,g
81.5827,3.1838,0.1287,0.5805,g
22.3851,2.2695,0.3038,12.169,g
41.6441,3.0107,0.1576,16.037,g
40.0334,2.6201,0.1331,4.1,g
30.8343,2.6299,0.163,56.523,g
21.462,2.3274,0.2376,1.493,g
58.3389,3.4371,0.066,8.174,g
20.6484,2.1319,0.4391,7.414,g
18.4901,2.5017,0.3543,5.515,g
29.2688,2.5723,0.2021,47.559,g
38.5396,3.0202,0.1246,0.0345,g
123.623,3.3583,0.1163,4.358,g
43.3752,2.6762,0.1338,17.999,g
24.8854,2.5359,0.1761,15.148,g
55.6462,2.9423,0.1468,15.151,g
88.992,3.683,0.0733,5.627,g
40.1071,2.8479,0.11,11.7922,g
12.8789,2.1658,0.372,9.2006,g
37.8069,3.3945,0.1026,10.6904,g
56.1911,3.4318,0.0994,1.621,g
20.47,2.3086,0.2482,63.4398,g
56.2863,2.9266,0.0965,20.5187,g
42.6005,3.031,0.1206,14.976,g
27.8752,2.3589,0.361,44.0434,g
28.1148,2.6439,0.1873,10.742,g
21.9255,2.3664,0.2774,4.941,g
23.4322,2.4479,0.2264,79.712,g
88.0016,3.5597,0.0602,26.8401,g
18.621,2.2529,0.3101,26.1461,g
49.7636,3.6142,0.0996,3.2719,g
49.8051,2.6542,0.1585,5.4954,g
65.4261,2.6924,0.1472,8.129,g
65.6466,3.1002,0.2076,4.6995,g
85.9632,3.4029,0.1525,5.703,g
29.7499,2.7304,0.1628,0.56,g
25.519,2.8241,0.1837,30.5133,g
29.0348,2.7763,0.2167,54.004,g
23.9073,2.2923,0.375,3.145,g
76.6239,3.5389,0.0794,4.172,g
79.7263,3.6658,0.0776,2.4487,g
70.6323,3.2834,0.1278,6.3952,g
77.5425,3.3981,0.1597,0.075,g
77.6918,3.5261,0.1205,3.9967,g
21.5488,2.0774,0.4142,23.9321,g
29.9045,2.7202,0.2848,2.9967,g
34.2512,2.3589,0.3654,43.554,g
13.2138,2.1629,0.4777,58.386,g
94.1916,3.0932,0.0875,9.5567,g
12.9497,2.2028,0.5549,54.7684,g
28.8686,2.4322,0.2495,26.025,g
22.3636,2.1399,0.2717,5.6931,g
56.9476,2.8791,0.1856,1.819,g
18.4882,2.3191,0.247,53.4984,g
44.7735,2.9948,0.1169,5.092,g
82.258,3.321,0.0833,10.429,g
35.9532,2.9373,0.1519,31.2271,g
43.6702,2.9167,0.1423,6.903,g
38.3982,3.0434,0.1633,6.941,g
40.0572,2.4893,0.1799,17.8954,g
23.5813,2.1477,0.4235,12.5074,g
79.5318,2.7675,0.1529,3.2801,g
28.7643,2.2175,0.3061,6.445,g
50.1521,2.382,0.1888,2.6206,g
12.8721,2.1156,0.4253,43.7132,g
16.1144,2.3096,0.4534,79.763,g
29.2419,2.3909,0.2622,3.426,g
37.6527,2.7771,0.1429,74.6315,g
83.8164,3.143,0.1241,2.173,g
