@relation magic

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
17.5395,2.8899,3.5686,g
18.7737,3.0763,7.8896,g
7.3964,2.2589,10.1245,g
17.5674,2.7011,1.314,g
32.6355,3.6311,2.7956,g
17.7526,3.2418,0.0253,g
22.6032,2.7348,59.415,g
15.6377,2.4082,85.4134,g
17.501,2.8011,7.6914,g
15.8671,2.752,0.487,g
13.9434,2.4843,11.5031,g
15.3608,2.7945,13.69,g
13.9393,2.6435,36.155,g
28.662,2.9724,4.5248,g
13.9151,2.4914,10.303,g
12.5133,2.5231,7.979,g
14.8271,2.8785,1.87,g
15.6989,2.4955,79.7296,g
17.6383,2.8052,21.887,g
24.0241,3.3869,0.656,g
16.2165,2.6781,5.2329,g
16.8762,2.7738,16.575,g
17.3168,2.6439,10.742,g
30.9665,3.6383,4.3045,g
11.3159,2.2068,39.8,g
14.3352,2.5192,85.8903,g
34.7793,3.5449,3.0108,g
10.1082,2.3139,47.2156,g
22.7587,3.301,0.249,g
22.8978,3.0348,5.3027,g
22.5865,2.7493,3.2549,g
12.7537,2.549,4.506,g
8.7698,2.7292,7.891,g
45.978,3.934,3.809,g
23.6134,2.9516,2.9936,g
6.807,2.2028,55.157,g
15.9993,2.4955,15.277,g
14.1847,2.499,89.9535,g
23.3557,2.8979,5.6571,g
12.8338,2.5478,1.0147,g
16.6884,2.8998,4.995,g
42.8958,2.871,1.9948,g
18.0876,2.6893,8.682,g
92.0095,4.6791,4.3673,g
7.6722,2.2175,6.445,g
24.0205,3.745,1.963,g
19.981,2.9825,0.5867,g
20.4787,2.9521,15.876,g
32.4995,3.7361,1.932,g
9.3126,2.3054,18.231,g
13.5327,2.6866,2.125,g
12.3135,2.4771,20.868,g
44.5867,4.0204,1.542,g
25.803,3.5737,7.596,g
15.0286,2.6048,2.521,g
27.8348,3.6693,0.9347,g
12.1042,2.3414,2.843,g
25.9907,3.0953,2.441,g
24.8821,3.321,10.429,g
16.8507,2.7892,7.963,g
24.3337,3.146,4.8351,g
15.1867,2.3096,68.6733,g
16.4305,2.3355,58.3452,g
20.6403,2.9373,16.521,g
16.0319,2.8976,1.364,g
11.6049,2.5231,18.82,g
18.1076,2.7147,3.3863,g
16.0335,2.8055,19.4174,g
27.8542,3.8487,0.9381,g
12.8035,2.3043,31.0226,g
10.1965,2.2695,0.3038,g
21.5451,2.98,2.68,g
40.472,4.0642,0.2386,g
14.5054,2.4289,22.106,g
9.3411,2.6585,7.915,g
22.9794,2.9196,5.401,g
10.3836,2.1717,15.671,g
9.9135,2.3711,24.6194,g
9.4993,2.4338,21.3597,g
16.093,2.5746,11.519,g
7.8658,2.3483,17.6342,g
12.4431,2.5752,6.518,g
16.7442,2.6698,2.579,g
16.6586,2.9991,5.057,g
14.7528,2.3589,10.066,g
17.0385,2.5422,6.432,g
26.7584,3.8233,1.5906,g
22.4704,2.9845,6.6543,g
10.7054,2.2135,63,g
18.3499,2.8954,9.293,g
10.7629,2.243,87.0791,g
15.2311,2.4487,16.5516,g
10.5164,2.641,6.971,g
11.2343,2.2355,79.8933,g
18.2275,2.5999,9.11,g
16.7782,2.499,5.528,g
21.1247,2.4807,71.3012,g
26.7767,2.7505,40.5414,g
38.3607,3.805,3.104,g
29.9255,3.2917,1.839,g
16.0074,2.9761,0.6344,g
13.0408,2.711,11.72,g
11.795,2.4158,43.3032,g
25.2456,3.3309,12.156,g
23.8289,3.5782,4.159,g
10.8628,2.6191,31.413,g
12.4169,2.3856,29.023,g
18.069,2.8338,0.699,g
29.7596,3.411,6.667,g
14.4142,2.4698,30.756,g
10.987,2.5315,38.4602,g
11.5594,2.3118,13.7302,g
11.3875,2.3304,9.3001,g
20.3191,2.5641,26.398,g
28.6089,4.014,0.637,g
15.1199,2.798,10.3,g
10.6045,2.1021,11.929,g
16.9759,2.6684,53.3158,g
82.8625,4.6295,2.337,g
18.0857,2.5623,76.155,g
27.7681,3.3029,1.8306,g
7.466,2.2109,69.8962,g
26.173,2.7384,3.906,g
27.2877,3.0519,0.669,g
9.5944,2.3674,6.052,g
32.0819,3.6056,2.9756,g
17.5926,3.2055,3.3209,g
16.1959,2.8347,1.57,g
13.5287,2.4108,40.1475,g
16.4847,3.1472,1.308,g
11.348,2.1538,22.118,g
21.2982,2.8466,8.758,g
24.7377,3.1988,8.99,g
17.2359,2.8017,5.975,g
12.0859,2.5244,23.3573,g
19.2236,2.608,66.7511,g
10.112,2.2148,16.843,g
26.4615,3.0156,9.783,g
21.4145,3.2118,4.823,g
15.4761,2.3775,86.2351,g
19.7604,2.955,9.3727,g
14.2675,2.6201,3.139,g
16.4443,2.415,52.38,g
16.1369,3.0851,0.8192,g
26.1698,2.6212,31.0894,g
32.065,3.9639,0.6696,g
21.5693,3.5101,2.622,g
12.8951,2.4257,7.9672,g
21.2136,3.4673,4.8249,g
14.3228,2.5843,66.6152,g
15.5086,2.786,1.7099,g
19.4397,2.5257,8.916,g
13.3274,2.635,13.838,g
15.9965,2.7097,6.304,g
22.8223,2.7835,43.7885,g
12.6133,2.6712,55.9291,g
9.5406,2.3385,46.9799,g
