@relation magic

@attribute FWidth numeric
@attribute FSize numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
14.344,2.633,-9.3896,12.0537,g
15.8672,2.6075,18.9339,10.039,g
31.6829,3.7285,73.1529,0.57,g
42.3899,3.3718,54.3394,64.0988,g
12.3249,2.5038,-15.1941,3.64,g
14.8267,2.4526,11.8516,20.363,g
28.5682,3.6705,70.1802,2.531,g
17.2441,2.9304,22.5333,5.7442,g
29.3052,3.1356,-26.7427,18.278,g
11.1028,2.1055,-6.9602,32.5129,g
29.8467,3.7147,61.4144,0.439,g
9.7132,2.3304,-13.869,0.8576,g
10.9804,2.2279,-2.1514,5.964,g
21.5951,3.1198,31.0661,8.909,g
22.6787,2.9859,-22.4769,4.376,g
24.0908,3.2658,61.5344,7.626,g
11.1067,2.2601,18.4301,43.8882,g
10.6539,2.1538,2.4479,41.3072,g
17.6425,2.6258,-32.7277,77.961,g
20.1482,2.8573,-11.5408,16.8734,g
37.3368,4.0157,75.7577,0.667,g
17.6026,2.7296,9.5193,88.0136,g
22.71,3.0441,-20.6427,0.3822,g
24.6266,3.3913,34.9363,2.0648,g
26.5826,3.2501,27.604,9.601,g
24.0639,2.8045,42.1082,11.1895,g
24.8016,2.993,-53.5001,0.298,g
20.6164,2.9345,27.1753,3.278,g
6.6898,2.1717,15.8595,10.772,g
10.0227,2.2945,0,61.973,g
18.0335,2.6269,25.0526,23.5489,g
22.2937,3.2443,40.0464,3.2717,g
21.7627,3.1841,-25.3418,8.0679,g
10.4581,2.2028,5.5312,48.129,g
15.6538,2.5328,3.828,70.1989,g
6.4342,2.3729,21.8897,10.153,g
16.4894,2.7505,27.5567,35.8363,g
35.8026,3.407,66.4311,2.787,g
14.4022,2.5179,-12.538,16.183,g
19.6319,3.2564,47.9049,5.6351,g
28.1032,3.4176,55.0795,5.324,g
18.8976,3.049,57.768,15.494,g
15.6521,2.6527,22.1003,0.653,g
17.239,2.8862,54.9726,9.3363,g
