@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,7,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
9.5728,2.3385,-6.4633,10.449,g
33.1061,3.1944,-33.8765,8.292,g
29.1356,3.5265,89.5136,3.312,g
26.7866,3.4231,68.3446,0.3647,g
25.9259,3.1984,50.5528,11.5159,g
14.6976,2.2934,17.3916,13.17,g
11.2825,3.0071,-48.92,2.5099,g
10.3849,2.316,-17.6826,1.5485,g
27.5272,2.8868,-19.3902,5.097,g
13.2636,2.3793,-17.1724,26.3559,g
19.0726,2.6191,11.1564,81.6368,g
19.9402,2.9978,44.4537,12.267,g
16.2775,2.6522,-15.3203,27.835,g
15.7069,2.4065,22.4139,1.7371,g
19.6957,2.8561,21.2875,27.297,g
23.7635,3.1281,41.2256,1.0067,g
11.2837,2.5653,-19.3437,4.6366,g
20.9217,3.1942,36.6852,0.556,g
12.9011,2.2355,-12.0722,33.5573,g
12.7729,2.4417,11.5546,31.4965,g
25.803,3.5737,58.4267,7.596,g
13.4246,2.9717,76.5354,5.847,g
19.4103,2.5521,-21.0367,12.24,g
27.6518,3.4718,53.802,17.073,g
18.4822,2.7882,-21.5671,3.655,g
10.398,2.2788,11.3674,45.778,g
11.9477,2.4464,-10.1699,20.997,g
19.347,2.9363,40.5783,7.132,g
22.2757,2.8497,-36.4026,8.217,g
14.4233,2.7396,37.0007,11.679,g
14.7801,2.8264,-15.1459,10.721,g
18.1128,2.6556,14.3378,66.0281,g
18.0596,2.7574,49.8049,73.9247,g
15.7457,2.8041,14.8127,3.952,g
13.3786,2.5484,-25.4043,4.661,g
24.6122,3.0257,27.5978,7.341,g
27.8697,3.0837,-38.1196,6.845,g
10.0635,2.4031,13.3886,23.3338,g
9.2152,2.2516,10.0579,31.8219,g
28.5147,3.3217,80.0073,2.984,g
16.2113,2.3883,15.2242,68.464,g
11.2603,2.081,5.9191,56.521,g
35.0948,3.7411,29.1815,4.122,g
21.3476,3.1594,22.1001,1.0148,g
15.872,2.6493,19.358,2.073,g
16.9003,2.7033,-13.2944,0.2976,g
20.8866,3.0927,-24.6513,3.4724,g
7.437,2.1222,-7.5664,74.6152,g
16.9979,2.4362,13.8627,23.367,g
19.6079,2.6212,23.5966,21.0958,g
18.8949,3.1154,46.3781,8.293,g
10.0087,2.2175,18.1984,0.572,g
22.8778,3.2367,85.5687,1.57,g
22.0026,2.617,20.2385,37.1267,g
12.0269,2.5205,16.1869,9.697,g
16.5615,2.5871,37.0206,27.593,g
18.7334,2.5179,11.422,10.1102,g
10.5265,2.1732,-18.8925,14.4397,g
10.5157,2.1945,4.3614,76.331,g
14.3351,2.7243,31.9063,10.5513,g
10.91,2.1319,-5.3863,81.2793,g
15.7917,2.6599,30.4447,7.651,g
29.7264,3.1915,23.7578,18.3709,g
20.0584,2.5955,22.5903,81.7955,g
35.066,3.6719,52.2989,6.811,g
8.2482,2.4057,20.0241,21.175,g
0,2.0273,0,66.733,g
21.8228,3.0312,42.6022,1.2986,g
17.982,2.7497,-19.4625,8.974,g
10.3919,2.382,5.7769,18.0235,g
16.3143,2.6518,20.5957,48.493,g
12.3317,2.5145,-17.7864,42.108,g
19.2643,2.9172,41.2236,2.5772,g
18.02,3.3073,59.9175,1.3107,g
26.6873,3.7525,39.0716,0.035,g
33.6984,3.9898,83.0857,3.0278,g
21.5338,2.8876,-34.0836,19.187,g
