@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,11'

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
16.0328,2.7756,38.707,g
9.0462,2.3365,43.0032,g
18.907,2.6781,26.881,g
19.2286,2.5629,1.521,g
20.8103,3.0438,4.25,g
25.1091,3.1041,5.5119,g
39.4755,3.9903,3.8107,g
34.5134,4.1295,0.084,g
24.94,3.4357,9.941,g
22.1354,3.0885,3.497,g
6.832,2.1804,35.4993,g
10.4502,2.2718,43.3661,g
16.2843,2.5605,83.8081,g
15.08,2.3927,13.741,g
17.46,2.5821,25.657,g
12.8142,2.5391,65.2451,g
15.8708,2.4526,2.5957,g
14.9183,2.8445,5.066,g
33.6033,3.8528,0.7567,g
30.8693,3.4791,1.1057,g
14.3361,3.096,0.644,g
16.1025,2.4969,12.9801,g
13.7346,2.7459,1.7038,g
12.2973,2.6435,5.096,g
12.5696,2.5441,1.925,g
16.6321,2.944,0.305,g
28.8301,2.7168,10.304,g
17.4731,2.7835,0.137,g
31.9315,3.1602,17.7108,g
24.1174,2.9834,46.43,g
11.6489,2.3464,69.7431,g
29.8932,2.7792,29.644,g
15.0057,2.4742,6.8985,g
14.5068,2.7509,1.985,g
16.8163,2.5599,35.595,g
10.9616,2.1569,88.1516,g
19.3399,2.7675,31.2269,g
29.2949,3.3654,4.1635,g
11.6996,2.0233,79.5407,g
19.4279,2.7251,24.8586,g
20.6045,2.9609,2.4098,g
11.5356,2.6289,6.484,g
11.7229,2.4807,42.523,g
10.4211,2.6693,9.402,g
7.1962,2.1414,25.643,g
18.8762,2.8048,0.803,g
25.9065,3.5062,1.569,g
13.6492,2.6946,2.103,g
11.6049,2.5231,18.82,g
19.428,3.1159,11.3154,g
16.1706,2.7316,49.1483,g
14.9087,2.5557,0.47,g
27.2356,3.2348,13.181,g
15.2975,2.5933,14.19,g
10.0133,2.2055,17.4488,g
26.3884,3.0874,14.573,g
11.4742,2.7275,5.308,g
13.6678,2.4099,0.3082,g
9.0786,2.4191,46.9567,g
18.2024,2.3531,10.9465,g
23.8977,2.9292,0.875,g
11.6106,2.3385,77.7643,g
13.2097,2.3909,37.7264,g
18.2425,2.8293,10.9128,g
18.7591,2.8132,7.4795,g
16.2673,2.637,9.9904,g
24.2392,2.8351,3.9914,g
6.9493,2.0881,24.5335,g
36.6325,3.853,0.983,g
32.4995,3.7361,1.932,g
24.0338,3.1101,21.156,g
20.0338,2.9731,1.197,g
11.4934,2.5315,25.1126,g
19.3349,2.7536,10.25,g
10.4117,2.2856,35.7431,g
28.7095,3.1064,6.1306,g
29.3136,3.742,1.687,g
15.6588,2.6212,3.1526,g
20.6435,2.8142,7.886,g
11.1091,2.3243,4.875,g
28.0417,3.2475,4.366,g
17.7142,2.7962,15.638,g
32.2278,3.7798,1.3536,g
19.0139,2.6527,34.613,g
24.3309,3.3438,7.119,g
28.7262,2.8834,67.903,g
20.8092,2.9841,5.18,g
10.5761,2.4005,72.391,g
9.2873,2.3096,25.804,g
14.7859,2.5276,62.975,g
24.9316,3.2232,2.562,g
15.6011,2.6857,25.199,g
23.2784,2.9474,4.6616,g
31.2859,3.0674,3.348,g
22.0149,2.9511,20.518,g
11.5361,2.4487,7.8731,g
12.5631,2.4108,43.561,g
23.4296,2.5664,35.99,g
38.4424,3.1392,0.834,g
11.4525,2.3971,6.0457,g
32.3601,3.7994,6.69,g
25.182,3.2003,6.7129,g
16.5268,2.8132,8.477,g
10.7987,2.3355,37.4068,g
18.1651,3.0544,10.098,g
17.8999,2.5496,30.327,g
30.4244,2.943,12.026,g
18.4218,2.3997,69.8177,g
17.4852,2.6498,10.206,g
40.143,4.1202,0.2545,g
17.0655,2.3385,24.6377,g
30.5905,3.2602,15.75,g
