@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc1 numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
27.0469,2.2201,0.3163,12.261,g
19.0847,2.3847,0.2907,35.3545,g
100.012,4.1322,0.0453,3.081,g
90.4744,3.7861,0.1113,2.281,g
16.4338,2.233,0.3129,45.878,g
27.3482,2.6149,0.2585,18.766,g
45.6044,3.1471,0.1458,0.963,g
12.6982,2.1746,0.3712,2.019,g
29.7465,2.3531,0.3171,25.441,g
45.563,2.7392,0.1632,8.2167,g
20.7322,2.0473,0.3632,17.933,g
39.6948,2.8837,0.2059,6.11,g
20.8589,2.4997,0.2358,36.551,g
18.3014,2.2095,0.2809,13.462,g
82.4208,2.6826,0.2544,0.0258,g
56.542,3.1996,0.1127,24.289,g
115.515,2.6279,0.159,6.817,g
21.0981,2.2989,0.3492,66.57,g
48.6658,2.6716,0.1608,0.1985,g
47.0589,2.7675,0.1529,15.2609,g
50.1872,3.4718,0.096,17.073,g
18.1879,2.2672,0.327,6.3162,g
31.0527,2.6968,0.1719,15.591,g
76.8004,3.4847,0.1099,0.442,g
45.5944,2.938,0.1286,83.9665,g
25.4758,2.7789,0.2055,1.0915,g
69.8407,2.6981,0.1653,4.3842,g
56.1429,3.4331,0.0636,41.9676,g
23.8423,2.3838,0.2169,31.192,g
39.938,2.5152,0.1756,14.4579,g
18.8956,2.3444,0.2919,8.4598,g
57.4424,3.718,0.0924,3.1991,g
80.3659,3.1041,0.1286,0.0753,g
40.912,3.6204,0.1101,14.608,g
20.0751,2.4556,0.275,18.131,g
62.0023,3.5554,0.0792,0.505,g
20.2764,2.4175,0.2352,78.2299,g
12.6191,2.1945,0.3802,81.1099,g
61.2538,3.5864,0.0693,14.4978,g
41.0084,2.6656,0.2171,11.2425,g
32.5268,2.4306,0.1763,16.728,g
19.7969,2.0952,0.4137,77.4,g
17.0911,2.3909,0.4004,14.894,g
74.4746,2.9717,0.1435,5.847,g
26.0211,2.4005,0.2883,10.2299,g
33.2272,3.0658,0.1285,29.984,g
70.1391,3.4812,0.1002,1.149,g
22.3664,2.5185,0.3106,30.245,g
17.3904,2.3096,0.3211,10.908,g
13.655,2.3064,0.4321,35.794,g
101.25,2.9696,0.1206,10.965,g
29.7355,2.9593,0.1389,30.9438,g
32.1178,2.316,0.3406,8.105,g
39.6497,2.8606,0.1371,3.3533,g
40.22,3.1948,0.1242,7.1523,g
43.4976,2.6551,0.1825,20.1117,g
33.3489,2.4346,0.2371,43.507,g
22.0729,2.2999,0.2632,38.1238,g
55.6736,2.9484,0.3283,4.3032,g
96.5408,3.4348,0.0564,9.0346,g
65.0708,2.8463,0.1645,5.1913,g
71.8,3.0418,0.1367,8.8913,g
72.9599,3.6432,0.0765,4.988,g
35.6563,2.5459,0.2319,4.703,g
114.567,3.7376,0.1059,0.8106,g
31.1818,2.6566,0.2106,41.428,g
106.523,3.0286,0.1128,5.144,g
28.9665,2.48,0.2003,46.063,g
53.9648,3.2015,0.1412,0.857,g
34.1178,2.4005,0.3082,1.154,g
95.724,2.9731,0.1569,1.197,g
60.2779,2.8901,0.1204,25.9201,g
71.0871,2.9795,0.1242,24.0961,g
95.564,3.6901,0.0811,3.2455,g
22.611,2.5132,0.204,59.5027,g
17.4844,2.3064,0.5358,44.6217,g
34.969,3.0237,0.1813,4.116,g
45.9243,3.0815,0.1587,4.8845,g
21.9365,2.2405,0.3649,57.4577,g
72.7337,3.2394,0.1103,3.4835,g
61.7197,3.3175,0.1018,1.32,g
87.0127,3.3364,0.0873,1.9882,g
56.1006,2.932,0.1433,12.322,g
53.6832,2.8048,0.1904,0.803,g
20.4023,2.055,0.3833,34.5528,g
21.0923,2.1931,0.2788,19.3207,g
42.8365,3.0304,0.131,0.1562,g
68.9157,2.2201,0.2741,19.048,g
26.4244,2.5484,0.2023,53.0609,g
30.3331,2.4526,0.2416,0.9075,g
56.5232,2.732,0.2382,17.637,g
46.7381,2.9886,0.1227,3.111,g
23.4309,2.5099,0.2117,76.537,g
28.7412,2.5809,0.2375,23.5268,g
51.9744,2.6217,0.2282,7.673,g
71.1997,2.8195,0.1614,8.079,g
53.7411,2.78,0.1419,26.16,g
105.044,4.276,0.0427,1.96,g
78.3789,3.8644,0.0747,0.9648,g
27.4997,2.8528,0.2056,33.818,g
17.3807,2.3032,0.3756,66.181,g
50.9993,2.8506,0.1615,5.341,g
33.2966,2.9959,0.1954,34.7693,g
22.0915,2.3075,0.3818,54.994,g
93.955,3.2955,0.0767,18.873,g
30.2816,2.1931,0.3173,77.0283,g
21.3993,2.2956,0.2354,17.51,g
50.7177,2.7853,0.2336,7.6056,g
21.3424,2.2788,0.3132,51.719,g
30.9455,2.5809,0.1982,63.926,g
41.6134,3.1356,0.2375,18.278,g
32.6908,2.8065,0.1475,10.018,g
21.974,2.3201,0.3086,23.452,g
30.4527,2.8762,0.127,13.6718,g
73.1241,3.4442,0.0962,4.018,g
36.3631,2.8085,0.1624,18.0525,g
19.2924,2.1508,0.4276,68.7907,g
12.9993,2.0881,0.3796,77.453,g
82.8578,2.9814,0.1216,3.3652,g
21.7385,2.4864,0.2985,14.2929,g
20.7334,2.0737,0.384,0.208,g
19.5795,2.3502,0.3326,9.586,g
42.6022,2.6542,0.1408,9.8372,g
24.8026,2.5888,0.2719,7.5907,g
30.7339,2.5484,0.3098,4.661,g
32.4194,2.8132,0.2022,8.477,g
19.9761,2.1833,0.4033,19.965,g
21.479,2.6042,0.25,25.464,g
23.9355,2.4393,0.2564,86.6051,g
27.028,2.4433,0.2649,65.9551,g
42.97,2.8672,0.1093,18.49,g
28.9235,2.5472,0.234,16.859,g
38.9376,2.9782,0.1341,15.1288,g
79.3412,3.0592,0.1497,1.5576,g
21.6581,2.2014,0.2799,39.009,g
149.37,3.0722,0.1757,4.2585,g
24.1434,2.0881,0.3633,59.3964,g
27.4926,2.1931,0.3365,58.4118,g
31.8375,2.6781,0.1459,8.675,g
31.9672,2.6642,0.2286,9.152,g
49.1764,3.2172,0.1252,0.7988,g
21.5813,2.179,0.3344,20.293,g
27.6431,2.6123,0.265,14.669,g
23.6261,2.6707,0.2487,10.738,g
69.1518,2.8395,0.2308,2.023,g
84.7453,3.6902,0.0972,5.3995,g
43.4722,3.0976,0.1562,26.7377,g
36.9759,3.0833,0.1143,3.906,g
28.1608,2.9996,0.1637,9.4205,g
21.5515,2.8218,0.2163,56.071,g
56.8061,2.9829,0.1191,11.1946,g
13.438,2.2492,0.4366,43.042,g
23.481,2.5617,0.3306,71.603,g
25.7821,2.6889,0.1853,35.16,g
33.0788,2.7649,0.2088,2.2025,g
32.5567,2.9191,0.138,2.952,g
98.4893,3.9381,0.0814,4.909,g
31.0843,2.3979,0.314,28.549,g
114.445,3.0939,0.1116,2.2623,g
21.8056,2.1833,0.4426,55.95,g
88.5482,3.4583,0.1624,1.4057,g
18.7977,2.4241,0.2731,38.1018,g
67.7679,3.4059,0.0964,5.381,g
125.248,2.6138,0.2348,83.7287,g
27.4986,2.2279,0.3343,43.9124,g
12.9954,2.2492,0.5718,29.77,g
87.7575,3.9338,0.0809,1.2098,g
19.5744,2.3464,0.295,42.1379,g
20.3722,2.2844,0.2312,50.6061,g
27.6381,2.9289,0.215,11.2393,g
29.8259,2.6186,0.2106,14.0382,g
59.0249,2.6345,0.2587,0.057,g
19.9964,2.8079,0.3183,3.6905,g
57.5809,2.6684,0.177,6.463,g
36.5256,2.5289,0.1642,7.4831,g
18.9819,2.4158,0.2591,23.387,g
56.817,3.1888,0.122,8.831,g
23.2148,2.6069,0.2781,39.3565,g
109.193,4.2381,0.0423,2.694,g
54.9859,3.1106,0.1074,15.4057,g
56.5581,2.9598,0.1245,3.622,g
13.0293,2.081,0.4191,58.1726,g
72.7983,3.3429,0.0815,7.4414,g
22.6241,2.5821,0.25,5.6815,g
40.6292,2.679,0.1644,11.7327,g
79.2015,3.4651,0.0913,4.884,g
19.9742,2.5593,0.28,8.793,g
23.8048,2.29,0.3513,4.708,g
95.9193,3.3052,0.1458,7.4375,g
109.32,4.3035,0.0411,1.102,g
19.4019,2.5838,0.3194,12.6022,g
38.0974,3.0436,0.1334,3.185,g
70.93,3.8856,0.0662,2.062,g
24.0671,2.29,0.3205,21.05,g
88.5821,3.3989,0.0792,3.144,g
97.509,3.3096,0.0738,8.5859,g
37.4641,3.0022,0.1517,6.867,g
46.7975,3.3597,0.1247,0.372,g
41.3527,2.2911,0.2225,9.469,g
39.3749,3.0312,0.1587,3.97,g
24.6381,2.6385,0.2655,76.4614,g
16.7571,2.3243,0.3768,71.177,g
33.9349,2.5478,0.1827,8.1657,g
22.1515,2.1847,0.2712,48.964,g
84.3787,3.6211,0.1222,0.1081,g
28.0299,2.723,0.2431,2.7746,g
37.5766,2.6279,0.1449,31.6802,g
49.2717,2.9001,0.1064,51.921,g
42.1149,2.8052,0.1934,16.9055,g
28.733,2.8014,0.1935,11.8961,g
13.9473,2.3454,0.4582,25.1526,g
29.2222,2.7482,0.233,23.553,g
71.2506,3.0695,0.1521,0.738,g
72.0033,3.8963,0.0724,0.346,g
33.9272,2.6488,0.1336,78.655,g
69.7555,3.0481,0.107,4.179,g
96.5847,4.0688,0.0512,0.846,g
91.6423,3.8484,0.043,16.622,g
18.3117,2.437,0.3309,59.809,g
26.1083,2.6513,0.2132,17.658,g
19.8723,2.2999,0.4135,47.741,g
109.723,4.2302,0.0328,3.4161,g
72.6123,3.0616,0.1219,6.3019,g
21.4607,2.2923,0.3444,11.8712,g
50.3257,3.1971,0.0765,62.8246,g
20.5175,2.4616,0.2539,53.922,g
28.4957,2.8351,0.2303,45.184,g
30.5026,2.5883,0.1871,27.9829,g
20.1645,2.0737,0.3924,40.5831,g
