@relation texture

@attribute A1 numeric
@attribute A6 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A29 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.069,-0.233,-1.069,-0.677,-0.867,-1.009,-0.728,-0.686,-0.66,-0.659,-0.701,2
-1.212,-0.518,-1.212,-0.846,-0.921,-1.065,-0.714,-0.802,-0.76,-0.712,-0.77,2
-1.052,-0.286,-1.052,-0.694,-0.843,-1.023,-0.694,-0.666,-0.662,-0.641,-0.731,2
-1.211,-0.367,-1.211,-0.81,-0.873,-0.953,-0.675,-0.7,-0.685,-0.578,-0.555,2
-1.101,-0.317,-1.101,-0.778,-0.819,-0.898,-0.56,-0.678,-0.625,-0.513,-0.515,2
-1.121,-0.248,-1.121,-0.721,-0.752,-0.915,-0.564,-0.569,-0.562,-0.455,-0.518,2
-0.996,-0.291,-0.996,-0.645,-0.797,-0.917,-0.629,-0.659,-0.665,-0.631,-0.662,2
-0.532,-0.081,-0.532,-0.325,-0.338,-0.601,-0.417,-0.248,-0.296,-0.423,-0.64,2
-0.998,-0.258,-0.998,-0.667,-0.715,-0.839,-0.54,-0.562,-0.529,-0.472,-0.549,2
-1.087,-0.41,-1.087,-0.728,-0.859,-0.956,-0.675,-0.708,-0.719,-0.634,-0.661,2
-1.131,-0.259,-1.131,-0.791,-0.804,-0.861,-0.552,-0.628,-0.606,-0.467,-0.452,2
-0.543,-0.408,-0.543,-0.433,-0.397,-0.747,-0.543,-0.344,-0.399,-0.466,-0.628,2
-1.077,-0.304,-1.077,-0.703,-0.824,-1.025,-0.594,-0.667,-0.643,-0.545,-0.605,2
-1.119,-0.296,-1.119,-0.748,-0.844,-0.953,-0.654,-0.694,-0.664,-0.587,-0.654,2
-1.135,-0.297,-1.135,-0.704,-0.837,-0.941,-0.582,-0.734,-0.675,-0.632,-0.68,2
-1.231,-0.253,-1.231,-0.754,-0.906,-0.929,-0.634,-0.735,-0.679,-0.557,-0.552,2
-1.198,-0.339,-1.198,-0.873,-0.927,-1.035,-0.717,-0.722,-0.668,-0.55,-0.542,2
-1.218,-0.426,-1.218,-0.767,-0.96,-1.095,-0.797,-0.842,-0.777,-0.713,-0.795,2
-1.058,-0.406,-1.058,-0.768,-0.812,-0.981,-0.657,-0.671,-0.641,-0.589,-0.657,2
-1.165,-0.246,-1.165,-0.762,-0.805,-0.944,-0.648,-0.623,-0.593,-0.471,-0.559,2
-1.02,-0.317,-1.02,-0.655,-0.644,-0.825,-0.468,-0.54,-0.55,-0.43,-0.457,2
-0.821,-0.227,-0.821,-0.558,-0.609,-0.749,-0.593,-0.495,-0.508,-0.565,-0.749,2
-1.012,-0.241,-1.012,-0.642,-0.827,-0.956,-0.637,-0.661,-0.612,-0.549,-0.618,2
