@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-9,12-13,17,20,24,30,35,39,41'

@attribute A2 numeric
@attribute A3 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A20 numeric
@attribute A24 numeric
@attribute A30 numeric
@attribute A35 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.753,-0.668,-0.772,-0.522,-0.422,-0.882,-0.726,-1.02,-0.853,-0.745,-0.901,-0.37,-0.407,2
-0.744,-0.701,-0.749,-0.56,-0.513,-0.817,-0.643,-0.924,-0.739,-0.727,-0.866,-0.462,-0.542,2
-0.663,-0.774,-0.68,-0.533,-0.485,-0.698,-0.629,-0.863,-0.786,-0.666,-0.932,-0.502,-0.583,2
-0.599,-0.818,-0.628,-0.485,-0.432,-0.694,-0.571,-0.832,-0.717,-0.727,-0.933,-0.567,-0.61,2
-0.581,-0.731,-0.599,-0.458,-0.364,-0.706,-0.492,-0.851,-0.604,-0.602,-0.904,-0.392,-0.42,2
-0.559,-0.619,-0.571,-0.421,-0.348,-0.646,-0.463,-0.768,-0.559,-0.653,-0.951,-0.496,-0.495,2
-0.434,-0.577,-0.426,-0.297,-0.238,-0.535,-0.351,-0.643,-0.493,-0.444,-0.855,-0.357,-0.413,2
-0.831,-0.877,-0.84,-0.674,-0.609,-0.878,-0.729,-0.97,-0.819,-0.775,-0.962,-0.556,-0.612,2
-0.526,-0.811,-0.593,-0.516,-0.444,-0.648,-0.551,-0.806,-0.667,-0.506,-0.827,-0.373,-0.4,2
-0.657,-0.778,-0.679,-0.507,-0.472,-0.72,-0.592,-0.863,-0.655,-0.775,-0.991,-0.563,-0.615,2
-0.292,-0.494,-0.208,-0.137,-0.05,-0.379,-0.471,-0.487,-0.548,-0.375,-0.822,-0.362,-0.529,2
-0.859,-0.901,-0.847,-0.699,-0.654,-0.824,-0.713,-0.927,-0.823,-0.76,-0.977,-0.599,-0.651,2
-0.882,-0.965,-0.871,-0.733,-0.673,-0.91,-0.805,-1.003,-0.891,-0.772,-1.025,-0.618,-0.665,2
-0.584,-0.753,-0.611,-0.471,-0.471,-0.688,-0.5,-0.817,-0.656,-0.613,-0.894,-0.471,-0.508,2
-0.818,-0.865,-0.828,-0.669,-0.644,-0.81,-0.843,-0.952,-1.005,-0.715,-1.03,-0.584,-0.65,2
-0.371,-0.66,-0.391,-0.381,-0.356,-0.446,-0.587,-0.576,-0.717,-0.359,-0.711,-0.251,-0.318,2
-0.891,-0.925,-0.898,-0.756,-0.7,-0.883,-0.757,-0.985,-0.882,-0.718,-0.938,-0.572,-0.612,2
-0.685,-0.772,-0.688,-0.528,-0.487,-0.73,-0.693,-0.879,-0.805,-0.676,-1.004,-0.527,-0.575,2
-0.737,-0.717,-0.784,-0.578,-0.521,-0.801,-0.704,-0.934,-0.809,-0.781,-1.04,-0.579,-0.616,2
-0.781,-0.869,-0.759,-0.622,-0.572,-0.781,-0.839,-0.908,-0.958,-0.697,-1.02,-0.501,-0.561,2
-0.682,-0.797,-0.665,-0.517,-0.478,-0.755,-0.667,-0.909,-0.831,-0.715,-0.9,-0.512,-0.583,2
-0.725,-0.838,-0.773,-0.622,-0.585,-0.792,-0.733,-0.937,-0.895,-0.694,-0.981,-0.525,-0.563,2
-0.643,-0.751,-0.666,-0.522,-0.506,-0.706,-0.637,-0.818,-0.741,-0.604,-0.894,-0.519,-0.57,2
-0.683,-0.508,-0.664,-0.382,-0.27,-0.857,-0.655,-0.95,-0.754,-0.737,-0.902,-0.352,-0.381,2
-0.819,-0.875,-0.81,-0.688,-0.647,-0.837,-0.753,-0.946,-0.868,-0.765,-0.914,-0.573,-0.623,2
-0.796,-0.875,-0.799,-0.652,-0.592,-0.774,-0.814,-0.902,-0.929,-0.683,-1.012,-0.546,-0.613,2
-0.792,-0.864,-0.826,-0.65,-0.606,-0.795,-0.788,-0.942,-0.908,-0.844,-1.114,-0.652,-0.711,2
-1.009,-0.994,-1.039,-0.856,-0.787,-1.009,-0.83,-1.117,-0.949,-0.9,-1.051,-0.744,-0.775,2
-0.528,-0.695,-0.468,-0.434,-0.336,-0.547,-0.359,-0.688,-0.499,-0.502,-0.807,-0.452,-0.496,2
-0.64,-0.685,-0.64,-0.454,-0.371,-0.783,-0.709,-0.891,-0.785,-0.657,-0.883,-0.399,-0.436,2
-0.785,-0.807,-0.799,-0.599,-0.504,-0.887,-0.705,-0.99,-0.788,-0.731,-0.914,-0.444,-0.491,2
-0.721,-0.94,-0.718,-0.619,-0.555,-0.736,-0.744,-0.904,-0.897,-0.749,-1.014,-0.649,-0.715,2
-0.789,-0.849,-0.812,-0.657,-0.631,-0.829,-0.738,-0.941,-0.852,-0.741,-0.966,-0.618,-0.663,2
-0.427,-0.529,-0.403,-0.309,-0.251,-0.507,-0.271,-0.689,-0.442,-0.547,-0.772,-0.445,-0.569,2
-0.982,-0.953,-0.983,-0.772,-0.693,-0.956,-0.871,-1.022,-0.88,-0.805,-1.018,-0.64,-0.678,2
-0.566,-0.657,-0.579,-0.438,-0.398,-0.664,-0.569,-0.832,-0.745,-0.637,-0.931,-0.395,-0.459,2
-0.782,-0.672,-0.814,-0.549,-0.434,-0.888,-0.673,-1.014,-0.784,-0.861,-1.02,-0.499,-0.523,2
-0.847,-0.914,-0.851,-0.688,-0.635,-0.876,-0.837,-1.002,-0.943,-0.817,-1.061,-0.573,-0.613,2
-0.835,-0.89,-0.851,-0.691,-0.644,-0.846,-0.8,-0.95,-0.875,-0.766,-1.006,-0.63,-0.669,2
-0.768,-0.821,-0.778,-0.593,-0.497,-0.865,-0.698,-0.962,-0.763,-0.713,-0.911,-0.425,-0.47,2
