@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3-4,6-7,9-11,16,19,21,23-25,30-31,37,41'

@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A16 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.958,-0.707,-0.469,-0.872,-0.62,-0.988,-1.27,-0.75,-0.778,-1.27,-1.035,-0.917,-0.813,-1.039,-1.27,-0.937,2
-0.671,-0.549,-0.362,-0.696,-0.452,-0.665,-1.13,-0.666,-0.736,-1.13,-0.929,-0.771,-0.707,-0.914,-1.13,-0.828,2
-0.674,-0.45,-0.217,-0.668,-0.376,-0.715,-1.265,-0.569,-0.527,-1.265,-0.933,-0.706,-0.593,-0.907,-1.265,-0.809,2
-0.699,-0.538,-0.311,-0.699,-0.409,-0.732,-1.154,-0.575,-0.565,-1.154,-0.907,-0.649,-0.558,-0.857,-1.154,-0.814,2
-0.702,-0.526,-0.321,-0.687,-0.451,-0.809,-1.116,-0.68,-0.678,-1.116,-0.87,-0.659,-0.57,-1,-1.116,-0.783,2
-0.553,-0.379,-0.22,-0.569,-0.277,-0.551,-0.987,-0.528,-0.528,-0.987,-0.822,-0.609,-0.54,-0.846,-0.987,-0.649,2
-0.671,-0.467,-0.266,-0.601,-0.339,-0.595,-0.992,-0.389,-0.413,-0.992,-0.781,-0.528,-0.445,-0.726,-0.992,-0.688,2
-0.921,-0.698,-0.499,-0.816,-0.592,-0.877,-1.205,-0.732,-0.75,-1.205,-1.022,-0.822,-0.764,-1.037,-1.205,-0.959,2
-0.65,-0.426,-0.193,-0.57,-0.33,-0.684,-1.04,-0.53,-0.529,-1.04,-0.908,-0.597,-0.582,-0.928,-1.04,-0.773,2
-0.747,-0.51,-0.385,-0.606,-0.477,-0.758,-1.021,-0.618,-0.684,-1.021,-0.939,-0.687,-0.674,-0.869,-1.021,-0.836,2
-0.734,-0.675,-0.379,-0.863,-0.509,-0.758,-1.322,-0.697,-0.74,-1.322,-1.009,-0.873,-0.745,-1.005,-1.322,-0.933,2
-0.823,-0.47,-0.332,-0.609,-0.462,-0.902,-1.031,-0.623,-0.65,-1.031,-1.026,-0.686,-0.696,-1.006,-1.031,-0.739,2
-0.769,-0.506,-0.428,-0.608,-0.463,-0.751,-0.935,-0.704,-0.732,-0.935,-0.802,-0.622,-0.583,-0.853,-0.935,-0.735,2
-0.528,-0.395,-0.116,-0.575,-0.25,-0.551,-1.128,-0.356,-0.36,-1.128,-0.844,-0.66,-0.582,-0.833,-1.128,-0.862,2
-0.663,-0.611,-0.379,-0.78,-0.462,-0.67,-1.254,-0.654,-0.703,-1.254,-1.002,-0.875,-0.774,-0.976,-1.254,-0.925,2
-0.774,-0.627,-0.35,-0.793,-0.487,-0.785,-1.246,-0.613,-0.634,-1.246,-0.987,-0.737,-0.652,-0.981,-1.246,-0.845,2
-0.619,-0.382,-0.299,-0.559,-0.378,-0.623,-1.032,-0.57,-0.592,-1.032,-0.907,-0.705,-0.678,-0.9,-1.032,-0.792,2
-0.941,-0.756,-0.57,-0.9,-0.682,-0.969,-1.264,-0.787,-0.828,-1.264,-1.064,-0.88,-0.799,-1.035,-1.264,-0.959,2
-0.689,-0.533,-0.335,-0.71,-0.458,-0.779,-1.186,-0.674,-0.68,-1.186,-0.94,-0.718,-0.661,-0.942,-1.186,-0.809,2
-0.736,-0.611,-0.413,-0.77,-0.529,-0.78,-1.181,-0.658,-0.696,-1.181,-0.94,-0.738,-0.668,-0.904,-1.181,-0.852,2
-0.891,-0.567,-0.513,-0.707,-0.569,-0.912,-1.01,-0.634,-0.641,-1.01,-0.789,-0.601,-0.515,-0.832,-1.01,-0.769,2
