@relation texture

@attribute A4 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A33 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.403,-0.599,-0.364,-0.743,-0.706,-0.567,-0.851,-0.587,-0.895,-0.602,-0.42,-0.904,-1.154,-0.387,-0.42,2
-0.567,-0.665,-0.478,-0.769,-0.755,-0.662,-0.909,-0.713,-0.951,-0.715,-0.629,-0.9,-1.026,-0.54,-0.583,2
-0.787,-0.915,-0.684,-0.936,-0.925,-0.771,-1.051,-0.843,-1.068,-0.899,-0.764,-1.046,-1.22,-0.706,-0.692,2
-0.627,-0.793,-0.487,-0.785,-0.868,-0.613,-0.943,-0.691,-0.987,-0.737,-0.495,-0.981,-1.246,-0.546,-0.529,2
-0.558,-0.697,-0.498,-0.835,-0.762,-0.601,-0.891,-0.654,-1.036,-0.8,-0.682,-1.023,-1.151,-0.582,-0.594,2
-0.602,-0.791,-0.498,-0.771,-0.821,-0.708,-0.991,-0.77,-1.02,-0.814,-0.671,-1.015,-1.191,-0.546,-0.581,2
-0.447,-0.637,-0.319,-0.625,-0.762,-0.625,-0.906,-0.678,-0.944,-0.683,-0.555,-0.961,-1.165,-0.416,-0.468,2
-0.474,-0.646,-0.318,-0.644,-0.664,-0.447,-0.794,-0.466,-0.87,-0.721,-0.462,-0.86,-1.214,-0.481,-0.542,2
-0.642,-0.774,-0.569,-0.884,-0.825,-0.714,-0.951,-0.773,-1.044,-0.763,-0.609,-1.05,-1.114,-0.684,-0.59,2
-0.475,-0.701,-0.445,-0.908,-0.71,-0.639,-0.868,-0.654,-0.891,-0.654,-0.44,-0.951,-1.156,-0.432,-0.449,2
-0.885,-1.029,-0.766,-1.021,-0.994,-0.767,-1.105,-0.853,-1.021,-0.871,-0.587,-1.048,-1.375,-0.81,-0.771,2
-0.714,-0.839,-0.623,-0.885,-0.899,-0.846,-1.017,-0.89,-1.058,-0.86,-0.733,-1.05,-1.181,-0.659,-0.674,2
-0.423,-0.524,-0.446,-0.726,-0.605,-0.599,-0.695,-0.626,-0.819,-0.586,-0.542,-0.919,-0.863,-0.612,-0.659,2
