@relation texture

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A28 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.921,-0.613,-0.352,-0.42,-0.4,-0.747,-0.604,-0.627,-0.787,-0.638,-0.776,-0.963,-0.58,-0.485,-0.627,-0.447,2
-1.142,-0.804,-0.582,-0.589,-0.497,-0.82,-0.766,-0.669,-0.921,-0.749,-0.86,-0.925,-0.689,-0.482,-0.685,-0.542,2
-1.225,-0.821,-0.607,-0.593,-0.497,-0.819,-0.797,-0.635,-0.962,-0.739,-0.763,-0.901,-0.713,-0.451,-0.688,-0.509,2
-1.118,-0.768,-0.372,-0.444,-0.346,-0.748,-0.664,-0.583,-0.835,-0.619,-0.622,-0.852,-0.533,-0.352,-0.559,-0.382,2
-1.325,-0.703,-0.675,-0.609,-0.497,-0.728,-0.886,-0.712,-1.071,-0.805,-0.866,-0.975,-0.833,-0.563,-0.779,-0.543,2
-1.151,-0.796,-0.475,-0.497,-0.425,-0.812,-0.676,-0.6,-0.847,-0.646,-0.71,-0.864,-0.562,-0.317,-0.593,-0.495,2
-0.904,-0.654,-0.407,-0.418,-0.396,-0.684,-0.671,-0.64,-0.839,-0.697,-0.834,-0.953,-0.619,-0.525,-0.678,-0.521,2
-1.05,-0.751,-0.535,-0.522,-0.506,-0.804,-0.653,-0.607,-0.818,-0.629,-0.741,-0.989,-0.604,-0.431,-0.655,-0.638,2
-0.946,-0.555,-0.392,-0.393,-0.366,-0.631,-0.62,-0.6,-0.801,-0.626,-0.745,-0.954,-0.622,-0.529,-0.664,-0.528,2
-0.834,-0.454,-0.363,-0.378,-0.317,-0.518,-0.557,-0.369,-0.732,-0.523,-0.505,-0.891,-0.54,-0.539,-0.684,-0.52,2
-1.203,-0.756,-0.633,-0.585,-0.541,-0.755,-0.785,-0.665,-0.94,-0.753,-0.804,-1.012,-0.8,-0.643,-0.8,-0.728,2
-0.991,-0.563,-0.414,-0.439,-0.373,-0.598,-0.673,-0.581,-0.853,-0.632,-0.667,-0.914,-0.629,-0.539,-0.679,-0.637,2
