@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,9-10,12,16,21-23,29-30,32,39,41'

@attribute A2 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A16 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.765,-0.68,-0.575,-0.625,-0.851,-0.812,-0.811,-1.106,-0.843,-1.007,-0.707,-1.008,-0.758,-0.623,2
-0.858,-0.717,-0.519,-0.628,-0.903,-0.869,-0.748,-1.219,-0.935,-1.012,-0.755,-1.038,-0.83,-0.701,2
-0.679,-0.53,-0.37,-0.47,-0.777,-0.757,-0.611,-1.133,-0.822,-1.02,-0.612,-0.926,-0.689,-0.572,2
-0.631,-0.478,-0.296,-0.429,-0.793,-0.715,-0.609,-1.113,-0.888,-1.041,-0.69,-0.967,-0.733,-0.597,2
-0.244,-0.09,-0.081,-0.106,-0.415,-0.325,-0.375,-0.532,-0.338,-0.601,-0.417,-0.763,-0.248,-0.478,2
-0.7,-0.57,-0.343,-0.44,-0.695,-0.761,-0.546,-1.083,-0.82,-0.894,-0.59,-0.883,-0.673,-0.462,2
-0.63,-0.505,-0.326,-0.425,-0.746,-0.697,-0.573,-1.072,-0.79,-0.923,-0.623,-0.934,-0.662,-0.555,2
-0.78,-0.647,-0.414,-0.508,-0.779,-0.852,-0.606,-1.191,-0.887,-0.91,-0.643,-0.897,-0.711,-0.494,2
-0.697,-0.569,-0.399,-0.508,-0.843,-0.824,-0.727,-1.074,-0.821,-1.013,-0.675,-1.006,-0.607,-0.493,2
-0.936,-0.769,-0.429,-0.567,-0.806,-0.914,-0.632,-1.342,-1.001,-0.986,-0.734,-1.006,-0.916,-0.679,2
-0.737,-0.574,-0.412,-0.512,-0.852,-0.802,-0.635,-1.213,-0.878,-0.937,-0.637,-0.939,-0.765,-0.615,2
-0.725,-0.579,-0.383,-0.471,-0.736,-0.811,-0.66,-1.141,-0.909,-1.037,-0.753,-1.012,-0.74,-0.592,2
-1.057,-0.925,-0.686,-0.795,-1.05,-1.08,-0.852,-1.414,-1.079,-1.087,-0.809,-1.095,-0.953,-0.698,2
-0.955,-0.765,-0.479,-0.624,-0.928,-0.963,-0.766,-1.359,-1.046,-1.068,-0.791,-1.058,-0.895,-0.664,2
-0.593,-0.421,-0.273,-0.365,-0.698,-0.643,-0.429,-1.017,-0.818,-0.938,-0.629,-0.885,-0.668,-0.534,2
-0.818,-0.652,-0.45,-0.557,-0.846,-0.873,-0.677,-1.238,-0.855,-0.906,-0.571,-0.902,-0.754,-0.532,2
-0.561,-0.391,-0.282,-0.421,-0.805,-0.642,-0.588,-1.029,-0.667,-0.858,-0.481,-0.845,-0.535,-0.418,2
-0.744,-0.609,-0.452,-0.538,-0.839,-0.807,-0.716,-1.126,-0.815,-1.006,-0.682,-1.093,-0.713,-0.57,2
-0.629,-0.518,-0.42,-0.511,-0.878,-0.699,-0.716,-0.985,-0.736,-0.98,-0.674,-1.025,-0.599,-0.501,2
-0.582,-0.386,-0.206,-0.324,-0.691,-0.623,-0.473,-1.052,-0.821,-0.938,-0.584,-0.855,-0.655,-0.553,2
-0.686,-0.547,-0.469,-0.551,-0.873,-0.733,-0.575,-1.053,-0.699,-0.796,-0.469,-0.813,-0.621,-0.452,2
-0.874,-0.772,-0.609,-0.708,-1,-0.955,-0.862,-1.235,-0.958,-1.045,-0.814,-1.084,-0.831,-0.708,2
-0.629,-0.444,-0.222,-0.29,-0.523,-0.686,-0.491,-1.074,-0.808,-0.873,-0.584,-0.863,-0.629,-0.386,2
-0.68,-0.568,-0.446,-0.569,-0.962,-0.827,-0.731,-1.152,-0.901,-1.128,-0.777,-1.135,-0.685,-0.543,2
-0.943,-0.82,-0.645,-0.755,-1.033,-1.024,-0.877,-1.291,-1.019,-1.086,-0.851,-1.124,-0.886,-0.724,2
-0.461,-0.294,-0.113,-0.275,-0.747,-0.581,-0.453,-0.98,-0.632,-0.815,-0.425,-0.801,-0.48,-0.388,2
-0.639,-0.449,-0.204,-0.323,-0.619,-0.779,-0.667,-1.126,-0.78,-0.908,-0.528,-0.87,-0.59,-0.381,2
-0.6,-0.492,-0.295,-0.39,-0.708,-0.717,-0.617,-1.064,-0.802,-0.948,-0.67,-0.972,-0.637,-0.502,2
-0.631,-0.512,-0.388,-0.481,-0.843,-0.709,-0.656,-0.981,-0.758,-0.975,-0.65,-0.984,-0.599,-0.544,2
-0.769,-0.618,-0.415,-0.514,-0.824,-0.813,-0.642,-1.194,-0.819,-0.947,-0.572,-0.93,-0.687,-0.527,2
-0.643,-0.532,-0.356,-0.426,-0.75,-0.72,-0.654,-1.037,-0.801,-0.925,-0.683,-0.922,-0.625,-0.58,2
-0.872,-0.753,-0.557,-0.66,-0.931,-0.918,-0.801,-1.218,-0.946,-1.021,-0.764,-1.045,-0.816,-0.654,2
-0.631,-0.478,-0.296,-0.429,-0.793,-0.715,-0.609,-1.113,-0.888,-1.041,-0.69,-0.967,-0.733,-0.597,2
-0.846,-0.699,-0.522,-0.636,-0.915,-0.854,-0.736,-1.192,-0.922,-1.007,-0.758,-1.048,-0.816,-0.685,2
-0.841,-0.717,-0.54,-0.636,-0.91,-0.872,-0.748,-1.173,-0.893,-0.986,-0.712,-1.002,-0.767,-0.603,2
-0.704,-0.598,-0.417,-0.49,-0.77,-0.778,-0.683,-1.063,-0.853,-0.993,-0.723,-0.944,-0.677,-0.617,2
-0.672,-0.473,-0.244,-0.376,-0.691,-0.777,-0.635,-1.282,-0.97,-1.021,-0.675,-0.962,-0.751,-0.518,2
-0.72,-0.63,-0.544,-0.596,-0.821,-0.808,-0.819,-1.07,-0.829,-0.986,-0.727,-1.019,-0.693,-0.572,2
-0.773,-0.692,-0.604,-0.649,-0.866,-0.809,-0.805,-1.086,-0.845,-1.015,-0.723,-1.019,-0.749,-0.617,2
-0.75,-0.643,-0.508,-0.605,-0.925,-0.755,-0.662,-1.087,-0.776,-0.934,-0.664,-0.977,-0.748,-0.641,2
-0.71,-0.576,-0.371,-0.489,-0.816,-0.829,-0.692,-1.096,-0.847,-1.055,-0.701,-1.005,-0.645,-0.499,2
-0.601,-0.42,-0.248,-0.331,-0.643,-0.721,-0.552,-1.121,-0.752,-0.915,-0.564,-0.902,-0.569,-0.456,2
-0.739,-0.611,-0.419,-0.481,-0.75,-0.823,-0.752,-1.103,-0.858,-0.959,-0.715,-0.969,-0.71,-0.653,2
-0.802,-0.69,-0.523,-0.617,-0.867,-0.789,-0.763,-1.098,-0.808,-1.006,-0.628,-0.968,-0.732,-0.6,2
-0.623,-0.452,-0.278,-0.312,-0.575,-0.708,-0.532,-1.092,-0.784,-0.868,-0.553,-0.848,-0.613,-0.39,2
-0.714,-0.527,-0.208,-0.326,-0.598,-0.823,-0.542,-1.274,-0.917,-0.917,-0.644,-0.945,-0.737,-0.472,2
-0.58,-0.439,-0.291,-0.345,-0.566,-0.645,-0.412,-0.996,-0.797,-0.917,-0.629,-0.853,-0.659,-0.622,2
-0.586,-0.407,-0.172,-0.326,-0.643,-0.671,-0.569,-1.109,-0.792,-0.977,-0.617,-0.961,-0.639,-0.499,2
-0.775,-0.674,-0.478,-0.593,-0.96,-0.808,-0.748,-1.239,-0.989,-1.121,-0.847,-1.132,-0.849,-0.711,2
-0.659,-0.512,-0.257,-0.41,-0.792,-0.772,-0.612,-1.11,-0.864,-0.992,-0.763,-1.029,-0.657,-0.52,2
-0.553,-0.401,-0.165,-0.362,-0.856,-0.587,-0.519,-1.153,-0.866,-0.846,-0.649,-0.847,-0.786,-0.642,3
-0.724,-0.567,-0.275,-0.454,-0.753,-0.806,-0.597,-1.228,-1.015,-0.963,-0.81,-0.955,-0.914,-0.735,3
-0.726,-0.557,-0.294,-0.43,-0.777,-0.751,-0.626,-1.277,-0.993,-0.983,-0.772,-0.981,-0.917,-0.699,3
-0.726,-0.573,-0.36,-0.535,-0.965,-0.777,-0.729,-1.31,-1.049,-0.972,-0.84,-1.017,-0.924,-0.763,3
-0.626,-0.433,-0.178,-0.346,-0.76,-0.657,-0.616,-1.25,-0.928,-0.907,-0.663,-0.9,-0.846,-0.627,3
-0.426,-0.25,-0.065,-0.268,-0.781,-0.5,-0.507,-1.18,-0.854,-0.848,-0.606,-0.852,-0.755,-0.589,3
-0.498,-0.313,-0.053,-0.22,-0.682,-0.562,-0.495,-1.141,-0.803,-0.801,-0.517,-0.776,-0.73,-0.552,3
-0.545,-0.349,-0.116,-0.302,-0.751,-0.583,-0.522,-1.164,-0.854,-0.821,-0.598,-0.836,-0.773,-0.608,3
-0.498,-0.293,-0.1,-0.217,-0.516,-0.549,-0.537,-1.221,-0.886,-0.859,-0.642,-0.88,-0.783,-0.508,3
-0.856,-0.676,-0.359,-0.537,-0.841,-0.95,-0.672,-1.31,-1.126,-1.076,-0.943,-1.046,-0.977,-0.772,3
-0.652,-0.473,-0.234,-0.431,-0.884,-0.673,-0.584,-1.212,-0.909,-0.843,-0.649,-0.868,-0.821,-0.64,3
-0.687,-0.535,-0.239,-0.444,-0.805,-0.769,-0.569,-1.239,-0.954,-0.943,-0.771,-0.981,-0.868,-0.696,3
-0.645,-0.482,-0.245,-0.395,-0.799,-0.72,-0.575,-1.176,-0.903,-0.877,-0.689,-0.885,-0.75,-0.651,3
-0.554,-0.364,-0.14,-0.289,-0.741,-0.608,-0.589,-1.205,-0.9,-0.876,-0.664,-0.877,-0.808,-0.65,3
-0.622,-0.454,-0.195,-0.383,-0.794,-0.729,-0.506,-1.19,-0.916,-0.824,-0.634,-0.785,-0.787,-0.601,3
-0.744,-0.553,-0.273,-0.431,-0.677,-0.87,-0.662,-1.297,-1.037,-0.987,-0.807,-0.976,-0.879,-0.639,3
-0.442,-0.243,-0.091,-0.28,-0.752,-0.465,-0.583,-1.172,-0.833,-0.815,-0.583,-0.838,-0.77,-0.618,3
-0.398,-0.214,-0.039,-0.171,-0.588,-0.383,-0.405,-1.049,-0.694,-0.689,-0.476,-0.706,-0.683,-0.531,3
-0.663,-0.516,-0.221,-0.381,-0.711,-0.74,-0.472,-1.221,-0.968,-0.843,-0.735,-0.868,-0.902,-0.681,3
-0.574,-0.41,-0.203,-0.379,-0.779,-0.718,-0.574,-1.23,-1.016,-0.994,-0.862,-1.018,-0.803,-0.597,3
-0.648,-0.446,-0.207,-0.376,-0.709,-0.653,-0.557,-1.211,-0.84,-0.826,-0.565,-0.819,-0.79,-0.588,3
-0.632,-0.434,-0.16,-0.358,-0.717,-0.629,-0.53,-1.153,-0.789,-0.773,-0.51,-0.758,-0.766,-0.548,3
-0.541,-0.402,-0.173,-0.35,-0.737,-0.626,-0.483,-1.134,-0.872,-0.846,-0.693,-0.864,-0.775,-0.601,3
-0.536,-0.367,-0.134,-0.287,-0.711,-0.535,-0.503,-1.155,-0.833,-0.863,-0.578,-0.862,-0.804,-0.659,3
-0.492,-0.32,-0.03,-0.177,-0.585,-0.653,-0.474,-1.16,-0.922,-0.944,-0.719,-0.905,-0.712,-0.464,3
-0.637,-0.474,-0.204,-0.355,-0.707,-0.778,-0.561,-1.158,-0.889,-0.855,-0.62,-0.796,-0.71,-0.529,3
-0.411,-0.217,0.028,-0.157,-0.647,-0.453,-0.441,-1.154,-0.817,-0.773,-0.584,-0.813,-0.755,-0.578,3
-0.705,-0.519,-0.261,-0.414,-0.771,-0.844,-0.606,-1.312,-1.066,-1.054,-0.855,-1.04,-0.893,-0.651,3
-0.572,-0.402,-0.153,-0.323,-0.757,-0.628,-0.55,-1.235,-0.918,-0.902,-0.668,-0.895,-0.819,-0.585,3
-0.654,-0.454,-0.172,-0.348,-0.64,-0.756,-0.548,-1.212,-0.94,-0.914,-0.732,-0.919,-0.808,-0.635,3
-0.656,-0.454,-0.181,-0.347,-0.681,-0.735,-0.475,-1.197,-0.968,-0.932,-0.743,-0.908,-0.824,-0.63,3
-0.719,-0.498,-0.201,-0.389,-0.769,-0.842,-0.578,-1.341,-1.078,-1.042,-0.876,-1.082,-0.892,-0.67,3
-0.61,-0.45,-0.211,-0.355,-0.715,-0.624,-0.59,-1.209,-0.893,-0.893,-0.642,-0.883,-0.839,-0.637,3
-0.565,-0.409,-0.168,-0.311,-0.678,-0.645,-0.463,-1.134,-0.779,-0.822,-0.52,-0.8,-0.742,-0.544,3
-0.467,-0.33,-0.12,-0.27,-0.745,-0.568,-0.513,-1.149,-0.881,-0.879,-0.689,-0.885,-0.743,-0.582,3
-0.536,-0.387,-0.109,-0.354,-0.947,-0.562,-0.567,-1.185,-0.913,-0.922,-0.741,-0.966,-0.846,-0.653,3
-0.675,-0.485,-0.205,-0.375,-0.664,-0.777,-0.576,-1.232,-0.959,-0.93,-0.751,-0.938,-0.825,-0.65,3
-0.532,-0.343,-0.143,-0.336,-0.785,-0.531,-0.568,-1.179,-0.855,-0.853,-0.634,-0.884,-0.801,-0.684,3
-0.502,-0.327,-0.117,-0.313,-0.767,-0.517,-0.616,-1.181,-0.857,-0.829,-0.653,-0.883,-0.805,-0.67,3
-0.705,-0.57,-0.347,-0.491,-0.844,-0.707,-0.597,-1.254,-0.941,-0.9,-0.733,-0.956,-0.892,-0.752,3
-0.688,-0.521,-0.3,-0.491,-0.911,-0.707,-0.64,-1.24,-0.926,-0.865,-0.694,-0.918,-0.87,-0.698,3
-0.661,-0.501,-0.22,-0.394,-0.745,-0.787,-0.658,-1.25,-1.005,-0.942,-0.771,-0.927,-0.852,-0.644,3
-0.466,-0.283,-0.045,-0.185,-0.672,-0.479,-0.484,-1.14,-0.808,-0.83,-0.603,-0.882,-0.731,-0.615,3
-0.637,-0.472,-0.221,-0.376,-0.732,-0.653,-0.604,-1.247,-0.919,-0.921,-0.659,-0.903,-0.859,-0.642,3
-0.811,-0.67,-0.381,-0.534,-0.802,-0.831,-0.676,-1.284,-1.028,-0.959,-0.783,-0.979,-0.962,-0.788,3
-0.7,-0.561,-0.332,-0.509,-0.869,-0.773,-0.622,-1.227,-0.958,-0.89,-0.721,-0.897,-0.868,-0.644,3
-0.587,-0.43,-0.22,-0.404,-0.812,-0.73,-0.571,-1.255,-0.993,-0.943,-0.753,-0.926,-0.82,-0.586,3
-0.483,-0.345,-0.058,-0.258,-0.728,-0.553,-0.492,-1.099,-0.835,-0.81,-0.633,-0.803,-0.742,-0.544,3
-0.803,-0.64,-0.353,-0.522,-0.826,-0.828,-0.672,-1.307,-1.016,-0.933,-0.785,-0.987,-0.938,-0.732,3
-0.237,-0.111,0.087,-0.105,-0.583,-0.338,-0.505,-1.107,-0.755,-0.786,-0.518,-0.795,-0.67,-0.424,3
-1.025,-0.921,-0.776,-0.887,-1.189,-0.961,-0.813,-1.312,-0.979,-1.168,-0.822,-1.147,-0.951,-0.864,4
-0.912,-0.801,-0.679,-0.749,-0.998,-0.825,-0.877,-1.163,-0.841,-1.059,-0.727,-1.038,-0.792,-0.761,4
-0.989,-0.894,-0.774,-0.845,-1.091,-0.828,-0.813,-1.246,-0.856,-1.047,-0.727,-1.117,-0.909,-0.794,4
-0.914,-0.838,-0.779,-0.82,-1.056,-0.807,-0.778,-1.134,-0.772,-1.015,-0.663,-1.072,-0.747,-0.742,4
-0.992,-0.902,-0.782,-0.856,-1.109,-0.844,-0.814,-1.25,-0.87,-1.126,-0.742,-1.134,-0.918,-0.796,4
-0.893,-0.795,-0.702,-0.763,-1.016,-0.754,-0.812,-1.131,-0.816,-1.076,-0.707,-1.057,-0.847,-0.83,4
-0.922,-0.837,-0.774,-0.819,-1.075,-0.762,-0.842,-1.181,-0.792,-1.037,-0.653,-1.034,-0.854,-0.73,4
-1.009,-0.941,-0.87,-0.923,-1.146,-0.869,-0.898,-1.239,-0.884,-1.104,-0.757,-1.148,-0.924,-0.806,4
-0.963,-0.864,-0.757,-0.818,-1.063,-0.789,-0.796,-1.205,-0.828,-1.036,-0.71,-1.099,-0.866,-0.772,4
-0.823,-0.73,-0.627,-0.713,-1.03,-0.726,-0.796,-1.118,-0.76,-1.125,-0.671,-1.079,-0.777,-0.733,4
-1.182,-1.088,-0.918,-1.005,-1.226,-1.044,-0.906,-1.435,-1.13,-1.245,-0.945,-1.219,-1.159,-1.02,4
