@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3-4,6,10,18,21,25-26,30,33,35,37,41'

@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A18 numeric
@attribute A21 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A35 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.545,-0.37,-0.154,-0.523,-0.658,-1.153,-0.568,-0.439,-0.905,-0.285,-0.309,-0.703,2
-0.623,-0.353,-0.336,-0.721,-0.602,-0.939,-0.618,-0.478,-0.909,-0.366,-0.381,-0.635,2
-0.987,-0.885,-0.643,-1.021,-0.853,-1.375,-0.737,-0.587,-1.048,-0.81,-0.731,-1.072,2
-0.683,-0.61,-0.431,-0.673,-0.722,-1.18,-0.652,-0.536,-0.961,-0.448,-0.417,-0.851,2
-0.683,-0.605,-0.313,-0.741,-0.664,-1.278,-0.816,-0.689,-1.059,-0.646,-0.599,-0.954,2
-0.862,-0.697,-0.497,-0.856,-0.718,-1.191,-0.665,-0.514,-0.959,-0.579,-0.538,-0.915,2
-0.784,-0.658,-0.521,-0.926,-0.711,-1.117,-0.657,-0.553,-0.998,-0.545,-0.571,-0.914,2
-0.682,-0.49,-0.373,-0.712,-0.674,-1.031,-0.678,-0.564,-0.956,-0.455,-0.464,-0.77,2
-0.683,-0.587,-0.395,-0.732,-0.688,-1.167,-0.712,-0.611,-0.903,-0.493,-0.522,-0.905,2
-0.598,-0.414,-0.309,-0.578,-0.493,-0.966,-0.627,-0.521,-0.835,-0.481,-0.537,-0.84,2
-0.823,-0.764,-0.548,-0.921,-0.721,-1.246,-0.627,-0.507,-1,-0.654,-0.621,-0.976,2
-0.764,-0.59,-0.527,-0.726,-0.746,-0.889,-0.608,-0.548,-0.825,-0.465,-0.482,-0.796,2
-0.767,-0.631,-0.403,-0.782,-0.708,-1.235,-0.56,-0.402,-0.941,-0.573,-0.518,-0.829,2
-0.924,-0.655,-0.501,-0.89,-0.765,-1.159,-0.661,-0.52,-1.035,-0.695,-0.597,-0.901,2
-0.675,-0.362,-0.155,-0.725,-0.467,-1.151,-0.464,-0.34,-0.864,-0.413,-0.404,-0.711,2
-1.015,-0.908,-0.664,-1.026,-0.937,-1.381,-0.808,-0.682,-1.067,-0.772,-0.681,-1.028,2
-0.685,-0.559,-0.345,-0.693,-0.71,-1.213,-0.656,-0.554,-0.974,-0.495,-0.475,-0.849,2
-0.573,-0.198,-0.204,-0.511,-0.461,-0.596,-0.386,-0.349,-0.79,-0.396,-0.346,-0.526,2
-0.86,-0.656,-0.427,-0.837,-0.765,-1.212,-0.662,-0.478,-0.997,-0.571,-0.501,-0.866,2
-0.771,-0.472,-0.356,-0.824,-0.636,-1.075,-0.617,-0.524,-0.909,-0.451,-0.472,-0.764,2
-0.94,-0.759,-0.513,-0.92,-0.712,-1.295,-0.638,-0.467,-0.977,-0.725,-0.634,-0.977,2
-0.682,-0.291,-0.199,-0.662,-0.405,-0.99,-0.489,-0.359,-0.776,-0.388,-0.422,-0.732,2
-0.764,-0.521,-0.34,-0.789,-0.686,-1.117,-0.665,-0.568,-0.902,-0.485,-0.462,-0.821,2
-0.937,-0.791,-0.559,-0.967,-0.811,-1.346,-0.65,-0.502,-1.009,-0.704,-0.639,-0.976,2
-0.848,-0.635,-0.464,-0.846,-0.721,-1.129,-0.715,-0.587,-0.996,-0.679,-0.601,-0.877,2
-0.768,-0.372,-0.249,-0.748,-0.619,-1.118,-0.496,-0.352,-0.847,-0.299,-0.324,-0.651,2
-0.686,-0.431,-0.24,-0.758,-0.554,-1.186,-0.559,-0.436,-0.918,-0.451,-0.439,-0.765,2
-0.663,-0.561,-0.245,-0.663,-0.531,-1.252,-0.635,-0.483,-0.864,-0.525,-0.511,-0.916,2
-0.798,-0.537,-0.277,-0.853,-0.698,-1.16,-0.576,-0.453,-0.936,-0.423,-0.396,-0.761,2
-0.887,-0.606,-0.442,-0.941,-0.821,-1.182,-0.782,-0.624,-1.133,-0.583,-0.53,-0.862,2
-0.857,-0.835,-0.62,-1.005,-0.749,-1.285,-0.634,-0.509,-0.99,-0.7,-0.672,-1.011,2
-0.738,-0.481,-0.365,-0.722,-0.527,-0.977,-0.455,-0.31,-0.833,-0.346,-0.357,-0.691,2
-0.957,-0.79,-0.598,-1,-0.848,-1.24,-0.772,-0.625,-1.041,-0.79,-0.671,-0.945,2
-0.71,-0.533,-0.39,-0.654,-0.671,-1.013,-0.62,-0.543,-0.874,-0.424,-0.399,-0.763,2
-0.649,-0.404,-0.225,-0.707,-0.536,-1.076,-0.674,-0.544,-0.918,-0.496,-0.455,-0.799,2
-0.879,-0.714,-0.521,-0.889,-0.785,-1.183,-0.68,-0.533,-0.981,-0.734,-0.597,-0.878,2
-0.794,-0.434,-0.36,-0.848,-0.697,-0.984,-0.631,-0.54,-0.878,-0.499,-0.481,-0.751,2
-0.892,-0.521,-0.411,-0.96,-0.713,-1.077,-0.742,-0.645,-0.98,-0.687,-0.588,-0.833,2
-0.906,-0.753,-0.537,-0.93,-0.876,-1.239,-0.753,-0.632,-1.007,-0.675,-0.581,-0.894,2
-0.841,-0.618,-0.494,-0.836,-0.739,-1.045,-0.645,-0.54,-0.883,-0.568,-0.475,-0.792,2
-0.76,-0.575,-0.415,-0.865,-0.752,-1.105,-0.618,-0.545,-0.983,-0.477,-0.491,-0.836,2
-0.654,-0.407,-0.335,-0.684,-0.697,-0.904,-0.658,-0.525,-0.85,-0.352,-0.432,-0.725,2
-0.608,-0.247,-0.218,-0.527,-0.473,-0.653,-0.431,-0.395,-0.814,-0.441,-0.374,-0.561,2
-0.537,-0.389,-0.223,-0.497,-0.507,-1.01,-0.703,-0.619,-0.869,-0.38,-0.41,-0.781,2
