@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6,10,13,17,19,22-24,39,41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A19 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.059,-0.779,-0.547,-0.392,-0.8,-0.654,-0.86,-0.655,-0.793,-0.91,-0.676,-0.589,2
-0.837,-0.554,-0.359,-0.255,-0.616,-0.246,-0.761,-0.469,-0.671,-0.808,-0.551,-0.474,2
-0.919,-0.726,-0.401,-0.382,-0.819,-0.649,-0.78,-0.65,-0.695,-0.899,-0.598,-0.523,2
-1.226,-0.877,-0.831,-0.686,-0.943,-0.887,-1.082,-0.893,-0.988,-1.074,-0.89,-0.728,2
-1.055,-0.714,-0.462,-0.336,-0.704,-0.596,-0.788,-0.579,-0.75,-0.873,-0.594,-0.455,2
-1.258,-0.707,-0.672,-0.434,-0.706,-0.801,-1.06,-0.808,-1.024,-1.057,-0.914,-0.611,2
-1.082,-0.753,-0.497,-0.345,-0.8,-0.631,-0.865,-0.632,-0.695,-0.808,-0.553,-0.484,2
-0.957,-0.617,-0.41,-0.292,-0.637,-0.587,-0.794,-0.585,-0.721,-0.94,-0.618,-0.548,2
-1.185,-0.73,-0.537,-0.335,-0.726,-0.725,-0.942,-0.678,-0.914,-0.935,-0.749,-0.514,2
-1.057,-0.603,-0.438,-0.277,-0.674,-0.6,-0.783,-0.58,-0.823,-0.965,-0.692,-0.586,2
-1.148,-0.839,-0.688,-0.509,-0.939,-0.843,-0.992,-0.842,-0.895,-1.063,-0.782,-0.579,2
-0.855,-0.55,-0.286,-0.209,-0.534,-0.283,-0.688,-0.418,-0.666,-0.793,-0.545,-0.566,2
-1.183,-0.687,-0.515,-0.291,-0.69,-0.685,-0.918,-0.673,-0.841,-0.884,-0.681,-0.458,2
-1.263,-0.923,-0.739,-0.534,-0.986,-0.848,-1.043,-0.805,-0.975,-1.093,-0.863,-0.67,2
-0.947,-0.825,-0.484,-0.436,-0.812,-0.699,-0.831,-0.719,-0.734,-0.924,-0.644,-0.614,2
-1.07,-0.664,-0.486,-0.33,-0.697,-0.473,-0.804,-0.535,-0.799,-0.958,-0.659,-0.591,2
-1.222,-0.692,-0.581,-0.328,-0.753,-0.655,-0.929,-0.636,-0.957,-0.965,-0.809,-0.557,2
-1.218,-0.956,-0.777,-0.609,-1.005,-0.892,-1.035,-0.868,-0.971,-1.092,-0.86,-0.678,2
-1.067,-0.738,-0.509,-0.388,-0.754,-0.712,-0.904,-0.723,-0.869,-1.012,-0.738,-0.554,2
-1.334,-1.024,-0.934,-0.725,-1.063,-0.953,-1.159,-0.956,-1.089,-1.106,-0.989,-0.81,2
-1.311,-0.918,-0.756,-0.475,-0.913,-0.864,-0.996,-0.731,-0.981,-1.059,-0.806,-0.616,2
-1.074,-0.651,-0.453,-0.291,-0.683,-0.493,-0.854,-0.594,-0.74,-0.939,-0.594,-0.475,2
-1.214,-0.601,-0.474,-0.186,-0.644,-0.366,-0.794,-0.423,-0.883,-0.87,-0.721,-0.542,2
-0.968,-0.618,-0.41,-0.322,-0.693,-0.538,-0.838,-0.612,-0.798,-0.987,-0.663,-0.446,2
-1.175,-0.567,-0.442,-0.17,-0.584,-0.273,-0.789,-0.404,-0.874,-0.867,-0.724,-0.553,2
-1.22,-0.901,-0.787,-0.587,-0.936,-0.808,-1.051,-0.819,-1.002,-1.068,-0.899,-0.692,2
-1.158,-0.704,-0.591,-0.393,-0.735,-0.596,-0.891,-0.627,-0.895,-0.947,-0.756,-0.598,2
-1.155,-0.905,-0.706,-0.547,-0.917,-0.734,-0.954,-0.712,-0.872,-0.976,-0.765,-0.648,2
-1.182,-0.656,-0.391,-0.2,-0.711,-0.453,-0.779,-0.507,-0.792,-0.919,-0.632,-0.429,2
-1.043,-0.731,-0.56,-0.417,-0.676,-0.648,-0.888,-0.689,-0.798,-0.879,-0.691,-0.526,2
-1.094,-0.657,-0.487,-0.309,-0.663,-0.596,-0.824,-0.586,-0.81,-0.892,-0.654,-0.464,2
-1.122,-0.757,-0.539,-0.368,-0.786,-0.569,-0.883,-0.581,-0.871,-0.98,-0.755,-0.604,2
-1.173,-0.782,-0.447,-0.225,-0.783,-0.493,-0.872,-0.532,-0.846,-0.897,-0.68,-0.543,2
-0.978,-0.892,-0.565,-0.533,-0.895,-0.708,-0.785,-0.643,-0.704,-0.775,-0.593,-0.637,2
-1.208,-0.826,-0.609,-0.375,-0.864,-0.787,-0.944,-0.696,-0.814,-0.912,-0.659,-0.445,2
-1.405,-1.013,-0.916,-0.689,-1.042,-0.858,-1.076,-0.794,-1.032,-1.067,-0.855,-0.752,2
