@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,6,11-12,22-23,29,32,34,38,40-41'

@attribute A1 numeric
@attribute A6 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A29 numeric
@attribute A32 numeric
@attribute A34 numeric
@attribute A38 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.153,-0.154,-1.153,-0.765,-0.803,-0.874,-0.588,-0.572,-0.548,-0.384,-0.362,2
-0.939,-0.336,-0.939,-0.563,-0.713,-0.938,-0.6,-0.498,-0.477,-0.446,-0.465,2
-1.375,-0.643,-1.375,-0.994,-1.004,-1.021,-0.733,-0.974,-0.902,-0.828,-0.88,2
-1.18,-0.431,-1.18,-0.806,-0.881,-0.92,-0.676,-0.74,-0.674,-0.519,-0.572,2
-1.278,-0.313,-1.278,-0.862,-1.04,-1.083,-0.815,-0.864,-0.79,-0.701,-0.72,2
-1.191,-0.497,-1.191,-0.844,-0.88,-0.977,-0.656,-0.796,-0.745,-0.641,-0.679,2
-1.117,-0.521,-1.117,-0.765,-0.806,-0.988,-0.659,-0.8,-0.767,-0.664,-0.618,2
-1.031,-0.373,-1.031,-0.71,-0.79,-0.999,-0.659,-0.608,-0.602,-0.549,-0.602,2
-1.167,-0.395,-1.167,-0.795,-0.904,-0.948,-0.689,-0.787,-0.737,-0.636,-0.667,2
-0.966,-0.309,-0.966,-0.611,-0.765,-0.897,-0.604,-0.638,-0.657,-0.648,-0.684,2
-1.246,-0.548,-1.246,-0.861,-0.877,-0.943,-0.655,-0.873,-0.818,-0.713,-0.723,2
-0.889,-0.527,-0.889,-0.694,-0.698,-0.86,-0.594,-0.631,-0.625,-0.611,-0.719,2
-1.235,-0.403,-1.235,-0.847,-0.856,-0.929,-0.58,-0.751,-0.663,-0.592,-0.623,2
-1.159,-0.501,-1.159,-0.81,-0.849,-0.965,-0.69,-0.768,-0.719,-0.698,-0.779,2
-1.151,-0.155,-1.151,-0.616,-0.678,-0.817,-0.472,-0.576,-0.559,-0.451,-0.456,2
-1.381,-0.664,-1.381,-1.065,-1.066,-1.082,-0.804,-0.948,-0.866,-0.77,-0.838,2
-1.213,-0.345,-1.213,-0.827,-0.863,-0.947,-0.672,-0.715,-0.676,-0.563,-0.62,2
-0.596,-0.204,-0.596,-0.385,-0.398,-0.63,-0.458,-0.303,-0.33,-0.446,-0.678,2
-1.212,-0.427,-1.212,-0.841,-0.882,-1.005,-0.644,-0.741,-0.694,-0.59,-0.646,2
-1.075,-0.356,-1.075,-0.693,-0.75,-0.908,-0.603,-0.613,-0.614,-0.553,-0.539,2
-1.295,-0.513,-1.295,-0.874,-0.917,-0.961,-0.631,-0.856,-0.801,-0.731,-0.792,2
-0.99,-0.199,-0.99,-0.528,-0.657,-0.839,-0.458,-0.551,-0.561,-0.492,-0.518,2
-1.117,-0.34,-1.117,-0.754,-0.835,-0.937,-0.638,-0.691,-0.654,-0.56,-0.598,2
-1.346,-0.559,-1.346,-0.954,-0.94,-0.965,-0.667,-0.868,-0.802,-0.715,-0.76,2
-1.129,-0.464,-1.129,-0.794,-0.869,-1.047,-0.71,-0.738,-0.715,-0.686,-0.744,2
-1.118,-0.249,-1.118,-0.701,-0.701,-0.852,-0.479,-0.51,-0.508,-0.364,-0.382,2
-1.186,-0.24,-1.186,-0.689,-0.767,-0.886,-0.562,-0.619,-0.608,-0.494,-0.507,2
-1.252,-0.245,-1.252,-0.75,-0.93,-0.917,-0.615,-0.805,-0.75,-0.61,-0.608,2
-1.16,-0.277,-1.16,-0.792,-0.813,-0.882,-0.604,-0.642,-0.599,-0.476,-0.509,2
-1.182,-0.442,-1.182,-0.865,-0.912,-1.118,-0.772,-0.711,-0.698,-0.605,-0.653,2
-1.285,-0.62,-1.285,-0.885,-0.899,-0.95,-0.651,-0.892,-0.849,-0.758,-0.771,2
-0.977,-0.365,-0.977,-0.638,-0.653,-0.821,-0.468,-0.547,-0.525,-0.456,-0.478,2
-1.24,-0.598,-1.24,-0.924,-0.966,-1.094,-0.749,-0.85,-0.788,-0.747,-0.839,2
-1.013,-0.39,-1.013,-0.714,-0.775,-0.868,-0.62,-0.621,-0.588,-0.511,-0.58,2
-1.076,-0.225,-1.076,-0.673,-0.841,-0.958,-0.651,-0.678,-0.628,-0.538,-0.579,2
-1.183,-0.521,-1.183,-0.858,-0.906,-1.034,-0.678,-0.793,-0.727,-0.666,-0.752,2
-0.984,-0.36,-0.984,-0.665,-0.751,-0.913,-0.628,-0.623,-0.6,-0.569,-0.621,2
-1.077,-0.411,-1.077,-0.731,-0.855,-1.038,-0.721,-0.676,-0.666,-0.666,-0.784,2
-1.239,-0.537,-1.239,-0.947,-0.956,-1.049,-0.74,-0.802,-0.742,-0.654,-0.726,2
-1.045,-0.494,-1.045,-0.79,-0.819,-0.924,-0.623,-0.669,-0.625,-0.561,-0.633,2
-1.105,-0.415,-1.105,-0.749,-0.781,-0.899,-0.658,-0.677,-0.672,-0.575,-0.569,2
-0.904,-0.335,-0.904,-0.669,-0.737,-0.953,-0.609,-0.559,-0.56,-0.523,-0.521,2
-0.653,-0.218,-0.653,-0.439,-0.453,-0.681,-0.489,-0.359,-0.374,-0.467,-0.704,2
-1.01,-0.223,-1.01,-0.676,-0.826,-0.933,-0.678,-0.6,-0.602,-0.516,-0.536,2
-1.048,-0.328,-1.048,-0.704,-0.725,-0.862,-0.525,-0.642,-0.619,-0.506,-0.433,2
-1.061,-0.193,-1.061,-0.634,-0.835,-0.915,-0.657,-0.705,-0.703,-0.6,-0.622,2
-1.1,-0.431,-1.1,-0.803,-0.867,-1.019,-0.705,-0.729,-0.685,-0.648,-0.712,2
