@relation texture

@attribute A3 numeric
@attribute A4 numeric
@attribute A6 numeric
@attribute A10 numeric
@attribute A18 numeric
@attribute A21 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A35 numeric
@attribute A37 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.921,-0.698,-0.499,-0.877,-0.797,-1.205,-0.764,-0.65,-1.037,-0.735,-0.656,-0.959,2
-0.883,-0.744,-0.483,-0.915,-0.747,-1.28,-0.721,-0.59,-0.976,-0.709,-0.625,-0.959,2
-0.97,-0.874,-0.64,-1.017,-0.87,-1.362,-0.777,-0.652,-1.061,-0.788,-0.699,-1.05,2
-0.975,-0.714,-0.508,-0.967,-0.858,-1.273,-0.892,-0.817,-1.064,-0.737,-0.622,-0.946,2
-0.731,-0.57,-0.343,-0.695,-0.635,-1.083,-0.585,-0.445,-0.883,-0.468,-0.411,-0.799,2
-0.632,-0.536,-0.329,-0.58,-0.639,-1.108,-0.637,-0.526,-0.932,-0.469,-0.433,-0.831,2
-0.902,-0.618,-0.453,-0.956,-0.757,-1.113,-0.683,-0.546,-1.006,-0.653,-0.557,-0.801,2
-0.694,-0.641,-0.405,-0.691,-0.844,-1.247,-0.824,-0.71,-1.028,-0.496,-0.512,-0.915,2
-0.953,-0.84,-0.551,-0.985,-0.811,-1.357,-0.706,-0.525,-1.018,-0.733,-0.64,-0.99,2
-0.911,-0.604,-0.512,-0.97,-0.807,-1.065,-0.741,-0.659,-0.995,-0.68,-0.572,-0.794,2
-0.689,-0.439,-0.272,-0.727,-0.603,-0.96,-0.557,-0.439,-0.865,-0.438,-0.383,-0.698,2
-0.823,-0.47,-0.332,-0.902,-0.668,-1.031,-0.696,-0.588,-1.006,-0.605,-0.521,-0.739,2
-0.558,-0.507,-0.316,-0.542,-0.661,-1.057,-0.7,-0.625,-0.943,-0.442,-0.442,-0.825,2
-0.656,-0.391,-0.2,-0.711,-0.521,-1.182,-0.57,-0.426,-0.95,-0.4,-0.412,-0.752,2
-0.651,-0.453,-0.291,-0.683,-0.616,-1.074,-0.602,-0.484,-0.898,-0.385,-0.402,-0.759,2
-0.804,-0.582,-0.364,-0.82,-0.749,-1.142,-0.609,-0.482,-0.979,-0.45,-0.418,-0.768,2
-0.744,-0.561,-0.333,-0.736,-0.724,-1.101,-0.742,-0.641,-0.96,-0.454,-0.469,-0.856,2
-0.703,-0.566,-0.339,-0.716,-0.792,-1.198,-0.761,-0.597,-0.992,-0.437,-0.452,-0.84,2
-0.821,-0.71,-0.543,-0.904,-0.724,-1.152,-0.671,-0.592,-0.997,-0.62,-0.625,-0.962,2
-0.983,-0.885,-0.644,-1.002,-0.904,-1.366,-0.78,-0.653,-1.051,-0.742,-0.66,-1.016,2
-0.862,-0.539,-0.471,-0.894,-0.661,-1,-0.543,-0.473,-0.84,-0.602,-0.513,-0.742,2
-0.637,-0.4,-0.218,-0.678,-0.491,-1.038,-0.672,-0.538,-0.89,-0.522,-0.461,-0.793,2
-0.867,-0.772,-0.611,-0.936,-0.839,-1.199,-0.799,-0.702,-1.084,-0.647,-0.614,-0.974,2
-0.956,-0.777,-0.609,-1.005,-0.876,-1.218,-0.806,-0.674,-1.1,-0.778,-0.636,-0.939,2
-0.731,-0.56,-0.417,-0.676,-0.699,-1.043,-0.635,-0.562,-0.903,-0.459,-0.436,-0.804,2
-0.826,-0.609,-0.375,-0.864,-0.742,-1.208,-0.542,-0.388,-0.956,-0.457,-0.408,-0.771,2
-0.564,-0.339,-0.22,-0.649,-0.603,-1.013,-0.575,-0.425,-0.918,-0.433,-0.391,-0.692,2
-0.925,-0.795,-0.621,-0.979,-0.824,-1.24,-0.78,-0.645,-1.014,-0.803,-0.701,-0.976,2
-0.664,-0.444,-0.35,-0.733,-0.626,-0.991,-0.641,-0.492,-0.9,-0.513,-0.465,-0.754,2
-0.627,-0.431,-0.331,-0.689,-0.669,-0.989,-0.684,-0.56,-0.846,-0.283,-0.392,-0.716,2
-0.916,-0.728,-0.517,-0.922,-0.762,-1.213,-0.704,-0.567,-0.989,-0.583,-0.54,-0.924,2
-1.028,-0.925,-0.727,-1.078,-0.932,-1.32,-0.864,-0.774,-1.148,-0.852,-0.768,-1.08,2
-0.776,-0.639,-0.557,-0.879,-0.773,-0.929,-0.655,-0.588,-0.902,-0.513,-0.46,-0.76,2
-1.018,-0.925,-0.686,-1.05,-0.958,-1.414,-0.806,-0.663,-1.095,-0.753,-0.662,-1.04,2
-0.867,-0.639,-0.412,-0.868,-0.778,-1.223,-0.699,-0.566,-1.015,-0.555,-0.545,-0.871,2
-0.769,-0.506,-0.428,-0.751,-0.721,-0.935,-0.583,-0.525,-0.853,-0.549,-0.51,-0.735,2
-0.76,-0.63,-0.544,-0.821,-0.847,-1.07,-0.729,-0.632,-1.019,-0.507,-0.498,-0.825,2
-0.765,-0.515,-0.311,-0.847,-0.64,-1.147,-0.648,-0.511,-0.997,-0.446,-0.45,-0.803,2
-0.884,-0.745,-0.572,-0.981,-0.867,-1.191,-0.798,-0.681,-1.088,-0.765,-0.638,-0.916,2
-0.733,-0.408,-0.241,-0.745,-0.536,-1.183,-0.524,-0.404,-0.882,-0.401,-0.4,-0.722,2
-0.494,-0.334,-0.102,-0.497,-0.519,-0.999,-0.59,-0.467,-0.849,-0.447,-0.379,-0.629,2
-0.667,-0.392,-0.235,-0.718,-0.534,-1.139,-0.517,-0.38,-0.882,-0.435,-0.423,-0.692,2
-0.894,-0.667,-0.49,-0.957,-0.804,-1.184,-0.773,-0.663,-1.076,-0.7,-0.611,-0.921,2
-0.894,-0.504,-0.371,-0.969,-0.687,-1.037,-0.72,-0.627,-0.943,-0.631,-0.542,-0.815,2
-0.655,-0.54,-0.41,-0.68,-0.637,-1.087,-0.7,-0.591,-0.881,-0.497,-0.533,-0.901,2
-0.799,-0.528,-0.264,-0.805,-0.693,-1.135,-0.737,-0.666,-1.012,-0.553,-0.488,-0.817,2
