@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,9-10,12,14,17,23,33,36,39-41'

@attribute A1 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A23 numeric
@attribute A33 numeric
@attribute A36 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.107,-0.395,-0.681,-0.718,-0.671,-0.849,-0.853,-0.445,-0.368,-0.379,-0.469,2
-1.362,-0.765,-1.017,-1.017,-0.948,-1.105,-1.031,-0.788,-0.701,-0.734,-0.833,2
-1.334,-0.455,-0.746,-0.893,-0.823,-0.992,-1.133,-0.681,-0.675,-0.674,-0.769,2
-1.192,-0.513,-0.836,-0.815,-0.743,-0.902,-0.886,-0.499,-0.555,-0.546,-0.622,2
-1.338,-0.56,-0.821,-0.927,-0.854,-1.011,-0.992,-0.615,-0.571,-0.598,-0.687,2
-1.148,-0.609,-0.984,-0.804,-0.76,-0.923,-1.074,-0.739,-0.728,-0.742,-0.867,2
-1.161,-0.341,-0.617,-0.692,-0.655,-0.822,-0.895,-0.514,-0.519,-0.545,-0.613,2
-1.097,-0.545,-0.906,-0.765,-0.741,-0.912,-0.978,-0.646,-0.62,-0.588,-0.713,2
-0.975,-0.506,-0.847,-0.694,-0.666,-0.83,-0.866,-0.455,-0.472,-0.43,-0.526,2
-1.218,-0.557,-0.924,-0.767,-0.742,-0.928,-1.095,-0.782,-0.667,-0.666,-0.795,2
-1.135,-0.424,-0.805,-0.783,-0.752,-0.919,-0.977,-0.553,-0.552,-0.514,-0.602,2
-1.224,-0.546,-0.822,-0.871,-0.793,-0.952,-0.956,-0.608,-0.573,-0.588,-0.654,2
-1.162,-0.49,-0.728,-0.802,-0.767,-0.935,-0.979,-0.595,-0.599,-0.571,-0.663,2
-1.258,-0.361,-0.673,-0.75,-0.683,-0.847,-0.916,-0.524,-0.548,-0.544,-0.598,2
-1.258,-0.453,-0.741,-0.89,-0.821,-0.986,-0.972,-0.47,-0.542,-0.524,-0.572,2
-1.364,-0.74,-1.001,-0.991,-0.92,-1.081,-0.985,-0.738,-0.702,-0.69,-0.8,2
-1.02,-0.433,-0.765,-0.655,-0.624,-0.804,-0.825,-0.303,-0.453,-0.408,-0.457,2
-1.172,-0.489,-0.778,-0.797,-0.721,-0.881,-0.932,-0.499,-0.521,-0.488,-0.529,2
-1.142,-0.428,-0.813,-0.761,-0.725,-0.904,-0.939,-0.462,-0.475,-0.451,-0.491,2
-1.135,-0.412,-0.728,-0.704,-0.679,-0.857,-0.941,-0.621,-0.592,-0.581,-0.68,2
-1.104,-0.428,-0.773,-0.746,-0.703,-0.874,-0.943,-0.553,-0.555,-0.532,-0.611,2
-0.805,-0.587,-0.79,-0.651,-0.695,-0.867,-0.886,-0.462,-0.458,-0.529,-0.62,2
-1.384,-0.769,-1.033,-0.975,-0.899,-1.063,-1.002,-0.854,-0.774,-0.787,-0.906,2
-1.265,-0.676,-0.951,-0.994,-0.944,-1.088,-1.074,-0.672,-0.625,-0.639,-0.733,2
-1.29,-0.651,-0.959,-0.942,-0.888,-1.054,-1.109,-0.726,-0.658,-0.68,-0.798,2
-1.287,-0.634,-0.971,-0.862,-0.829,-1.011,-1.16,-0.822,-0.729,-0.747,-0.87,2
-1.113,-0.484,-0.767,-0.749,-0.699,-0.875,-0.866,-0.501,-0.512,-0.509,-0.6,2
-1.066,-0.422,-0.791,-0.688,-0.679,-0.855,-0.914,-0.478,-0.517,-0.449,-0.475,2
-1.131,-0.432,-0.814,-0.714,-0.681,-0.852,-0.893,-0.382,-0.498,-0.42,-0.461,2
-1.072,-0.452,-0.659,-0.77,-0.732,-0.899,-0.925,-0.465,-0.568,-0.55,-0.651,2
-1.05,-0.385,-0.784,-0.661,-0.636,-0.813,-0.801,-0.242,-0.411,-0.345,-0.345,2
-1.224,-0.615,-0.91,-0.834,-0.77,-0.942,-0.937,-0.622,-0.64,-0.651,-0.732,2
-1.19,-0.688,-0.979,-0.843,-0.762,-0.927,-1.026,-0.779,-0.734,-0.767,-0.898,2
-1.373,-0.757,-1.012,-1.067,-0.996,-1.146,-1.129,-0.8,-0.709,-0.716,-0.845,2
-1.087,-0.461,-0.68,-0.728,-0.719,-0.884,-0.956,-0.497,-0.616,-0.622,-0.661,2
-1.136,-0.515,-0.947,-0.814,-0.785,-0.964,-1.04,-0.526,-0.592,-0.524,-0.591,2
-0.874,-0.548,-0.722,-0.678,-0.687,-0.844,-0.953,-0.488,-0.559,-0.654,-0.739,2
-1.029,-0.484,-0.827,-0.722,-0.679,-0.859,-1.043,-0.573,-0.53,-0.494,-0.6,2
-1.099,-0.566,-0.904,-0.856,-0.814,-0.952,-1.077,-0.633,-0.624,-0.543,-0.671,2
-1.239,-0.645,-0.93,-0.947,-0.887,-1.035,-1.049,-0.675,-0.621,-0.617,-0.726,2
-1.1,-0.401,-0.673,-0.705,-0.653,-0.84,-0.965,-0.543,-0.577,-0.552,-0.643,2
-1.182,-0.644,-0.901,-0.849,-0.783,-0.946,-1.047,-0.712,-0.653,-0.648,-0.747,2
-1.114,-0.569,-0.884,-0.825,-0.79,-0.951,-1.044,-0.684,-0.613,-0.59,-0.726,2
-1.167,-0.536,-0.817,-0.832,-0.803,-0.982,-1.086,-0.648,-0.658,-0.66,-0.752,2
-0.846,-0.345,-0.68,-0.568,-0.562,-0.728,-0.818,-0.374,-0.493,-0.46,-0.492,2
-1.037,-0.53,-0.969,-0.719,-0.694,-0.868,-1.009,-0.631,-0.647,-0.586,-0.703,2
-0.929,-0.646,-0.879,-0.715,-0.745,-0.929,-0.888,-0.513,-0.463,-0.513,-0.61,2
-1.173,-0.497,-0.782,-0.811,-0.751,-0.919,-0.98,-0.504,-0.569,-0.549,-0.591,2
-1.125,-0.434,-0.856,-0.731,-0.683,-0.86,-0.903,-0.39,-0.494,-0.444,-0.499,2
-1.065,-0.624,-0.97,-0.803,-0.774,-0.94,-1.011,-0.68,-0.677,-0.621,-0.764,2
-1.092,-0.268,-0.828,-0.459,-0.529,-0.662,-0.716,-0.612,-0.602,-0.568,-0.613,3
-1.28,-0.442,-0.73,-0.816,-0.752,-0.927,-1.014,-0.758,-0.706,-0.72,-0.808,3
-1.194,-0.385,-0.751,-0.76,-0.737,-0.928,-0.896,-0.739,-0.677,-0.685,-0.769,3
-1.119,-0.199,-0.727,-0.418,-0.475,-0.6,-0.803,-0.63,-0.593,-0.508,-0.604,3
