@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8-10,14,16-18,20,23-24,26,28,40-41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A28 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.107,-0.629,-0.492,-0.478,-0.395,-0.681,-0.671,-0.533,-0.849,-0.603,-0.673,-0.853,-0.7,-0.443,-0.68,-0.469,2
-1.362,-0.97,-0.874,-0.834,-0.765,-1.017,-0.948,-0.761,-1.105,-0.87,-0.932,-1.031,-0.904,-0.652,-0.862,-0.833,2
-1.334,-0.708,-0.6,-0.568,-0.455,-0.746,-0.823,-0.62,-0.992,-0.697,-0.712,-1.133,-0.974,-0.766,-0.966,-0.769,2
-1.192,-0.815,-0.595,-0.589,-0.513,-0.836,-0.743,-0.612,-0.902,-0.664,-0.727,-0.886,-0.669,-0.408,-0.685,-0.622,2
-1.338,-0.838,-0.741,-0.661,-0.56,-0.821,-0.854,-0.672,-1.011,-0.748,-0.794,-0.992,-0.857,-0.607,-0.806,-0.687,2
-1.148,-0.99,-0.634,-0.675,-0.609,-0.984,-0.76,-0.747,-0.923,-0.76,-0.898,-1.074,-0.813,-0.727,-0.843,-0.867,2
-1.161,-0.577,-0.508,-0.402,-0.341,-0.617,-0.655,-0.482,-0.822,-0.521,-0.499,-0.895,-0.683,-0.444,-0.708,-0.613,2
-1.097,-0.833,-0.583,-0.58,-0.545,-0.906,-0.741,-0.69,-0.912,-0.721,-0.836,-0.978,-0.704,-0.525,-0.705,-0.713,2
-0.975,-0.765,-0.483,-0.511,-0.506,-0.847,-0.666,-0.673,-0.83,-0.717,-0.867,-0.866,-0.59,-0.413,-0.615,-0.526,2
-1.218,-0.854,-0.647,-0.614,-0.557,-0.924,-0.742,-0.709,-0.928,-0.709,-0.852,-1.095,-0.85,-0.693,-0.838,-0.795,2
-1.135,-0.799,-0.528,-0.509,-0.424,-0.805,-0.752,-0.616,-0.919,-0.693,-0.733,-0.977,-0.761,-0.666,-0.786,-0.602,2
-1.224,-0.837,-0.64,-0.638,-0.546,-0.822,-0.793,-0.688,-0.952,-0.739,-0.811,-0.956,-0.695,-0.462,-0.736,-0.654,2
-1.162,-0.785,-0.589,-0.585,-0.49,-0.728,-0.767,-0.676,-0.935,-0.692,-0.75,-0.979,-0.714,-0.528,-0.744,-0.663,2
-1.258,-0.641,-0.535,-0.44,-0.361,-0.673,-0.683,-0.48,-0.847,-0.531,-0.529,-0.916,-0.769,-0.499,-0.73,-0.598,2
