@relation texture

@attribute A1 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A23 numeric
@attribute A33 numeric
@attribute A36 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.107,-0.397,-0.673,-0.724,-0.686,-0.859,-0.964,-0.455,-0.577,-0.536,-0.574,2
-1.058,-0.5,-0.825,-0.768,-0.729,-0.882,-0.981,-0.566,-0.568,-0.549,-0.657,2
-1.154,-0.409,-0.732,-0.727,-0.695,-0.874,-0.907,-0.526,-0.535,-0.507,-0.587,2
-0.596,-0.223,-0.511,-0.385,-0.355,-0.53,-0.63,-0.396,-0.505,-0.501,-0.678,2
-1.208,-0.523,-0.864,-0.841,-0.774,-0.944,-0.912,-0.457,-0.509,-0.445,-0.518,2
-1.15,-0.719,-0.934,-0.842,-0.813,-0.98,-1.037,-0.681,-0.657,-0.7,-0.819,2
-1.324,-0.724,-0.978,-0.944,-0.884,-1.054,-1.007,-0.721,-0.692,-0.696,-0.767,2
-1.265,-0.734,-1.001,-0.964,-0.923,-1.082,-1.057,-0.699,-0.677,-0.67,-0.797,2
-0.837,-0.347,-0.616,-0.565,-0.584,-0.761,-0.808,-0.338,-0.403,-0.474,-0.537,2
-1.322,-0.509,-0.758,-0.925,-0.869,-1.053,-1.009,-0.525,-0.561,-0.576,-0.623,2
-1.072,-0.425,-0.746,-0.697,-0.661,-0.832,-0.923,-0.531,-0.563,-0.555,-0.646,2
-0.991,-0.451,-0.733,-0.623,-0.582,-0.766,-0.954,-0.513,-0.529,-0.523,-0.619,2
-1.201,-0.615,-0.912,-0.796,-0.748,-0.926,-0.986,-0.662,-0.641,-0.606,-0.708,2
-0.901,-0.187,-0.413,-0.532,-0.508,-0.673,-0.791,-0.292,-0.338,-0.328,-0.4,2
-1.108,-0.41,-0.619,-0.763,-0.727,-0.884,-0.929,-0.494,-0.546,-0.523,-0.594,2
-0.993,-0.603,-0.902,-0.691,-0.631,-0.785,-0.77,-0.632,-0.652,-0.646,-0.792,2
-1.28,-0.611,-0.915,-0.89,-0.825,-0.998,-1.002,-0.709,-0.667,-0.66,-0.767,2
-1.218,-0.66,-0.931,-0.918,-0.879,-1.033,-1.021,-0.683,-0.641,-0.654,-0.78,2
-0.947,-0.497,-0.812,-0.673,-0.667,-0.831,-0.924,-0.524,-0.617,-0.614,-0.696,2
-1.405,-0.792,-1.042,-1.003,-0.914,-1.076,-1.067,-0.818,-0.723,-0.752,-0.869,2
-1.175,-0.508,-0.823,-0.822,-0.795,-0.976,-1.03,-0.451,-0.551,-0.52,-0.553,2
-1.152,-0.374,-0.695,-0.757,-0.706,-0.883,-0.939,-0.402,-0.533,-0.443,-0.511,2
-1.222,-0.454,-0.753,-0.829,-0.764,-0.929,-0.965,-0.624,-0.543,-0.557,-0.648,2
-1.41,-0.775,-1.037,-1.083,-1.015,-1.172,-1.094,-0.77,-0.723,-0.698,-0.817,2
