@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2,4,10-12,14,18,20,25,28,30,35,41'

@attribute A2 numeric
@attribute A4 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute A25 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A35 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.606,-0.498,-0.858,-1.002,-0.719,-0.68,-0.682,-0.807,-0.679,-0.711,-0.961,-0.46,2
-0.729,-0.566,-0.716,-1.198,-0.873,-0.827,-0.792,-0.837,-0.761,-0.814,-0.992,-0.452,2
-0.63,-0.564,-0.693,-0.848,-0.665,-0.691,-0.767,-0.92,-0.692,-0.719,-0.97,-0.523,2
-0.6,-0.437,-0.774,-1.044,-0.708,-0.657,-0.654,-0.792,-0.668,-0.716,-1.022,-0.485,2
-0.633,-0.476,-0.764,-1.121,-0.706,-0.662,-0.582,-0.619,-0.73,-0.796,-0.983,-0.562,2
-0.55,-0.416,-0.758,-1.015,-0.668,-0.656,-0.637,-0.728,-0.534,-0.591,-0.818,-0.469,2
-0.8,-0.638,-0.891,-1.235,-0.865,-0.797,-0.754,-0.844,-0.582,-0.681,-0.951,-0.521,2
-0.852,-0.714,-0.967,-1.273,-0.942,-0.887,-0.858,-0.975,-0.892,-0.922,-1.064,-0.622,2
-0.568,-0.411,-0.655,-1.038,-0.64,-0.644,-0.584,-0.572,-0.667,-0.702,-0.871,-0.531,2
-0.683,-0.503,-0.716,-1.172,-0.737,-0.693,-0.617,-0.675,-0.646,-0.731,-1.01,-0.47,2
-0.724,-0.604,-0.883,-1.091,-0.763,-0.731,-0.673,-0.783,-0.634,-0.675,-0.906,-0.564,2
-0.572,-0.387,-0.685,-1.012,-0.642,-0.622,-0.506,-0.505,-0.677,-0.709,-0.886,-0.448,2
-0.826,-0.714,-0.885,-1.181,-0.899,-0.863,-0.89,-1.022,-0.817,-0.858,-1.05,-0.601,2
-0.669,-0.556,-0.92,-1.156,-0.83,-0.792,-0.794,-0.939,-0.806,-0.842,-1.142,-0.517,2
-0.677,-0.515,-0.847,-1.147,-0.756,-0.7,-0.64,-0.73,-0.648,-0.706,-0.997,-0.45,2
-0.854,-0.712,-0.835,-1.337,-0.938,-0.889,-0.8,-0.862,-0.862,-0.926,-1.077,-0.634,2
-0.86,-0.772,-0.936,-1.199,-0.904,-0.861,-0.839,-0.946,-0.799,-0.845,-1.084,-0.614,2
-0.785,-0.625,-0.734,-1.239,-0.818,-0.756,-0.673,-0.714,-0.656,-0.737,-0.91,-0.534,2
-0.634,-0.447,-0.625,-1.165,-0.762,-0.718,-0.678,-0.735,-0.644,-0.703,-0.961,-0.402,2
-0.489,-0.334,-0.497,-0.999,-0.631,-0.62,-0.519,-0.575,-0.59,-0.635,-0.849,-0.379,2
