@relation ring

@attribute A7 numeric
@attribute A8 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
155,-1884,-863,3274,-244,3063,0
-136,2795,391,695,-49,52,0
-376,347,-3512,1367,-2642,-1659,0
4436,-3078,-1527,1834,-425,4116,0
1216,1493,-274,-429,-1738,-2595,0
998,-319,-4829,-1527,1122,-1023,0
3547,-1224,-3986,-2347,3018,1268,0
304,3841,-255,-203,368,-2784,0
-3574,-4217,-1893,1115,-1375,2372,0
883,-318,1236,325,-16,76,0
-263,3093,-2262,-2981,43,-3443,0
56,-1296,-804,-1651,901,-1202,0
-23,-2117,-1977,-1856,826,636,0
222,1289,4053,975,139,-23,0
-59,-246,528,-526,1354,-148,0
-774,494,2426,2372,-995,904,0
-992,1234,-1206,291,2454,2481,0
-1419,-2713,3619,3028,41,3025,0
-64,913,1767,-161,-101,2974,0
-1,38,-343,-1235,2267,143,0
5046,-94,208,1177,156,664,0
52,2907,1777,954,621,2867,0
-865,-576,971,-1271,-157,-1597,0
-1885,-163,252,-2739,-4066,1679,0
-628,-326,2567,1716,-454,-125,0
4191,3024,-2394,-31,1498,29,0
1363,-1441,2893,1796,1183,1729,0
2092,-206,2246,341,-2996,1375,0
256,-807,627,-1927,-201,3472,0
-2669,-485,853,564,-1967,-944,0
1342,32,3684,27,179,3148,0
-1229,-199,-1455,669,-828,284,0
-1163,-1902,1697,1,1663,-48,0
229,-1257,-723,2298,-958,1107,0
-979,-2133,786,-181,-3474,-616,0
217,-1957,-558,166,-1381,158,0
-1148,-218,-206,1191,-4124,-2396,0
1858,2169,1662,-46,2534,-802,0
2353,-1723,151,2131,3345,-2444,0
-1611,586,-1571,-3791,1213,622,0
2224,1709,-258,28,154,1288,0
2513,349,-834,499,1191,-123,0
1361,-1156,1804,-1746,-742,-2193,0
1715,-259,-1647,523,-613,761,0
1027,-692,482,1743,712,1361,0
-199,995,-1354,-346,-503,1348,0
363,-1828,-501,-1185,-1149,388,0
1437,301,-3827,3205,-6299,2846,0
-72,-58,-65,188,1277,166,0
-16,-3353,5258,-1152,26,-3833,0
-1028,1914,2201,3222,817,-1901,0
887,-365,62,-1423,294,-1527,0
283,-742,-2267,-4874,5465,-312,0
687,-1599,-606,2652,863,424,0
-4189,979,-4358,1108,-797,-8,0
-126,-3217,472,-3823,897,-2355,0
673,116,907,1262,13,22,0
1074,1324,471,1377,-1924,-2157,0
1321,-2228,-585,843,2848,-228,0
-1558,-835,-835,299,1307,277,0
1462,-875,293,5203,228,-316,0
-2808,268,-2369,-2707,-4638,-136,0
-1691,-183,549,-336,2757,2227,0
716,-43,-615,-2765,-1339,1136,0
694,3738,-3421,3878,192,-312,0
-726,4073,-386,-5722,4382,37,0
1506,1649,2432,3857,-4,-2188,0
3171,347,736,-2247,-1612,-788,0
-2175,-271,824,2976,2098,2857,0
1925,-1153,979,-2299,3472,1135,0
-162,-2328,-28,1791,-4666,-394,0
556,-1954,-132,721,-2612,-473,0
1236,-204,-1322,1564,-137,-4012,0
-3669,-648,58,-899,-397,1286,0
-515,1061,-473,1642,-1675,299,0
-513,-812,1405,1034,-1917,932,0
1658,2914,-2546,-33,-3166,-2038,0
-612,2928,806,-996,-1658,-858,0
-1493,108,-655,1133,-3243,137,0
-473,-1948,-709,1637,-1753,4016,0
1763,166,-3,-1803,-2086,-2269,0
1949,-2522,-941,-5394,597,-2382,0
-208,-2306,-6703,2058,2628,134,0
-663,1311,-1531,1706,-452,14,0
-1422,-1184,-664,-46,2442,-1185,0
2125,337,2438,-452,-167,-81,0
113,586,831,-113,-2121,-1536,0
-3293,-1728,359,-543,-312,1162,0
1592,-43,371,2111,1713,155,0
