@relation automobile

@attribute Normalized-losses numeric
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Width numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Stroke numeric
@attribute City-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,104.3,188.8,67.2,ohc,3.15,24,15985,-2
103,104.3,188.8,67.2,ohc,3.15,17,18420,-2
65,102.4,175.6,66.5,ohc,3.54,27,10898,-1
90,104.5,187.8,66.5,dohc,3.35,20,15690,-1
93,110,190.9,70.3,ohc,3.64,22,28248,-1
74,104.3,188.8,67.2,ohc,3.15,23,13415,-1
65,102.4,175.6,66.5,ohc,3.54,27,9988,-1
65,102.4,175.6,66.5,ohc,3.54,27,11248,-1
137,96.3,172.4,65.4,ohc,3.46,23,9279,-1
95,109.1,188.8,68.9,ohc,3.15,19,22625,-1
95,109.1,188.8,68.9,ohc,3.15,23,16845,-1
93,115.6,202.6,71.7,ohc,3.64,22,31600,-1
95,109.1,188.8,68.8,ohc,3.15,19,19045,-1
65,102.4,175.6,66.5,ohc,3.35,30,10698,-1
65,102.4,175.6,66.5,ohc,3.54,29,8948,-1
74,104.3,188.8,67.2,ohc,3.15,24,16515,-1
95,109.1,188.8,68.9,ohcv,2.87,18,21485,-1
110,103.3,174.6,64.6,ohc,3.46,24,8921,-1
93,110,190.9,70.3,ohc,3.64,22,25552,-1
74,104.3,188.8,67.2,ohc,3.15,17,18950,-1
161,107.9,186.7,68.4,l,3.52,28,16900,0
115,98.8,177.8,66.5,ohc,3.39,26,8495,0
81,94.5,158.8,63.6,ohc,3.11,38,6575,0
161,107.9,186.7,68.4,l,2.19,19,15580,0
106,96.5,167.5,65.2,ohc,3.58,27,9095,0
91,95.7,169.7,63.6,ohc,3.03,27,8778,0
161,107.9,186.7,68.4,l,3.19,19,16630,0
161,107.9,186.7,68.4,l,3.52,28,17950,0
91,95.7,166.3,64.4,ohc,3.03,28,8358,0
102,97.2,172,65.4,ohcf,2.64,26,9960,0
91,95.7,166.3,64.4,ohc,3.35,34,7898,0
106,97.2,173.4,65.2,ohc,3.47,27,9549,0
161,107.9,186.7,68.4,l,3.19,19,11900,0
91,95.7,166.3,64.4,ohc,3.35,38,7788,0
77,95.7,169.7,63.6,ohc,3.03,31,6918,0
115,98.8,177.8,66.5,ohc,3.39,26,11245,0
106,96.5,167.5,65.2,ohc,3.58,27,7895,0
106,97.2,173.4,65.2,ohc,3.47,27,8949,0
188,101.2,176.8,64.8,ohc,3.19,21,21105,0
102,97.2,172,65.4,ohcf,2.64,32,7126,0
161,108,186.7,68.3,l,3.21,18,18150,0
110,96.5,163.4,64,ohc,3.41,30,7295,0
115,98.8,177.8,66.5,ohc,3.39,26,10245,0
85,96.9,173.6,65.4,ohcf,2.64,23,8013,0
89,97,173.5,65.4,ohcf,2.64,28,7463,0
118,104.9,175,66.1,ohc,3.16,19,18280,0
128,100.4,181.7,66.5,ohcv,3.27,17,13499,0
102,97,172,65.4,ohcf,2.64,24,11259,0
161,107.9,186.7,68.4,l,3.52,28,13200,0
102,97.2,172,65.4,ohcf,2.64,28,7775,0
93,106.7,187.5,70.3,ohc,3.64,22,28176,0
91,95.7,166.3,64.4,ohc,3.03,30,7198,0
188,101.2,176.8,64.8,ohc,3.19,21,20970,0
192,101.2,176.8,64.8,ohc,2.8,23,16925,0
145,113,199.6,69.6,dohc,4.17,15,32250,0
85,96.5,175.4,65.2,ohc,3.58,24,12945,0
85,96.5,175.4,62.5,ohc,3.58,27,10295,0
91,95.7,166.3,64.4,ohc,3.03,30,6938,0
91,95.7,166.3,64.4,ohc,3.03,38,7738,0
89,97,173.5,65.4,ohcf,2.64,25,10198,0
108,100.4,184.6,66.5,ohcv,3.27,17,14399,0
85,96.9,173.6,65.4,ohcf,2.64,23,11694,0
87,95.7,158.7,63.6,ohc,3.03,35,5348,1
154,93.7,157.3,63.8,ohc,3.23,31,6229,1
148,93.7,157.3,63.8,ohc,3.23,31,6229,1
103,94.5,170.2,63.8,ohc,3.29,31,7349,1
168,94.5,168.7,64,dohc,3.08,26,9538,1
148,93.7,157.3,63.8,ohc,3.23,31,7609,1
128,94.5,165.3,63.8,ohc,3.47,45,7099,1
98,94.5,155.9,63.6,ohc,3.11,38,6295,1
125,96.3,172.4,65.4,ohc,3.46,25,6989,1
107,96.5,169.1,66,ohc,3.58,25,10345,1
119,93.7,157.3,63.8,ohc,3.23,37,5572,1
125,96.3,172.4,65.4,ohc,3.46,25,8189,1
122,94.5,165.3,63.8,ohc,3.29,31,6849,1
101,93.7,150,64,ohc,3.41,30,6529,1
103,94.5,170.2,63.8,ohc,3.29,31,7999,1
101,93.7,150,64,ohc,3.41,30,7129,1
168,94.5,168.7,64,ohc,3.03,29,8238,1
158,105.8,192.7,71.4,ohc,3.4,17,23875,1
128,94.5,165.3,63.8,ohc,3.29,31,5499,1
148,93.7,157.3,63.8,ohc,3.23,31,6692,1
154,93.7,167.3,63.8,ohc,3.23,31,6692,1
101,93.7,150,64,ohc,3.07,38,5399,1
231,99.2,178.5,67.9,ohcv,3.27,19,18399,1
104,93.1,159.1,64.2,ohc,3.15,30,5195,1
168,94.5,168.7,64,ohc,3.03,29,8058,1
168,94.5,168.7,64,dohc,3.08,26,9298,1
128,94.5,165.3,63.8,ohc,3.29,31,6649,1
118,93.7,157.3,63.8,ohc,3.23,31,6377,1
118,93.7,157.3,63.8,ohc,3.23,37,5572,1
118,93.7,157.3,63.8,ohc,3.39,24,7957,1
113,93.1,166.8,64.2,ohc,3.15,31,7395,1
128,94.5,165.3,63.8,ohc,3.29,31,7299,1
104,93.1,159.1,64.2,ohc,3.15,31,6095,1
129,98.8,177.8,66.5,ohc,3.39,26,8845,1
154,93.7,167.3,63.8,ohc,3.23,31,7609,1
161,93,157.3,63.8,ohc,3.39,24,7689,1
129,98.8,177.8,66.5,ohc,3.39,26,10595,1
125,96.3,172.4,65.4,ohc,3.46,23,9279,1
158,105.8,192.7,71.4,ohc,3.4,19,17710,1
122,94.5,165.3,63.8,ohc,3.29,31,7499,1
113,93.1,166.8,64.2,ohc,3.15,31,6695,1
134,98.4,176.2,65.6,ohc,3.5,24,17669,2
94,97.3,171.7,65.5,ohc,3.4,37,9495,2
137,86.6,144.6,63.9,ohc,3.41,49,6479,2
164,99.4,176.6,66.4,ohc,3.4,18,17450,2
122,97.3,171.7,65.5,ohc,3.4,37,7775,2
94,97.3,171.7,65.5,ohc,3.4,27,8495,2
104,99.1,186.6,66.5,dohc,3.07,19,18620,2
134,98.4,176.2,65.6,ohc,3.5,24,9989,2
83,93.3,157.3,63.8,ohcf,2.64,26,7603,2
94,97.3,171.7,65.5,ohc,3.4,27,8195,2
164,99.8,176.6,66.2,ohc,3.4,24,13950,2
192,101.2,176.8,64.8,ohc,2.8,23,16430,2
104,99.1,186.6,66.5,ohc,3.07,21,15510,2
134,98.4,176.2,65.6,ohc,3.5,24,9639,2
168,95.1,162.4,63.8,ohc,3.29,31,8249,2
83,93.7,156.9,63.4,ohcf,2.36,31,5118,2
161,93.7,157.3,64.4,ohc,3.23,31,6669,2
161,93.7,157.3,64.4,ohc,3.23,31,6189,2
104,99.1,186.6,66.5,ohc,3.07,21,12170,2
121,88.4,141.1,60.3,l,3.03,47,5151,2
161,93.7,157.3,64.4,ohc,3.23,37,5389,2
94,97.3,171.7,65.5,ohc,3.4,26,9995,2
134,98.4,176.2,65.6,ohc,3.5,24,11549,2
94,97.3,171.7,65.5,ohc,3.4,37,7995,2
134,98.4,176.2,65.6,ohc,3.5,24,11199,2
134,98.4,176.2,65.6,ohc,3.5,24,8449,2
194,91.3,170.7,67.9,ohcv,3.27,17,19699,3
150,99.1,186.6,66.5,ohc,3.07,21,11850,3
150,99.1,186.6,66.5,dohc,3.07,19,18150,3
153,96.3,173,65.4,ohc,3.46,25,8499,3
186,94.5,168.9,68.3,ohc,3.11,19,22018,3
194,91.3,170.7,67.9,ohcv,3.27,19,17199,3
142,96.6,180.3,70.5,ohcv,3.1,16,35056,3
197,102.9,183.5,67.7,dohc,3.35,19,15998,3
145,95.9,173.2,66.3,ohc,3.9,19,12964,3
256,94.5,165.7,64,ohc,3.4,24,9980,3
197,102.9,183.5,67.7,dohc,3.35,20,16558,3
150,99.1,186.6,66.5,ohc,2.07,21,15040,3
