@relation automobile

@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Length numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Bore numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
sedan,188.8,56.2,2935,141,3.78,-2
sedan,188.8,56.2,3045,130,3.62,-2
sedan,188.8,56.2,2912,141,3.78,-2
sedan,175.6,54.9,2414,122,3.31,-1
sedan,172.4,51.6,2403,110,3.17,-1
wagon,188.8,57.5,3034,141,3.78,-1
sedan,190.9,56.5,3515,183,3.58,-1
sedan,202.6,56.3,3770,183,3.58,-1
sedan,188.8,55.5,3049,141,3.78,-1
sedan,175.6,54.9,2326,122,3.31,-1
hatchback,175.6,53.9,2458,122,3.31,-1
sedan,187.8,54.1,3131,171,3.27,-1
sedan,188.8,55.5,3012,173,3.58,-1
sedan,175.6,54.9,2480,110,3.27,-1
wagon,174.6,59.8,2535,122,3.35,-1
wagon,174.6,59.8,2535,122,3.34,-1
wagon,190.9,58.7,3750,183,3.58,-1
wagon,188.8,57.5,3157,130,3.62,-1
sedan,188.8,55.5,3217,145,3.01,-1
wagon,188.8,57.5,3042,141,3.78,-1
sedan,172,52.5,2145,108,3.62,0
hardtop,187.5,54.9,3495,183,3.58,0
sedan,177.8,55.5,2410,122,3.39,0
sedan,186.7,56.7,3252,152,3.7,0
hatchback,166.3,52.8,2122,98,3.19,0
sedan,186.7,56,3130,134,3.61,0
hatchback,177.8,55.5,2425,122,3.39,0
hatchback,167.5,53.3,2236,110,3.15,0
wagon,173.6,54.9,2650,108,3.62,0
sedan,186.7,56.7,3252,152,3.7,0
sedan,166.3,53,2094,98,3.19,0
sedan,186.7,56.7,3197,152,3.7,0
sedan,186.7,56.7,3075,120,3.46,0
wagon,173.6,54.9,2420,108,3.62,0
sedan,175.4,54.1,2465,110,3.15,0
sedan,199.6,52.8,4066,258,3.63,0
hatchback,167.5,53.3,2289,110,3.15,0
sedan,172,54.3,2385,108,3.62,0
sedan,177.8,55.5,2410,122,3.39,0
sedan,166.3,53,2081,98,3.19,0
sedan,172,52.5,2340,108,3.62,0
sedan,176.8,54.3,2395,108,3.5,0
wagon,184.6,56.1,3296,181,3.43,0
sedan,186.7,56.7,3075,120,3.46,0
sedan,172,54.3,2510,108,3.62,0
sedan,163.4,54.5,2010,92,2.91,0
sedan,184.6,55.1,3060,181,3.43,0
sedan,175.4,54.1,2304,110,3.15,0
sedan,166.3,52.8,2140,98,3.19,0
sedan,176.8,54.3,2710,164,3.31,0
wagon,169.7,59.1,2290,92,3.05,0
sedan,172,52.5,2190,108,3.62,0
sedan,181.7,55.1,3095,181,3.43,0
wagon,157.1,58.3,2024,92,2.92,0
wagon,173.5,53,2290,108,3.62,0
wagon,173.5,53,2455,108,3.62,0
sedan,173.4,54.7,2302,120,3.33,0
sedan,175.4,54.1,2372,110,3.15,0
sedan,166.3,53,2275,110,3.27,0
sedan,158.8,52,1909,90,3.03,0
hatchback,173.4,54.7,2324,120,3.33,0
hatchback,166.3,52.8,2109,98,3.19,0
sedan,176.8,54.3,2765,164,3.31,0
sedan,169.1,51,2293,110,3.15,1
hatchback,168.7,52.6,2300,98,3.24,1
sedan,165.3,54.5,1889,97,3.15,1
hatchback,150,52.6,1940,92,2.91,1
sedan,165.3,54.5,2017,103,2.99,1
sedan,157.3,50.6,1989,90,2.97,1
sedan,166.8,54.1,1945,91,3.03,1
