@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Engine-location {front,rear}
@attribute Height numeric
@attribute Engine-size numeric
@attribute Bore numeric
@attribute Compression-ratio numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,rwd,front,56.2,141,3.78,9.5,15985,-2
volvo,rwd,front,56.2,130,3.62,7.5,18420,-2
volvo,rwd,front,56.2,141,3.78,9.5,12940,-2
mercedes-benz,rwd,front,56.3,183,3.58,21.5,31600,-1
mercedes-benz,rwd,front,58.7,183,3.58,21.5,28248,-1
volvo,rwd,front,55.5,141,3.78,8.7,19045,-1
toyota,fwd,front,54.9,122,3.31,8.7,8948,-1
plymouth,fwd,front,59.8,122,3.35,8.5,8921,-1
mitsubishi,fwd,front,51.6,110,3.17,7.5,9279,-1
mercedes-benz,rwd,front,56.5,183,3.58,21.5,25552,-1
toyota,fwd,front,54.9,122,3.31,8.7,10898,-1
toyota,fwd,front,53.9,122,3.31,8.7,11248,-1
dodge,fwd,front,59.8,122,3.34,8.5,8921,-1
volvo,rwd,front,55.5,173,3.58,8.8,21485,-1
volvo,rwd,front,57.5,141,3.78,9.5,13415,-1
toyota,rwd,front,54.1,171,3.27,9.2,15690,-1
volvo,rwd,front,57.5,141,3.78,9.5,16515,-1
volvo,rwd,front,55.5,145,3.01,23,22470,-1
volvo,rwd,front,57.5,130,3.62,7.5,18950,-1
toyota,fwd,front,54.9,110,3.27,22.5,10698,-1
nissan,fwd,front,54.7,120,3.33,8.5,9549,0
peugot,rwd,front,56,134,3.61,7,18150,0
subaru,4wd,front,54.9,108,3.62,7.7,11694,0
nissan,fwd,front,54.7,120,3.33,8.5,8949,0
toyota,fwd,front,53,110,3.27,22.5,7898,0
subaru,fwd,front,53,108,3.62,9,7463,0
nissan,fwd,front,55.1,181,3.43,9,13499,0
peugot,rwd,front,56.7,152,3.7,21,13200,0
peugot,rwd,front,56.7,120,3.46,8.4,16630,0
mazda,fwd,front,55.5,122,3.39,8.6,10245,0
toyota,fwd,front,52.8,98,3.19,9,8358,0
bmw,rwd,front,54.3,164,3.31,9,21105,0
honda,fwd,front,53.3,110,3.15,9,7895,0
subaru,fwd,front,53,108,3.62,9,10198,0
jaguar,rwd,front,52.8,258,3.63,8.1,32250,0
subaru,fwd,front,52.5,108,3.62,9.5,7126,0
mazda,fwd,front,55.5,122,3.39,8.6,8495,0
honda,fwd,front,54.1,110,3.15,9,10295,0
toyota,fwd,front,52.8,98,3.19,9,7198,0
toyota,fwd,front,53,98,3.19,9,6938,0
peugot,rwd,front,56.7,152,3.7,21,17950,0
honda,fwd,front,54.1,110,3.15,9,12945,0
peugot,rwd,front,56.7,152,3.7,21,16900,0
chevrolet,fwd,front,52,90,3.03,9.6,6575,0
honda,fwd,front,53.3,110,3.15,9,9095,0
subaru,4wd,front,54.3,108,3.62,7.7,11259,0
peugot,rwd,front,56.7,120,3.46,8.4,15580,0
honda,fwd,front,58.3,92,2.92,9.2,7295,0
mercedes-benz,rwd,front,54.9,183,3.58,21.5,28176,0
toyota,fwd,front,53,98,3.19,9,7738,0
honda,fwd,front,54.1,110,3.15,9,8845,0
