@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Fuel-type {diesel,gas}
@attribute Num-of-doors {four,two}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Curb-weight numeric
@attribute Bore numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,gas,four,sedan,front,67.2,2935,3.78,15985,-2
volvo,gas,four,sedan,front,67.2,2912,3.78,12940,-2
dodge,gas,four,wagon,front,64.6,2535,3.34,8921,-1
toyota,gas,four,hatchback,front,66.5,2414,3.31,9988,-1
toyota,gas,four,sedan,front,66.5,2414,3.31,10898,-1
volvo,gas,four,wagon,front,67.2,3157,3.62,18950,-1
mercedes-benz,diesel,four,wagon,front,70.3,3750,3.58,28248,-1
toyota,gas,four,sedan,front,66.5,3131,3.27,15690,-1
volvo,gas,four,sedan,front,68.9,3062,3.78,22625,-1
volvo,gas,four,wagon,front,67.2,3034,3.78,13415,-1
volvo,gas,four,sedan,front,68.9,2952,3.78,16845,-1
volvo,gas,four,sedan,front,68.8,3049,3.78,19045,-1
toyota,gas,four,sedan,front,66.5,2326,3.31,8948,-1
volvo,diesel,four,sedan,front,68.9,3217,3.01,22470,-1
mercedes-benz,diesel,four,sedan,front,70.3,3515,3.58,25552,-1
mitsubishi,gas,four,sedan,front,65.4,2403,3.17,9279,-1
volvo,gas,four,wagon,front,67.2,3042,3.78,16515,-1
mercedes-benz,diesel,four,sedan,front,71.7,3770,3.58,31600,-1
toyota,gas,four,hatchback,front,66.5,2458,3.31,11248,-1
plymouth,gas,four,wagon,front,64.6,2535,3.35,8921,-1
peugot,diesel,four,sedan,front,68.4,3252,3.7,16900,0
toyota,gas,four,sedan,front,64.4,2140,3.19,9258,0
honda,gas,four,wagon,front,63.9,2024,2.92,7295,0
subaru,gas,four,sedan,front,65.4,2340,3.62,9960,0
