@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Wheel-base numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Engine-size numeric
@attribute Bore numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,rwd,104.3,56.2,3045,four,130,3.62,22,-2
volvo,rwd,104.3,56.2,2935,four,141,3.78,28,-2
volvo,rwd,104.3,56.2,2912,four,141,3.78,28,-2
mercedes-benz,rwd,115.6,56.3,3770,five,183,3.58,25,-1
volvo,rwd,104.3,57.5,3157,four,130,3.62,22,-1
plymouth,fwd,103.3,59.8,2535,four,122,3.35,30,-1
toyota,fwd,102.4,54.9,2326,four,122,3.31,34,-1
toyota,fwd,102.4,54.9,2414,four,122,3.31,32,-1
mercedes-benz,rwd,110,56.5,3515,five,183,3.58,25,-1
volvo,rwd,109.1,55.5,3217,six,145,3.01,27,-1
volvo,rwd,109.1,55.5,2952,four,141,3.78,28,-1
toyota,fwd,102.4,53.9,2458,four,122,3.31,32,-1
volvo,rwd,109.1,55.5,3062,four,141,3.78,25,-1
toyota,fwd,102.4,53.9,2414,four,122,3.31,32,-1
toyota,rwd,104.5,54.1,3131,six,171,3.27,24,-1
volvo,rwd,109.1,55.5,3012,six,173,3.58,23,-1
volvo,rwd,109.1,55.5,3049,four,141,3.78,25,-1
toyota,fwd,102.4,54.9,2480,four,110,3.27,33,-1
volvo,rwd,104.3,57.5,3034,four,141,3.78,28,-1
volvo,rwd,104.3,57.5,3042,four,141,3.78,28,-1
dodge,fwd,103.3,59.8,2535,four,122,3.34,30,-1
toyota,4wd,95.7,59.1,2290,four,92,3.05,32,0
peugot,rwd,107.9,56.7,3020,four,120,3.46,24,0
peugot,rwd,107.9,56.7,3075,four,120,3.46,24,0
subaru,fwd,97,53,2290,four,108,3.62,32,0
subaru,fwd,97.2,52.5,2145,four,108,3.62,37,0
jaguar,rwd,113,52.8,4066,six,258,3.63,19,0
mazda,fwd,98.8,55.5,2425,four,122,3.39,32,0
toyota,fwd,95.7,59.1,2280,four,92,3.05,37,0
toyota,fwd,95.7,53,2094,four,98,3.19,47,0
honda,fwd,96.5,53.3,2236,four,110,3.15,33,0
peugot,rwd,107.9,56.7,3252,four,152,3.7,33,0
toyota,fwd,95.7,52.8,2275,four,110,3.27,47,0
peugot,rwd,107.9,56.7,3252,four,152,3.7,33,0
subaru,fwd,97.2,52.5,2340,four,108,3.62,32,0
nissan,fwd,97.2,54.7,2302,four,120,3.33,34,0
toyota,fwd,95.7,53,2081,four,98,3.19,37,0
toyota,fwd,95.7,52.8,2140,four,98,3.19,34,0
toyota,fwd,95.7,52.8,2109,four,98,3.19,37,0
bmw,rwd,101.2,54.3,2395,four,108,3.5,29,0
honda,fwd,96.5,58.3,2024,four,92,2.92,34,0
mazda,fwd,98.8,55.5,2410,four,122,3.39,32,0
toyota,4wd,95.7,59.1,3110,four,92,3.05,32,0
bmw,rwd,101.2,54.3,2765,six,164,3.31,28,0
subaru,4wd,96.9,54.9,2420,four,108,3.62,29,0
nissan,fwd,100.4,55.1,3060,six,181,3.43,25,0
