@relation automobile

@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Width numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute City-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
four,104.3,67.2,2935,ohc,mpfi,24,-2
four,104.3,67.2,2912,ohc,mpfi,23,-2
four,104.3,67.2,3045,ohc,mpfi,17,-2
four,102.4,66.5,2480,ohc,idi,30,-1
four,103.3,64.6,2535,ohc,2bbl,24,-1
four,102.4,66.5,2458,ohc,mpfi,27,-1
four,102.4,66.5,2326,ohc,mpfi,29,-1
four,109.1,68.9,2952,ohc,mpfi,23,-1
four,103.3,64.6,2535,ohc,2bbl,24,-1
four,96.3,65.4,2403,ohc,spdi,23,-1
four,102.4,66.5,2414,ohc,mpfi,27,-1
four,109.1,68.9,3062,ohc,mpfi,19,-1
four,109.1,68.9,3012,ohcv,mpfi,18,-1
four,104.3,67.2,3157,ohc,mpfi,17,-1
four,110,70.3,3750,ohc,idi,22,-1
four,104.3,67.2,3042,ohc,mpfi,24,-1
four,109.1,68.9,3217,ohc,idi,26,-1
four,104.5,66.5,3131,dohc,mpfi,20,-1
four,102.4,66.5,2414,ohc,mpfi,27,-1
four,110,70.3,3515,ohc,idi,22,-1
four,115.6,71.7,3770,ohc,idi,22,-1
four,96.5,65.2,2304,ohc,1bbl,27,0
four,95.7,64.4,2140,ohc,2bbl,28,0
two,106.7,70.3,3495,ohc,idi,22,0
four,94.5,63.6,1909,ohc,2bbl,38,0
four,96.5,65.2,2465,ohc,mpfi,24,0
four,107.9,68.4,3075,l,mpfi,19,0
four,95.7,64.4,2122,ohc,2bbl,28,0
four,95.7,64.4,2094,ohc,2bbl,38,0
four,101.2,64.8,2395,ohc,mpfi,23,0
four,95.7,63.6,3110,ohc,2bbl,27,0
four,97,65.4,2510,ohcf,mpfi,24,0
four,97.2,65.4,2190,ohcf,2bbl,28,0
four,100.4,66.5,3060,ohcv,mpfi,19,0
four,95.7,64.4,2081,ohc,2bbl,30,0
four,107.9,68.4,3252,l,idi,28,0
four,97,65.4,2385,ohcf,2bbl,24,0
two,96.5,65.2,2289,ohc,1bbl,27,0
four,107.9,68.4,3020,l,mpfi,19,0
four,100.4,66.5,3296,ohcv,mpfi,17,0
four,97,65.4,2290,ohcf,2bbl,28,0
four,107.9,68.4,3197,l,idi,28,0
four,100.4,66.5,3095,ohcv,mpfi,17,0
four,97.2,65.2,2324,ohc,2bbl,27,0
four,96.5,64,2010,ohc,1bbl,30,0
four,107.9,68.4,3252,l,idi,28,0
four,95.7,64.4,2275,ohc,idi,38,0
four,107.9,68.4,3075,l,mpfi,19,0
four,113,69.6,4066,dohc,mpfi,15,0
four,101.2,64.8,2765,ohc,mpfi,21,0
four,97.2,65.4,2145,ohcf,2bbl,32,0
four,98.8,66.5,2410,ohc,2bbl,26,0
four,104.9,66.1,2670,ohc,mpfi,19,0
four,95.7,64.4,2109,ohc,2bbl,30,0
four,95.7,63.6,2290,ohc,2bbl,27,0
four,95.7,63.6,2280,ohc,2bbl,31,0
four,96.9,65.4,2420,ohcf,2bbl,23,0
four,96.9,65.4,2650,ohcf,mpfi,23,0
four,95.7,64.4,2275,ohc,idi,34,0
four,108,68.3,3130,l,mpfi,18,0
four,98.8,66.5,2410,ohc,2bbl,26,0
four,97,65.4,2455,ohcf,mpfi,25,0
four,96.5,63.9,2024,ohc,1bbl,30,0
four,94.5,63.8,1971,ohc,2bbl,31,1
four,105.8,71.4,3086,ohc,mpfi,17,1
