@relation automobile

@attribute Normalized-losses numeric
@attribute Aspiration {std,turbo}
@attribute Width numeric
@attribute Height numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Bore numeric
@attribute Horsepower numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,turbo,67.2,56.2,ohc,3.62,162,17,22,18420,-2
103,std,67.2,56.2,ohc,3.78,114,24,28,15985,-2
103,std,67.2,56.2,ohc,3.78,114,23,28,12940,-2
95,turbo,68.9,55.5,ohc,3.01,106,26,27,22470,-1
65,turbo,66.5,54.9,ohc,3.27,73,30,33,10698,-1
65,std,66.5,54.9,ohc,3.31,92,27,32,10898,-1
93,turbo,71.7,56.3,ohc,3.58,123,22,25,31600,-1
74,std,67.2,57.5,ohc,3.78,114,24,28,16515,-1
95,std,68.9,55.5,ohc,3.78,114,23,28,16845,-1
95,turbo,68.8,55.5,ohc,3.78,160,19,25,19045,-1
74,std,67.2,57.5,ohc,3.78,114,23,28,13415,-1
74,turbo,67.2,57.5,ohc,3.62,162,17,22,18950,-1
95,turbo,68.9,55.5,ohc,3.78,114,19,25,22625,-1
65,std,66.5,53.9,ohc,3.31,92,27,32,9988,-1
90,std,66.5,54.1,dohc,3.27,156,20,24,15690,-1
74,std,64.6,59.8,ohc,3.35,88,24,30,8921,-1
65,std,66.5,54.9,ohc,3.31,92,29,34,8948,-1
93,turbo,70.3,56.5,ohc,3.58,123,22,25,25552,-1
95,std,68.9,55.5,ohcv,3.58,134,18,23,21485,-1
110,std,64.6,59.8,ohc,3.34,88,24,30,8921,-1
65,std,66.5,53.9,ohc,3.31,92,27,32,11248,-1
118,std,66.1,54.4,ohc,3.76,120,19,27,18280,0
91,std,64.4,53,ohc,3.19,70,38,47,7738,0
81,std,63.6,59.1,ohc,3.05,62,27,32,7898,0
161,turbo,68.3,56,l,3.61,142,18,24,18150,0
115,std,66.5,55.5,ohc,3.39,84,26,32,11245,0
81,std,63.6,52,ohc,3.03,70,38,43,6575,0
106,std,65.2,54.7,ohc,3.33,97,27,34,9549,0
93,turbo,70.3,54.9,ohc,3.58,123,22,25,28176,0
115,std,66.5,55.5,ohc,3.39,84,26,32,10245,0
91,std,64.4,53,ohc,3.19,70,30,37,6938,0
106,std,65.2,53.3,ohc,3.15,86,27,33,7895,0
161,std,68.4,56.7,l,3.46,97,19,24,16630,0
85,std,65.2,54.1,ohc,3.15,101,24,28,12945,0
108,std,66.5,55.1,ohcv,3.43,152,19,25,13499,0
89,std,65.4,53,ohcf,3.62,82,28,32,7463,0
91,std,64.4,52.8,ohc,3.19,70,28,34,9258,0
115,std,66.5,55.5,ohc,3.39,84,26,32,8495,0
188,std,64.8,54.3,ohc,3.31,121,21,28,20970,0
102,std,65.4,52.5,ohcf,3.62,94,26,32,9960,0
106,std,65.2,54.7,ohc,3.33,97,27,34,8949,0
106,std,65.2,53.3,ohc,3.15,86,27,33,9095,0
85,std,65.2,54.1,ohc,3.15,86,27,33,8845,0
161,turbo,68.4,56.7,l,3.7,95,28,33,13200,0
91,std,64.4,52.8,ohc,3.19,70,28,34,8358,0
102,std,65.4,52.5,ohcf,3.62,82,28,33,7775,0
161,turbo,68.4,56.7,l,3.7,95,28,33,16900,0
192,std,64.8,54.3,ohc,3.5,101,23,29,16925,0
161,std,68.4,56.7,l,3.46,95,19,24,15580,0
128,std,66.5,55.1,ohcv,3.43,152,17,22,13499,0
89,std,65.4,53,ohcf,3.62,94,25,31,10198,0
102,std,65.4,52.5,ohcf,3.62,82,32,37,7126,0
85,std,65.4,54.9,ohcf,3.62,82,23,29,8013,0
188,std,64.8,54.3,ohc,3.31,121,21,28,21105,0
78,std,63.9,58.3,ohc,2.92,76,30,34,7295,0
91,std,63.6,59.1,ohc,3.05,62,27,32,8778,0
91,std,64.4,52.8,ohc,3.27,56,38,47,7788,0
77,std,63.6,59.1,ohc,3.05,62,31,37,6918,0
91,std,64.4,52.8,ohc,3.19,70,30,37,7198,0
161,std,68.4,56.7,l,3.46,97,19,24,11900,0
102,std,65.4,54.3,ohcf,3.62,82,24,25,9233,0
145,std,69.6,52.8,dohc,3.63,176,15,19,32250,0
85,std,62.5,54.1,ohc,3.15,86,27,33,10295,0
161,turbo,68.4,56.7,l,3.7,95,28,33,17950,0
101,std,64,52.6,ohc,2.91,60,38,42,5399,1
113,std,64.2,54.1,ohc,3.08,68,31,38,7395,1
101,std,64,52.6,ohc,2.91,76,30,34,6529,1
154,std,63.8,50.8,ohc,2.97,68,31,38,6692,1
161,turbo,63.8,50.8,ohc,3.03,102,24,30,7689,1
125,std,65.4,51.6,ohc,3.35,88,25,32,6989,1
104,std,64.2,54.1,ohc,3.03,68,31,38,6795,1
128,std,63.8,54.5,ohc,2.99,55,45,50,7099,1
104,std,64.2,54.1,ohc,3.03,68,31,38,6095,1
122,std,63.8,54.5,ohc,3.15,69,31,37,7499,1
103,std,63.8,53.5,ohc,3.15,69,31,37,7999,1
118,turbo,63.8,50.8,ohc,3.03,102,24,30,7957,1
119,std,63.8,50.8,ohc,2.97,68,37,41,5572,1
118,std,63.8,50.8,ohc,2.97,68,31,38,6377,1
98,std,63.6,52,ohc,3.03,70,38,43,6295,1
87,std,63.6,54.5,ohc,3.05,62,31,38,6338,1
154,std,63.8,50.8,ohc,2.97,68,31,38,7609,1
148,std,63.8,50.6,ohc,2.97,68,31,38,6692,1
119,turbo,63.8,50.8,ohc,3.03,102,24,30,7957,1
122,std,63.8,54.5,ohc,3.15,69,31,37,6849,1
74,std,63.6,54.5,ohc,3.05,62,31,38,6488,1
148,std,63.8,50.6,ohc,2.97,68,31,38,6229,1
128,std,63.8,54.5,ohc,3.15,69,31,37,7299,1
158,turbo,71.4,55.9,ohc,3.13,140,17,20,23875,1
101,std,64,52.6,ohc,2.91,76,30,34,7129,1
113,std,64.2,54.1,ohc,3.03,68,31,38,6695,1
168,std,64,52.6,ohc,3.19,70,29,34,8058,1
168,std,64,52.6,ohc,3.19,70,29,34,8238,1
