@relation automobile

@attribute Normalized-losses numeric
@attribute Fuel-type {diesel,gas}
@attribute Num-of-doors {four,two}
@attribute Engine-location {front,rear}
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Engine-size numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Horsepower numeric
@attribute Peak-rpm numeric
@attribute Highway-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,gas,four,front,ohc,four,130,mpfi,162,5100,22,18420,-2
103,gas,four,front,ohc,four,141,mpfi,114,5400,28,12940,-2
103,gas,four,front,ohc,four,141,mpfi,114,5400,28,15985,-2
95,gas,four,front,ohcv,six,173,mpfi,134,5500,23,21485,-1
95,gas,four,front,ohc,four,141,mpfi,114,5400,28,16845,-1
74,gas,four,front,ohc,four,122,2bbl,88,5000,30,8921,-1
65,diesel,four,front,ohc,four,110,idi,73,4500,33,10698,-1
93,diesel,four,front,ohc,five,183,idi,123,4350,25,28248,-1
90,gas,four,front,dohc,six,171,mpfi,156,5200,24,15690,-1
65,gas,four,front,ohc,four,122,mpfi,92,4200,34,8948,-1
74,gas,four,front,ohc,four,141,mpfi,114,5400,28,16515,-1
93,diesel,four,front,ohc,five,183,idi,123,4350,25,31600,-1
74,gas,four,front,ohc,four,141,mpfi,114,5400,28,13415,-1
95,diesel,four,front,ohc,six,145,idi,106,4800,27,22470,-1
95,gas,four,front,ohc,four,141,mpfi,160,5300,25,19045,-1
95,gas,four,front,ohc,four,141,mpfi,114,5400,25,22625,-1
137,gas,four,front,ohc,four,110,spdi,116,5500,30,9279,-1
93,diesel,four,front,ohc,five,183,idi,123,4350,25,25552,-1
74,gas,four,front,ohc,four,130,mpfi,162,5100,22,18950,-1
65,gas,four,front,ohc,four,122,mpfi,92,4200,32,9988,-1
65,gas,four,front,ohc,four,122,mpfi,92,4200,32,10898,-1
91,diesel,four,front,ohc,four,110,idi,56,4500,47,7788,0
91,gas,four,front,ohc,four,98,2bbl,70,4800,34,8358,0
115,gas,four,front,ohc,four,122,2bbl,84,4800,32,10245,0
108,gas,four,front,ohcv,six,181,mpfi,152,5200,22,14399,0
102,gas,four,front,ohcf,four,108,mpfi,111,4800,29,11259,0
161,gas,four,front,l,four,120,mpfi,95,5000,24,15580,0
77,gas,four,front,ohc,four,92,2bbl,62,4800,37,6918,0
115,gas,four,front,ohc,four,122,2bbl,84,4800,32,11245,0
108,gas,four,front,ohcv,six,181,mpfi,152,5200,25,13499,0
89,gas,four,front,ohcf,four,108,mpfi,94,5200,31,10198,0
85,gas,four,front,ohc,four,110,1bbl,86,5800,33,8845,0
91,gas,four,front,ohc,four,98,2bbl,70,4800,37,7198,0
93,diesel,two,front,ohc,five,183,idi,123,4350,25,28176,0
161,diesel,four,front,l,four,152,idi,95,4150,33,13200,0
118,gas,four,front,ohc,four,140,mpfi,120,5000,27,18280,0
188,gas,four,front,ohc,six,164,mpfi,121,4250,28,21105,0
91,gas,four,front,ohc,four,98,2bbl,70,4800,37,6938,0
110,gas,four,front,ohc,four,92,1bbl,76,6000,34,7295,0
91,gas,four,front,ohc,four,98,2bbl,70,4800,47,7738,0
161,diesel,four,front,l,four,152,idi,95,4150,33,17950,0
106,gas,two,front,ohc,four,110,1bbl,86,5800,33,7895,0
91,diesel,four,front,ohc,four,110,idi,56,4500,36,7898,0
161,gas,four,front,l,four,120,mpfi,97,5000,24,16630,0
102,gas,four,front,ohcf,four,108,mpfi,94,5200,32,9960,0
