@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Height numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Bore numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,volvo,four,56.2,ohc,four,3.78,9.5,5400,28,-2
103,volvo,four,56.2,ohc,four,3.62,7.5,5100,22,-2
103,volvo,four,56.2,ohc,four,3.78,9.5,5400,28,-2
74,volvo,four,57.5,ohc,four,3.78,9.5,5400,28,-1
74,volvo,four,57.5,ohc,four,3.62,7.5,5100,22,-1
74,plymouth,four,59.8,ohc,four,3.35,8.5,5000,30,-1
65,toyota,four,54.9,ohc,four,3.27,22.5,4500,33,-1
90,toyota,four,54.1,dohc,six,3.27,9.2,5200,24,-1
65,toyota,four,53.9,ohc,four,3.31,8.7,4200,32,-1
65,toyota,four,54.9,ohc,four,3.31,8.7,4200,34,-1
137,mitsubishi,four,51.6,ohc,four,3.17,7.5,5500,30,-1
65,toyota,four,53.9,ohc,four,3.31,8.7,4200,32,-1
93,mercedes-benz,four,58.7,ohc,five,3.58,21.5,4350,25,-1
95,volvo,four,55.5,ohcv,six,3.58,8.8,5500,23,-1
65,toyota,four,54.9,ohc,four,3.31,8.7,4200,32,-1
110,dodge,four,59.8,ohc,four,3.34,8.5,5000,30,-1
95,volvo,four,55.5,ohc,four,3.78,9.5,5400,28,-1
95,volvo,four,55.5,ohc,four,3.78,9.5,5400,25,-1
93,mercedes-benz,four,56.5,ohc,five,3.58,21.5,4350,25,-1
95,volvo,four,55.5,ohc,six,3.01,23,4800,27,-1
93,mercedes-benz,four,56.3,ohc,five,3.58,21.5,4350,25,-1
81,chevrolet,four,52,ohc,four,3.03,9.6,5400,43,0
108,nissan,four,55.1,ohcv,six,3.43,9,5200,25,0
91,toyota,four,53,ohc,four,3.19,9,4800,37,0
110,honda,four,54.5,ohc,four,2.91,9.2,6000,34,0
115,mazda,four,55.5,ohc,four,3.39,8.6,4800,32,0
161,peugot,four,56.7,l,four,3.46,8.4,5000,24,0
102,subaru,four,52.5,ohcf,four,3.62,9.5,4400,33,0
102,subaru,four,54.3,ohcf,four,3.62,9,4800,25,0
161,peugot,four,56.7,l,four,3.46,8.4,5000,24,0
106,nissan,four,54.7,ohc,four,3.33,8.5,5200,34,0
161,peugot,four,56.7,l,four,3.7,21,4150,33,0
91,toyota,four,53,ohc,four,3.19,9,4800,47,0
91,toyota,four,52.8,ohc,four,3.19,9,4800,34,0
85,subaru,four,54.9,ohcf,four,3.62,7.7,4800,23,0
85,honda,four,54.1,ohc,four,3.15,9,5800,28,0
128,nissan,four,55.1,ohcv,six,3.43,9,5200,22,0
91,toyota,four,53,ohc,four,3.27,22.5,4500,36,0
91,toyota,four,59.1,ohc,four,3.05,9,4800,32,0
161,peugot,four,56.7,l,four,3.7,21,4150,33,0
91,toyota,four,52.8,ohc,four,3.27,22.5,4500,47,0
91,toyota,four,52.8,ohc,four,3.19,9,4800,34,0
108,nissan,four,56.1,ohcv,six,3.43,9,5200,22,0
161,peugot,four,56,l,four,3.61,7,5600,24,0
145,jaguar,four,52.8,dohc,six,3.63,8.1,4750,19,0
106,honda,two,53.3,ohc,four,3.15,9,5800,33,0
89,subaru,four,53,ohcf,four,3.62,9,5200,31,0
115,mazda,four,55.5,ohc,four,3.39,8.6,4800,32,0
102,subaru,four,52.5,ohcf,four,3.62,9.5,4800,37,0
