@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Fuel-type {diesel,gas}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Compression-ratio numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,volvo,gas,sedan,2912,ohc,mpfi,9.5,-2
103,volvo,gas,sedan,2935,ohc,mpfi,9.5,-2
103,volvo,gas,sedan,3045,ohc,mpfi,7.5,-2
95,volvo,diesel,sedan,3217,ohc,idi,23,-1
95,volvo,gas,sedan,3049,ohc,mpfi,8.7,-1
74,volvo,gas,wagon,3157,ohc,mpfi,7.5,-1
110,dodge,gas,wagon,2535,ohc,2bbl,8.5,-1
95,volvo,gas,sedan,2952,ohc,mpfi,9.5,-1
74,plymouth,gas,wagon,2535,ohc,2bbl,8.5,-1
93,mercedes-benz,diesel,sedan,3515,ohc,idi,21.5,-1
65,toyota,gas,sedan,2326,ohc,mpfi,8.7,-1
74,volvo,gas,wagon,3042,ohc,mpfi,9.5,-1
95,volvo,gas,sedan,3012,ohcv,mpfi,8.8,-1
65,toyota,gas,hatchback,2458,ohc,mpfi,8.7,-1
74,volvo,gas,wagon,3034,ohc,mpfi,9.5,-1
137,mitsubishi,gas,sedan,2403,ohc,spdi,7.5,-1
93,mercedes-benz,diesel,wagon,3750,ohc,idi,21.5,-1
65,toyota,diesel,sedan,2480,ohc,idi,22.5,-1
95,volvo,gas,sedan,3062,ohc,mpfi,9.5,-1
65,toyota,gas,hatchback,2414,ohc,mpfi,8.7,-1
65,toyota,gas,sedan,2414,ohc,mpfi,8.7,-1
161,peugot,diesel,sedan,3252,l,idi,21,0
161,peugot,gas,sedan,3020,l,mpfi,8.4,0
115,mazda,gas,hatchback,2425,ohc,2bbl,8.6,0
85,subaru,gas,wagon,2420,ohcf,2bbl,9,0
89,subaru,gas,wagon,2290,ohcf,2bbl,9,0
78,honda,gas,wagon,2024,ohc,1bbl,9.2,0
91,toyota,diesel,sedan,2275,ohc,idi,22.5,0
91,toyota,diesel,hatchback,2275,ohc,idi,22.5,0
108,nissan,gas,wagon,3296,ohcv,mpfi,9,0
102,subaru,gas,sedan,2190,ohcf,2bbl,9.5,0
115,mazda,gas,sedan,2410,ohc,2bbl,8.6,0
106,honda,gas,hatchback,2236,ohc,1bbl,9,0
91,toyota,gas,sedan,2081,ohc,2bbl,9,0
108,nissan,gas,sedan,3060,ohcv,mpfi,9,0
128,nissan,gas,sedan,3095,ohcv,mpfi,9,0
102,subaru,gas,sedan,2385,ohcf,2bbl,9,0
106,honda,gas,hatchback,2289,ohc,1bbl,9,0
91,toyota,gas,sedan,2094,ohc,2bbl,9,0
161,peugot,diesel,sedan,3252,l,idi,21,0
81,chevrolet,gas,sedan,1909,ohc,2bbl,9.6,0
192,bmw,gas,sedan,2395,ohc,mpfi,8.8,0
110,honda,gas,sedan,2010,ohc,1bbl,9.2,0
91,toyota,gas,wagon,3110,ohc,2bbl,9,0
115,mazda,gas,sedan,2410,ohc,2bbl,8.6,0
188,bmw,gas,sedan,2710,ohc,mpfi,9,0
85,honda,gas,sedan,2304,ohc,1bbl,9,0
102,subaru,gas,sedan,2510,ohcf,mpfi,7.7,0
102,subaru,gas,sedan,2340,ohcf,mpfi,9,0
188,bmw,gas,sedan,2765,ohc,mpfi,9,0
85,subaru,gas,wagon,2650,ohcf,mpfi,7.7,0
91,toyota,gas,sedan,2140,ohc,2bbl,9,0
102,subaru,gas,sedan,2145,ohcf,2bbl,9.5,0
106,nissan,gas,sedan,2302,ohc,2bbl,8.5,0
77,toyota,gas,wagon,2280,ohc,2bbl,9,0
91,toyota,gas,hatchback,2122,ohc,2bbl,9,0
161,peugot,gas,sedan,3130,l,mpfi,7,0
161,peugot,diesel,sedan,3197,l,idi,21,0
93,mercedes-benz,diesel,hardtop,3495,ohc,idi,21.5,0
161,peugot,gas,sedan,3075,l,mpfi,8.4,0
118,mazda,gas,sedan,2670,ohc,mpfi,8,0
81,toyota,gas,wagon,2290,ohc,2bbl,9,0
85,honda,gas,sedan,2465,ohc,mpfi,9,0
85,honda,gas,sedan,2372,ohc,1bbl,9,0
106,nissan,gas,hatchback,2324,ohc,2bbl,8.5,0
91,toyota,gas,hatchback,2109,ohc,2bbl,9,0
168,toyota,gas,sedan,2265,dohc,mpfi,9.4,1
