@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Engine-size numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Bore numeric
@attribute Stroke numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute City-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,volvo,front,67.2,141,mpfi,3.78,3.15,9.5,5400,24,-2
103,volvo,front,67.2,130,mpfi,3.62,3.15,7.5,5100,17,-2
103,volvo,front,67.2,141,mpfi,3.78,3.15,9.5,5400,23,-2
65,toyota,front,66.5,122,mpfi,3.31,3.54,8.7,4200,27,-1
74,volvo,front,67.2,141,mpfi,3.78,3.15,9.5,5400,23,-1
95,volvo,front,68.9,145,idi,3.01,3.4,23,4800,26,-1
90,toyota,front,66.5,171,mpfi,3.27,3.35,9.2,5200,20,-1
65,toyota,front,66.5,110,idi,3.27,3.35,22.5,4500,30,-1
95,volvo,front,68.8,141,mpfi,3.78,3.15,8.7,5300,19,-1
74,volvo,front,67.2,130,mpfi,3.62,3.15,7.5,5100,17,-1
74,volvo,front,67.2,141,mpfi,3.78,3.15,9.5,5400,24,-1
93,mercedes-benz,front,71.7,183,idi,3.58,3.64,21.5,4350,22,-1
65,toyota,front,66.5,122,mpfi,3.31,3.54,8.7,4200,29,-1
74,plymouth,front,64.6,122,2bbl,3.35,3.46,8.5,5000,24,-1
110,dodge,front,64.6,122,2bbl,3.34,3.46,8.5,5000,24,-1
95,volvo,front,68.9,141,mpfi,3.78,3.15,9.5,5400,23,-1
65,toyota,front,66.5,122,mpfi,3.31,3.54,8.7,4200,27,-1
65,toyota,front,66.5,122,mpfi,3.31,3.54,8.7,4200,27,-1
