@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,13,16,19,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
24,A32,12579,44,1,A192,2
12,A34,1804,44,1,A191,1
18,A32,5866,30,2,A192,1
30,A32,2333,30,1,A191,1
48,A34,6143,58,2,A191,2
36,A32,2299,39,1,A191,1
24,A33,2333,29,1,A191,1
27,A33,5965,30,2,A192,1
12,A32,1262,25,1,A191,1
6,A31,783,26,1,A191,1
11,A33,4771,51,1,A191,1
30,A32,3832,22,1,A191,1
12,A32,1318,54,1,A192,1
12,A34,2012,61,1,A191,1
15,A34,2728,35,3,A192,1
18,A32,2462,22,1,A191,2
12,A34,682,51,2,A192,1
10,A32,1924,38,1,A192,1
6,A34,1898,34,2,A191,1
10,A32,7308,70,1,A192,1
18,A32,1131,33,1,A191,2
24,A32,4591,54,3,A192,2
45,A32,3031,21,1,A191,2
12,A32,1200,23,1,A192,1
36,A30,2613,27,2,A191,1
48,A32,10961,27,2,A192,2
60,A33,7418,27,1,A191,1
24,A34,2684,35,2,A191,1
36,A34,6304,36,2,A191,1
30,A32,11998,34,1,A192,2
18,A34,2404,26,2,A191,1
24,A34,3878,37,1,A192,1
6,A32,1543,33,1,A191,1
15,A33,3643,27,2,A191,1
8,A34,3398,39,2,A191,1
24,A34,6615,75,2,A192,1
18,A34,1864,30,2,A191,2
24,A30,4110,23,2,A191,2
9,A32,1236,23,1,A192,1
12,A32,3399,37,1,A191,1
6,A34,362,52,2,A191,1
18,A34,7374,40,2,A192,1
36,A34,2348,46,2,A192,1
18,A33,2899,43,1,A191,1
18,A33,8471,23,2,A192,1
21,A33,1591,34,2,A191,1
18,A32,2779,21,1,A192,1
36,A34,11054,30,1,A192,1
12,A32,3386,35,1,A192,2
6,A32,1238,36,1,A192,1
24,A32,3757,62,1,A192,1
24,A34,1585,40,2,A191,1
18,A32,1301,32,1,A191,1
12,A33,585,20,2,A191,1
15,A32,2631,28,2,A192,2
24,A34,2022,37,1,A192,1
12,A34,996,23,2,A191,1
24,A33,1553,23,2,A192,1
15,A32,806,22,1,A191,1
24,A32,1442,23,2,A191,2
36,A32,2671,50,1,A191,2
30,A32,3441,21,1,A191,2
9,A31,1437,29,1,A191,2
60,A33,15653,21,2,A192,1
15,A32,1308,38,2,A191,1
24,A34,1851,33,2,A192,1
21,A32,2241,50,2,A191,1
6,A34,2080,24,1,A191,1
6,A32,1538,56,1,A191,1
12,A32,2279,37,1,A192,1
10,A34,1347,27,2,A192,1
10,A31,1048,23,1,A191,1
12,A32,1274,37,1,A191,2
15,A32,3029,33,1,A191,1
12,A33,1555,55,2,A191,2
21,A34,12680,30,1,A192,2
12,A34,1655,63,2,A192,1
36,A34,8065,25,2,A192,2
36,A34,3535,37,2,A192,1
40,A34,5998,27,1,A192,2
6,A34,1221,27,2,A191,1
20,A34,4272,24,2,A191,1
12,A34,930,65,4,A191,1
36,A34,9629,24,2,A192,2
15,A32,2327,25,1,A191,2
21,A33,2993,28,2,A191,1
18,A32,6761,68,2,A191,2
24,A32,1474,33,1,A192,1
24,A32,2439,35,1,A192,2
11,A34,1322,40,2,A191,1
18,A31,1940,36,1,A192,1
24,A32,4057,43,1,A192,2
9,A32,3195,33,1,A191,1
30,A32,2991,25,1,A191,1
6,A32,14896,68,1,A192,2
18,A34,1049,21,1,A191,1
24,A32,1747,24,1,A191,1
24,A32,4113,28,1,A191,2
27,A34,2520,23,2,A191,2
36,A32,8229,26,1,A191,2
