@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,5117,A61,A74,A93,A123,A191,1
A14,5248,A65,A73,A93,A123,A191,1
A14,717,A61,A75,A93,A121,A191,1
A14,1817,A61,A73,A92,A124,A191,1
A14,1240,A65,A75,A92,A121,A192,1
A11,1603,A61,A75,A92,A123,A191,1
A12,3878,A62,A72,A91,A123,A192,1
A13,3016,A61,A73,A94,A123,A191,1
A14,2133,A65,A75,A92,A124,A192,1
A12,3001,A61,A74,A92,A121,A191,1
A11,4272,A61,A75,A92,A122,A191,1
A12,1154,A61,A75,A93,A121,A191,1
A14,1927,A65,A73,A92,A123,A192,1
A11,3394,A61,A71,A93,A123,A191,1
A14,1901,A62,A73,A93,A123,A192,1
A14,2748,A61,A75,A92,A124,A191,1
A14,2255,A65,A72,A93,A122,A191,1
A14,4042,A65,A74,A93,A122,A192,1
A14,2241,A61,A75,A93,A121,A191,1
A14,1471,A61,A73,A93,A124,A192,1
A14,2679,A61,A72,A92,A124,A192,1
A14,1185,A61,A73,A92,A121,A191,1
A13,2251,A61,A73,A92,A123,A191,1
A12,5866,A62,A73,A93,A123,A192,1
A11,3660,A61,A73,A92,A123,A191,1
A12,3711,A65,A73,A94,A123,A191,1
A12,2063,A61,A72,A94,A123,A192,1
A11,4380,A62,A73,A93,A123,A192,1
A14,2764,A61,A73,A92,A123,A192,1
A14,1543,A64,A73,A91,A121,A191,1
A13,2892,A61,A75,A91,A124,A191,1
A12,9157,A65,A73,A93,A124,A191,1
A14,3077,A61,A73,A93,A123,A192,1
A13,1299,A61,A73,A93,A121,A191,1
A11,1858,A61,A72,A92,A123,A191,1
A11,652,A61,A75,A92,A122,A191,1
A11,2910,A61,A74,A93,A124,A192,1
A14,3235,A63,A75,A91,A123,A192,1
A13,1494,A65,A72,A93,A121,A191,1
A12,4712,A65,A73,A93,A122,A192,1
A12,1199,A61,A74,A92,A122,A192,1
A12,2503,A62,A75,A93,A122,A191,1
A14,1750,A63,A75,A93,A122,A191,1
A11,2812,A65,A75,A92,A121,A191,1
A14,1585,A61,A74,A93,A122,A191,1
A12,2760,A65,A75,A93,A124,A192,1
A14,1542,A61,A74,A93,A123,A192,1
A11,339,A61,A75,A94,A123,A191,1
A14,727,A63,A75,A93,A124,A192,1
