@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
10,A34,A61,A72,A173,1
24,A32,A65,A75,A173,1
12,A34,A63,A74,A174,1
12,A32,A65,A75,A173,1
9,A32,A61,A73,A173,1
36,A34,A61,A73,A173,1
15,A34,A65,A74,A173,1
15,A32,A61,A72,A172,1
12,A32,A65,A72,A173,1
36,A32,A61,A74,A174,1
24,A32,A62,A73,A174,1
24,A34,A61,A73,A172,1
18,A34,A64,A73,A173,1
36,A34,A65,A75,A173,1
30,A34,A65,A75,A173,1
24,A33,A65,A75,A173,1
12,A32,A61,A73,A172,1
12,A32,A65,A73,A173,1
18,A34,A61,A73,A173,1
24,A32,A65,A75,A173,1
18,A34,A61,A74,A173,1
15,A34,A63,A73,A173,1
12,A32,A62,A74,A172,1
18,A32,A62,A74,A174,1
18,A31,A65,A74,A172,1
24,A32,A61,A73,A173,1
9,A34,A65,A73,A173,1
18,A32,A65,A73,A173,1
15,A34,A61,A73,A172,1
6,A34,A62,A73,A172,1
12,A32,A61,A72,A173,1
10,A32,A61,A73,A172,1
9,A32,A61,A75,A173,1
21,A34,A61,A72,A173,1
6,A32,A63,A74,A172,1
21,A34,A64,A74,A173,1
9,A32,A62,A73,A173,1
6,A30,A61,A75,A172,1
9,A34,A65,A75,A172,1
36,A34,A64,A75,A174,1
12,A32,A61,A73,A173,1
9,A32,A65,A73,A172,1
18,A30,A61,A74,A173,1
15,A32,A65,A75,A173,1
28,A34,A61,A75,A173,1
24,A32,A61,A73,A172,1
42,A32,A65,A74,A173,1
24,A34,A61,A74,A173,1
8,A34,A61,A75,A174,1
18,A32,A63,A72,A173,1
10,A31,A61,A73,A172,1
9,A32,A61,A73,A173,1
10,A32,A61,A71,A174,1
30,A34,A65,A75,A172,1
12,A32,A61,A74,A172,1
24,A32,A61,A73,A173,1
15,A34,A65,A75,A173,1
12,A32,A65,A75,A174,1
15,A33,A61,A72,A172,1
24,A32,A61,A75,A173,1
6,A34,A64,A74,A172,1
24,A33,A61,A74,A172,1
12,A32,A65,A73,A173,1
18,A34,A61,A71,A174,1
12,A33,A61,A73,A173,1
24,A34,A64,A73,A173,1
12,A34,A61,A73,A173,1
15,A34,A61,A73,A173,1
12,A34,A61,A73,A174,1
48,A33,A65,A73,A173,1
4,A32,A65,A72,A172,1
60,A32,A61,A75,A174,1
21,A32,A61,A72,A174,1
30,A30,A65,A72,A173,1
11,A33,A61,A74,A173,1
6,A34,A61,A73,A171,1
9,A32,A61,A74,A174,1
12,A34,A61,A75,A172,1
18,A32,A61,A72,A173,1
6,A32,A61,A73,A173,1
12,A32,A61,A73,A173,1
24,A32,A65,A72,A173,1
12,A34,A65,A75,A173,1
21,A32,A61,A74,A172,1
36,A32,A65,A73,A173,1
12,A34,A61,A75,A173,1
24,A32,A61,A72,A174,1
9,A32,A61,A75,A173,1
12,A32,A62,A73,A173,1
36,A32,A61,A73,A173,1
12,A34,A63,A73,A173,1
24,A34,A61,A75,A173,1
9,A34,A63,A75,A173,1
18,A32,A61,A73,A172,1
20,A34,A61,A75,A173,1
24,A34,A61,A72,A173,1
24,A34,A61,A75,A174,1
12,A32,A61,A73,A172,1
12,A32,A65,A72,A174,1
39,A34,A65,A74,A174,1
18,A32,A64,A73,A173,1
9,A32,A61,A74,A173,1
12,A32,A61,A72,A173,1
36,A32,A61,A75,A173,1
15,A34,A61,A73,A173,1
20,A33,A65,A74,A174,1
18,A34,A61,A75,A172,1
18,A32,A61,A75,A172,1
24,A32,A62,A75,A173,1
12,A34,A61,A75,A173,1
27,A33,A61,A75,A174,1
24,A32,A61,A71,A174,1
24,A34,A62,A72,A173,1
9,A32,A62,A72,A173,1
15,A34,A61,A73,A173,1
24,A34,A61,A73,A173,1
12,A34,A61,A73,A172,1
12,A32,A62,A74,A172,1
36,A33,A63,A74,A173,1
12,A32,A61,A73,A172,1
6,A32,A61,A73,A173,1
18,A32,A61,A71,A173,1
6,A32,A61,A72,A172,1
10,A34,A61,A74,A173,1
11,A34,A62,A71,A172,1
24,A33,A62,A73,A173,1
24,A34,A61,A73,A173,1
12,A31,A63,A73,A172,1
9,A34,A61,A74,A173,1
5,A32,A61,A74,A172,1
30,A34,A61,A74,A173,1
10,A34,A61,A75,A172,1
15,A32,A65,A72,A173,1
18,A32,A61,A74,A172,1
60,A33,A65,A73,A174,1
12,A34,A63,A74,A173,1
12,A32,A64,A75,A173,1
6,A32,A63,A73,A173,1
6,A32,A63,A71,A171,1
18,A34,A63,A75,A174,1
15,A34,A61,A75,A173,1
27,A33,A61,A74,A173,1
30,A32,A63,A75,A174,1
24,A31,A63,A73,A173,1
12,A34,A64,A74,A173,1
12,A34,A65,A75,A173,1
24,A31,A63,A73,A173,1
24,A34,A61,A75,A172,1
15,A34,A61,A74,A173,1
