@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,A75,4,4,53,A143,2,A173,1
A12,A75,1,1,33,A141,1,A174,1
A14,A75,4,4,47,A141,3,A173,1
A13,A73,3,4,23,A143,1,A173,1
A14,A75,1,2,28,A143,1,A173,1
A12,A74,2,4,40,A143,1,A173,1
A12,A75,4,2,41,A142,2,A173,1
A14,A71,2,3,31,A143,1,A174,1
A14,A75,4,3,32,A141,2,A174,1
A12,A75,4,4,50,A143,2,A173,1
A12,A73,2,2,30,A143,2,A173,1
A14,A75,4,4,63,A143,1,A173,1
A14,A71,1,2,38,A143,1,A171,1
A12,A73,2,2,35,A143,1,A174,1
A14,A73,2,1,25,A143,2,A173,1
A14,A74,3,2,27,A143,2,A173,1
A12,A71,2,4,70,A141,1,A174,1
A11,A75,4,4,65,A143,2,A173,1
A12,A72,3,1,34,A143,1,A174,1
A12,A74,4,4,24,A143,1,A173,1
A11,A72,4,4,21,A143,1,A173,1
A12,A73,3,4,34,A143,2,A173,1
A14,A73,2,2,30,A143,1,A174,1
A12,A74,4,3,26,A143,1,A173,1
A14,A72,4,2,28,A143,1,A173,1
A12,A73,4,1,22,A143,1,A173,1
A12,A73,2,1,27,A141,1,A173,1
A14,A74,4,1,28,A143,1,A173,1
A14,A75,1,4,49,A143,1,A173,1
A14,A75,4,4,56,A143,1,A173,1
A14,A73,4,2,28,A143,2,A173,1
A14,A72,2,3,27,A141,2,A172,1
A12,A75,1,2,31,A141,2,A173,1
A13,A73,2,2,44,A143,1,A172,1
A13,A75,2,4,49,A143,1,A173,1
A14,A75,4,4,62,A143,1,A173,1
A14,A75,4,4,46,A143,1,A173,1
A14,A75,3,2,31,A143,1,A173,1
A11,A73,4,4,40,A143,1,A174,1
A11,A73,2,2,32,A143,2,A173,1
A13,A75,4,4,49,A142,2,A172,1
A11,A73,2,2,27,A143,1,A173,1
A13,A72,1,1,37,A143,1,A172,1
A11,A71,2,3,43,A143,1,A174,1
A14,A74,4,3,34,A143,1,A173,1
A11,A71,4,4,36,A143,3,A174,1
A11,A75,4,4,55,A143,1,A173,1
A11,A75,4,4,49,A141,1,A173,1
A14,A75,2,2,35,A143,2,A173,1
A12,A73,3,2,25,A143,1,A172,1
A12,A71,2,4,31,A143,1,A174,1
A11,A73,4,4,25,A143,2,A172,1
A12,A74,2,1,24,A143,1,A173,1
A11,A73,4,4,28,A143,1,A173,1
A11,A74,4,4,30,A143,2,A174,1
A11,A72,4,1,24,A143,1,A172,1
A12,A73,2,4,44,A143,1,A172,1
A13,A72,4,2,23,A143,1,A173,1
A11,A75,4,3,54,A143,1,A173,1
A11,A72,3,1,28,A141,2,A172,1
A12,A73,2,2,27,A143,1,A174,1
A14,A75,4,4,54,A143,2,A173,1
A14,A73,4,3,29,A143,2,A173,1
A14,A73,2,2,26,A143,2,A173,1
A14,A75,4,4,34,A141,1,A172,1
A11,A72,3,4,41,A143,1,A172,1
A12,A74,3,1,32,A143,2,A173,1
A14,A73,3,2,31,A143,1,A172,1
A11,A72,4,1,46,A143,1,A173,1
A11,A73,3,2,27,A143,1,A174,1
A12,A71,3,4,27,A143,1,A173,1
A11,A73,4,2,30,A143,2,A173,1
A12,A74,2,2,32,A143,1,A173,1
A14,A73,2,4,46,A143,2,A174,1
A14,A73,4,1,43,A143,2,A172,1
A14,A75,4,4,37,A143,2,A173,1
A14,A75,4,2,45,A143,1,A172,1
A12,A71,3,4,40,A141,1,A171,1
A13,A75,2,4,28,A143,2,A173,1
A12,A73,4,2,34,A142,1,A173,1
A14,A73,4,2,27,A143,2,A173,1
A14,A74,1,3,45,A143,2,A174,1
A12,A74,4,2,35,A141,3,A173,1
A14,A74,3,4,31,A143,1,A172,1
A13,A74,4,2,27,A143,2,A173,1
A14,A74,2,4,23,A143,1,A172,1
A11,A74,2,1,34,A143,1,A174,1
A14,A71,4,2,27,A141,2,A174,1
A11,A72,1,3,44,A143,2,A172,1
A11,A75,4,4,47,A143,2,A172,1
A14,A72,3,2,32,A143,1,A173,1
A14,A73,3,2,27,A143,2,A173,1
A12,A74,1,3,31,A143,2,A172,1
A11,A71,4,3,30,A143,1,A174,1
A12,A73,2,3,64,A143,1,A173,1
A14,A73,3,2,28,A142,2,A172,1
A14,A73,4,3,36,A143,2,A173,1
A14,A75,1,4,63,A143,2,A173,1
A14,A75,1,4,36,A143,1,A174,1
A12,A73,2,1,28,A143,2,A173,1
A12,A73,2,2,31,A143,1,A172,1
A13,A75,2,3,37,A143,1,A174,1
A11,A73,4,4,38,A141,2,A172,1
A14,A72,3,2,35,A143,2,A174,1
A12,A72,3,2,29,A141,1,A171,1
A14,A73,3,1,30,A143,2,A173,1
A12,A75,4,4,38,A143,2,A173,1
A13,A73,2,4,50,A143,1,A172,1
A14,A74,4,1,34,A142,2,A173,1
A14,A75,3,4,40,A143,1,A173,1
A14,A75,3,4,32,A143,2,A172,1
A11,A75,4,4,66,A143,2,A174,1
A14,A73,1,2,32,A143,1,A173,1
A14,A74,3,2,30,A143,2,A173,1
A14,A74,4,3,35,A143,2,A173,1
A11,A72,2,3,27,A143,2,A173,1
A14,A75,4,4,41,A143,1,A172,1
A11,A75,1,4,27,A143,2,A172,1
A14,A74,1,1,37,A143,1,A173,1
A14,A74,4,3,40,A143,2,A173,1
A14,A72,4,1,30,A143,2,A173,1
