@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,9,A65,A75,64,1,A172,1
A12,12,A61,A72,49,2,A172,1
A12,12,A62,A72,27,1,A173,1
A11,6,A61,A74,31,1,A173,1
A14,15,A62,A75,34,1,A172,1
A14,6,A61,A74,24,2,A173,1
A14,18,A61,A75,47,3,A173,1
A12,12,A65,A71,24,1,A171,1
A13,24,A61,A73,26,1,A173,1
A14,15,A64,A74,20,1,A173,1
A11,30,A61,A75,39,1,A173,1
A12,18,A61,A75,32,1,A172,1
A14,24,A61,A72,27,2,A172,1
A12,9,A61,A74,67,2,A174,1
A14,6,A62,A75,42,1,A173,1
A14,24,A65,A74,43,2,A173,1
A11,15,A61,A73,28,1,A173,1
A14,24,A63,A75,26,1,A174,1
A14,24,A62,A73,29,1,A174,1
A13,4,A65,A72,29,1,A172,1
A11,10,A61,A75,52,1,A172,1
A14,30,A61,A74,38,1,A173,1
A12,24,A61,A72,33,1,A173,1
A14,18,A61,A74,34,2,A173,1
A11,18,A61,A72,36,1,A174,1
A14,60,A61,A75,42,1,A174,1
A14,24,A64,A73,43,2,A172,1
A14,21,A65,A75,46,1,A174,1
A11,21,A64,A72,29,1,A173,1
A14,10,A61,A73,38,1,A173,1
A12,15,A65,A75,50,2,A173,1
A14,24,A65,A72,25,2,A173,1
A11,24,A61,A74,34,1,A174,1
A12,36,A61,A74,24,1,A173,1
A11,18,A61,A74,31,1,A173,1
A14,12,A61,A73,27,2,A173,1
A11,36,A61,A71,43,1,A174,1
A14,24,A62,A73,25,1,A173,1
A12,12,A63,A73,26,1,A173,1
A14,12,A65,A74,23,2,A173,1
A14,15,A61,A74,33,1,A173,1
A14,24,A61,A74,50,1,A173,1
A14,24,A63,A73,44,2,A173,1
A14,10,A61,A73,64,1,A173,1
A14,36,A65,A73,30,1,A174,1
A14,24,A61,A72,47,3,A173,1
A12,48,A65,A74,24,1,A173,1
A14,48,A63,A74,37,1,A174,1
A12,36,A62,A75,30,1,A173,1
A14,15,A61,A73,43,1,A172,1
A12,13,A61,A72,23,2,A173,1
A14,28,A61,A75,29,2,A173,1
A14,6,A62,A73,27,2,A173,1
A14,12,A61,A72,29,1,A173,1
A11,18,A61,A74,32,2,A174,1
A12,24,A63,A71,23,1,A171,1
A14,12,A61,A75,57,3,A172,1
A12,20,A65,A74,36,2,A174,1
A12,11,A61,A74,51,1,A173,1
A14,22,A63,A75,40,1,A173,1
A11,12,A64,A73,31,1,A173,1
A12,36,A62,A74,31,2,A172,1
A12,8,A61,A74,44,1,A172,1
A13,10,A61,A72,23,1,A173,1
A14,60,A65,A75,63,1,A174,1
A12,21,A61,A73,47,2,A173,1
A14,18,A61,A72,26,1,A173,1
A11,11,A61,A73,40,2,A172,1
A11,12,A61,A71,55,1,A174,1
A11,21,A61,A75,65,2,A173,1
A14,42,A65,A74,29,1,A173,1
A14,12,A61,A73,52,1,A173,1
A12,36,A61,A73,34,2,A173,1
A13,12,A63,A71,66,3,A171,1
A13,6,A64,A72,27,1,A171,1
A12,15,A62,A73,22,1,A173,1
A11,9,A61,A74,59,1,A173,1
A12,18,A65,A73,61,1,A173,1
A14,10,A62,A73,35,1,A172,1
A14,20,A65,A72,44,2,A173,1
A14,42,A63,A73,36,2,A173,1
A14,36,A65,A73,35,1,A172,1
A13,6,A61,A73,74,3,A171,1
A12,12,A61,A74,27,1,A173,1
A11,6,A61,A73,36,1,A172,1
A12,12,A65,A75,38,2,A173,1
A14,24,A61,A72,38,1,A173,1
A12,12,A64,A73,22,1,A173,1
A14,24,A61,A73,74,1,A174,1
A12,21,A64,A74,32,2,A173,1
A11,11,A61,A73,36,2,A173,1
A14,18,A61,A73,30,1,A174,1
A14,30,A65,A74,36,2,A173,1
A14,12,A62,A73,28,1,A173,1
A14,10,A61,A72,23,2,A173,1
A14,12,A65,A71,38,1,A174,1
A13,12,A65,A75,55,1,A174,1
A13,18,A61,A75,23,1,A174,1
A14,12,A61,A73,35,2,A173,1
A11,18,A62,A74,30,1,A174,1
A11,18,A62,A73,35,1,A172,1
A14,12,A63,A75,42,2,A173,1
A14,33,A61,A73,26,2,A173,1
A11,6,A61,A72,41,1,A172,1
A14,15,A65,A73,40,1,A173,1
A14,36,A61,A75,45,2,A173,1
A11,24,A61,A73,22,1,A173,1
A12,27,A61,A75,30,2,A174,1
A13,10,A61,A72,37,1,A172,1
A11,15,A61,A71,23,1,A173,1
A12,24,A62,A74,38,2,A173,1
A12,18,A61,A72,27,2,A173,1
A12,18,A61,A71,67,1,A173,1
A14,6,A62,A73,52,2,A172,1
A11,6,A61,A74,37,2,A173,1
A14,36,A61,A75,28,1,A173,1
A12,20,A62,A75,31,2,A173,1
A12,24,A62,A75,30,1,A173,1
A14,12,A61,A73,24,1,A172,1
A11,20,A61,A75,24,2,A173,1
A14,12,A65,A73,21,1,A173,1
A13,12,A61,A73,23,1,A173,1
A14,12,A63,A73,44,1,A173,1
A12,12,A61,A74,26,1,A173,1
A11,24,A61,A73,63,1,A173,1
A12,12,A61,A73,22,1,A173,1
A14,6,A63,A73,62,1,A173,1
A14,36,A65,A75,45,1,A172,1
A14,13,A62,A71,64,1,A173,1
A12,12,A61,A72,34,1,A174,1
A14,15,A64,A74,30,2,A173,1
A14,60,A61,A74,21,2,A173,1
A11,30,A61,A73,40,1,A174,1
A14,30,A62,A73,26,2,A172,1
A14,18,A61,A73,36,2,A173,1
A14,15,A61,A73,31,2,A173,1
A13,6,A61,A75,46,2,A173,1
A12,9,A61,A73,24,1,A173,1
A14,18,A62,A73,24,1,A172,1
A14,24,A61,A74,35,2,A172,1
A14,21,A63,A74,31,1,A174,1
A11,18,A65,A73,23,2,A173,1
A12,24,A65,A73,42,2,A173,1
A14,18,A61,A71,65,2,A171,1
A12,48,A65,A71,40,1,A171,1
A14,24,A61,A71,27,2,A174,1
A14,12,A65,A75,49,1,A173,1
A14,9,A61,A73,32,1,A173,1
A12,48,A65,A73,48,1,A174,1
A14,10,A65,A75,45,1,A172,1
A12,36,A65,A72,29,1,A171,1
A11,18,A61,A74,25,1,A173,1
A14,12,A61,A73,25,1,A173,1
A14,15,A65,A72,24,1,A173,1
A11,12,A61,A73,29,1,A172,1
A14,6,A61,A72,56,1,A173,1
A14,27,A65,A75,48,4,A173,1
A11,6,A61,A73,37,3,A173,1
A14,60,A62,A74,21,1,A173,1
A14,36,A63,A75,36,1,A173,1
A14,14,A61,A73,27,2,A172,1
A12,18,A61,A73,44,1,A172,1
A14,48,A65,A75,38,2,A173,1
A12,16,A61,A71,68,3,A171,1
A12,36,A61,A72,30,1,A174,1
A12,18,A64,A72,36,1,A173,1
A11,21,A61,A74,26,1,A172,1
A12,12,A61,A73,23,1,A172,1
A14,48,A61,A73,27,1,A173,1
A12,9,A61,A73,22,1,A172,1
A11,9,A61,A73,36,2,A173,1
A14,24,A62,A73,27,2,A172,1
A14,6,A61,A73,29,1,A173,1
A13,15,A61,A72,23,1,A173,1
A11,24,A61,A73,27,1,A173,1
A12,12,A64,A75,54,1,A173,1
A14,7,A65,A75,46,2,A172,1
A14,36,A65,A75,42,2,A173,1
A11,30,A61,A75,38,3,A174,1
A14,24,A61,A74,25,1,A173,1
A14,12,A65,A75,52,1,A174,1
A12,7,A61,A72,45,1,A173,1
A11,15,A61,A75,27,2,A172,1
A14,4,A61,A74,42,3,A172,1
A11,6,A61,A72,27,1,A173,1
A14,24,A61,A75,54,2,A173,1
A14,9,A61,A73,48,3,A173,1
A14,36,A63,A75,39,1,A173,1
A12,18,A61,A73,25,1,A172,1
A12,18,A61,A73,33,2,A173,1
A13,24,A62,A75,47,1,A173,1
A14,12,A61,A75,42,1,A173,1
A11,18,A65,A74,23,2,A172,1
A12,12,A61,A72,26,1,A172,1
A11,36,A61,A73,37,1,A173,1
A14,30,A65,A75,63,2,A173,1
A12,6,A61,A71,35,2,A174,1
A14,18,A65,A73,29,2,A173,1
A14,18,A65,A74,32,1,A173,1
A14,27,A64,A73,27,2,A173,1
A11,42,A61,A71,65,2,A171,1
A12,10,A61,A73,23,1,A172,1
A11,24,A64,A75,57,2,A174,1
A14,6,A65,A73,27,2,A173,1
A14,24,A61,A73,35,2,A172,1
A14,12,A61,A73,30,2,A173,1
A14,30,A61,A73,33,1,A173,1
A12,18,A61,A73,21,1,A173,1
A14,36,A65,A75,37,2,A173,1
A13,24,A61,A72,26,1,A173,1
A12,15,A63,A73,27,1,A173,1
A14,18,A61,A73,24,2,A173,1
A13,30,A61,A75,47,1,A173,1
A11,9,A61,A73,25,1,A173,1
A11,24,A61,A73,21,1,A172,1
A14,12,A65,A74,61,1,A173,1
A11,42,A61,A74,45,1,A173,1
A14,12,A61,A74,36,1,A173,1
A12,36,A65,A73,27,1,A173,1
A12,12,A61,A75,40,2,A172,1
A12,18,A61,A75,41,1,A173,1
A14,12,A61,A75,52,3,A173,1
A14,15,A62,A72,23,1,A173,1
A11,24,A61,A72,24,1,A172,1
A12,8,A61,A72,26,1,A173,1
A12,24,A62,A72,29,1,A173,1
A14,18,A61,A75,33,2,A173,1
A13,18,A65,A74,49,1,A172,1
A14,6,A63,A73,32,1,A173,1
A14,6,A61,A75,39,1,A172,1
A11,15,A61,A73,25,2,A173,1
A14,24,A65,A73,48,1,A173,1
A12,9,A61,A75,37,3,A172,1
A14,9,A61,A71,31,1,A174,1
A14,39,A63,A73,24,1,A173,1
A14,18,A61,A72,32,1,A173,1
A11,27,A61,A75,43,4,A174,1
A14,24,A61,A73,33,2,A173,1
A11,6,A61,A72,40,1,A172,1
A14,15,A63,A73,20,1,A173,1
A12,9,A61,A75,27,2,A172,1
A14,9,A63,A75,51,1,A172,1
A14,30,A65,A75,58,1,A173,1
A12,36,A61,A73,54,1,A173,1
A14,24,A61,A72,26,1,A173,1
A14,9,A63,A75,52,2,A173,1
A14,12,A64,A74,55,1,A173,1
A14,24,A65,A75,25,2,A173,1
A14,36,A65,A73,36,1,A173,1
A11,15,A61,A73,22,1,A172,1
A12,6,A61,A75,28,1,A173,1
A13,12,A61,A72,26,1,A173,1
A14,24,A62,A72,33,1,A173,1
A11,12,A65,A73,23,1,A173,1
A14,9,A61,A73,26,1,A173,1
A11,24,A61,A73,28,1,A173,1
A14,12,A65,A75,35,2,A173,1
A14,18,A61,A73,47,2,A173,1
A14,12,A61,A75,63,2,A172,1
A11,12,A61,A74,58,4,A172,1
A11,12,A61,A73,39,2,A172,1
A11,6,A62,A75,43,1,A173,1
A11,6,A61,A71,36,3,A174,1
A11,24,A61,A72,22,1,A173,1
A14,15,A63,A73,47,2,A172,1
A14,36,A62,A74,31,2,A173,1
A13,24,A65,A73,31,2,A173,1
A14,24,A63,A75,32,1,A173,1
A11,15,A61,A73,25,2,A173,1
A14,24,A64,A74,34,1,A173,1
A14,12,A61,A73,27,2,A173,1
A14,24,A65,A72,54,1,A173,1
A14,24,A61,A75,62,1,A173,1
A14,24,A65,A75,41,1,A174,1
A12,30,A61,A72,22,1,A173,1
A14,36,A65,A73,25,1,A173,1
A14,24,A61,A75,33,1,A173,1
A14,18,A61,A73,43,1,A173,1
A12,12,A61,A73,31,1,A172,1
A14,15,A65,A74,33,1,A172,1
A14,18,A61,A73,32,1,A174,1
A14,24,A61,A74,38,1,A174,1
A12,48,A65,A71,36,1,A174,1
A12,6,A61,A74,28,1,A172,1
A11,12,A61,A73,27,1,A172,1
A13,36,A61,A73,23,1,A173,1
A12,24,A65,A73,37,2,A174,1
A14,12,A61,A72,22,2,A172,1
A14,6,A61,A74,45,2,A174,1
A14,4,A61,A74,37,1,A173,1
A14,24,A61,A73,32,1,A173,1
A11,12,A61,A73,38,1,A172,1
A14,18,A61,A73,26,2,A173,1
A14,24,A62,A75,52,2,A173,1
A14,12,A61,A75,39,1,A174,1
A12,30,A62,A75,41,2,A173,1
A11,18,A61,A72,22,1,A173,1
A12,6,A61,A72,30,1,A174,1
A12,36,A61,A73,35,1,A174,1
A11,12,A61,A75,45,1,A172,1
A12,12,A62,A74,39,1,A172,1
A14,4,A61,A72,23,1,A172,1
A12,48,A63,A72,30,2,A173,1
A14,10,A61,A75,32,2,A172,1
A14,21,A61,A75,36,1,A174,1
A14,18,A65,A72,21,1,A173,1
A11,6,A63,A71,23,1,A171,1
A14,12,A61,A74,31,1,A172,1
A14,24,A61,A72,28,1,A173,1
A11,12,A61,A73,24,1,A172,1
A14,24,A65,A74,43,2,A173,1
A13,30,A65,A75,49,2,A172,1
A14,12,A61,A73,26,1,A173,1
A14,9,A65,A75,41,2,A172,1
A13,15,A61,A75,40,1,A174,1
A12,11,A64,A73,40,2,A173,1
A14,10,A62,A73,32,1,A173,1
A13,12,A61,A73,46,1,A172,1
A14,24,A63,A75,31,1,A173,1
A14,6,A63,A75,45,1,A172,1
A11,15,A61,A72,36,1,A173,1
A12,18,A63,A72,25,1,A173,1
A11,6,A65,A71,75,1,A174,1
A12,30,A65,A75,25,1,A173,1
A13,10,A61,A75,63,2,A173,1
A12,12,A61,A74,47,2,A172,1
A14,12,A61,A75,34,2,A173,1
A14,18,A61,A74,27,2,A173,1
A14,24,A61,A74,35,2,A173,1
A14,12,A62,A74,51,2,A173,1
A11,24,A62,A74,32,1,A173,1
A14,48,A65,A75,47,1,A173,1
A12,24,A65,A73,48,1,A172,1
A14,12,A61,A75,61,2,A172,1
A14,12,A61,A73,50,1,A173,1
A14,6,A63,A73,24,1,A173,1
A11,21,A65,A74,24,1,A172,1
A13,24,A61,A75,51,1,A173,1
A12,9,A61,A73,27,1,A173,1
A14,12,A61,A75,38,2,A172,1
A14,36,A61,A73,31,2,A173,1
A11,24,A61,A75,44,2,A174,1
A14,36,A65,A75,51,1,A173,1
A14,15,A63,A74,36,2,A173,1
A14,6,A61,A71,54,1,A171,1
A14,48,A65,A75,32,2,A173,1
A11,20,A65,A74,39,1,A173,1
A11,12,A61,A75,54,1,A173,1
A14,11,A62,A71,57,3,A172,1
A14,15,A65,A73,29,1,A173,1
A14,6,A63,A73,50,1,A173,1
A12,15,A62,A73,25,1,A172,1
A14,5,A61,A74,74,1,A172,1
A12,9,A65,A72,35,1,A171,1
A12,6,A65,A75,38,1,A173,1
A14,21,A62,A74,34,2,A174,1
A14,36,A61,A73,34,2,A173,1
A11,21,A61,A72,28,1,A174,1
A14,24,A61,A73,37,1,A173,1
A14,6,A65,A73,34,2,A172,1
A12,42,A61,A74,41,2,A172,1
A12,30,A65,A75,36,2,A173,1
A11,12,A61,A73,21,1,A172,1
A14,24,A61,A74,25,1,A173,1
A14,15,A63,A75,47,1,A173,1
A12,12,A65,A73,30,1,A173,1
A14,24,A62,A74,23,1,A173,1
A14,24,A65,A73,32,2,A173,1
A12,24,A62,A74,36,1,A174,1
A14,24,A65,A71,26,1,A174,1
A11,24,A65,A75,49,1,A173,1
A11,18,A61,A72,21,1,A173,1
A14,6,A61,A74,29,1,A173,1
A12,6,A65,A74,39,2,A172,1
A14,12,A61,A73,29,2,A174,1
A14,15,A65,A75,35,1,A173,1
A14,12,A61,A73,32,2,A173,1
A14,30,A65,A75,40,2,A173,1
A12,20,A61,A73,29,2,A173,1
A12,24,A64,A75,29,1,A173,1
A12,24,A65,A75,42,1,A173,1
A14,12,A64,A74,61,1,A172,1
A14,12,A61,A73,41,1,A173,1
A12,24,A62,A74,23,2,A173,1
A12,18,A62,A73,34,1,A173,1
A11,24,A61,A71,75,2,A174,1
A12,18,A61,A74,40,1,A173,1
A14,12,A62,A74,35,1,A173,1
A14,12,A65,A75,57,1,A172,1
A14,48,A61,A73,31,1,A173,1
A11,36,A61,A71,30,1,A174,1
A11,6,A65,A72,44,2,A172,1
A11,47,A61,A72,35,1,A172,1
A14,24,A64,A75,34,1,A173,1
A14,15,A61,A73,30,1,A173,1
