@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,7,9-11,17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,4870,A73,A93,A101,4,A173,2
A14,9055,A73,A93,A101,4,A172,1
A12,5234,A71,A94,A101,2,A174,2
A12,1567,A73,A92,A101,1,A173,1
A11,1403,A73,A92,A101,4,A173,1
A13,1474,A72,A92,A101,1,A174,1
A14,6110,A73,A93,A101,3,A173,1
A13,2100,A73,A93,A102,2,A173,2
A12,6468,A71,A93,A101,1,A174,2
A14,2394,A73,A92,A101,4,A173,1
A12,7057,A74,A93,A101,4,A174,1
A14,10144,A74,A92,A101,4,A173,1
A11,860,A75,A92,A101,4,A173,1
A14,1262,A74,A93,A101,3,A173,1
A14,909,A75,A93,A101,4,A173,1
A12,1414,A73,A93,A103,2,A173,1
A11,2577,A73,A91,A101,1,A173,1
A12,4455,A73,A91,A101,2,A174,2
A11,1647,A73,A93,A101,2,A172,2
A12,3844,A74,A93,A101,4,A172,2
A12,3915,A73,A93,A101,2,A173,2
A11,6568,A73,A94,A101,2,A172,1
A13,1908,A75,A93,A101,4,A174,2
A11,3021,A73,A91,A101,2,A172,1
A11,7865,A75,A93,A101,4,A174,2
A13,4210,A73,A93,A101,2,A173,2
A11,2522,A75,A93,A103,3,A173,1
A11,4605,A75,A93,A101,4,A173,2
A14,1258,A74,A93,A101,1,A173,1
A11,8978,A75,A91,A101,4,A174,2
A12,3060,A74,A93,A101,4,A173,2
A12,9398,A72,A94,A101,4,A174,2
A12,4351,A73,A92,A101,4,A172,1
A14,5801,A75,A93,A101,4,A173,1
A13,4473,A75,A93,A101,2,A173,1
A12,1239,A73,A93,A101,4,A173,1
A14,1542,A74,A93,A101,4,A173,1
A14,2146,A72,A92,A101,3,A173,1
A14,2320,A71,A94,A101,3,A173,1
A12,1887,A73,A94,A101,4,A173,1
A11,1053,A72,A94,A101,2,A173,1
A14,2782,A74,A92,A101,2,A174,1
A14,1313,A75,A93,A101,4,A173,1
A14,3448,A74,A93,A101,4,A172,1
A14,1244,A75,A92,A101,4,A172,1
A11,1659,A72,A92,A101,2,A172,2
A14,5507,A75,A93,A101,4,A173,1
A14,1503,A74,A93,A101,1,A172,1
A13,2864,A73,A93,A101,1,A172,2
A12,2278,A72,A92,A101,3,A173,2
A14,5003,A73,A92,A101,4,A173,2
A13,683,A72,A92,A101,1,A173,1
A11,1372,A74,A91,A101,3,A173,2
A14,5954,A74,A93,A102,2,A173,1
A12,1056,A75,A93,A103,3,A173,2
A11,2799,A73,A93,A101,2,A173,1
A14,1572,A75,A92,A101,4,A172,1
A14,4526,A73,A93,A101,2,A174,1
A13,1240,A75,A92,A101,4,A172,2
A11,3676,A73,A93,A101,3,A173,1
A14,1980,A72,A92,A102,2,A173,2
A14,7980,A72,A93,A101,4,A173,2
A11,7476,A74,A93,A101,1,A174,1
A12,888,A75,A93,A101,4,A172,2
A12,1050,A71,A93,A101,1,A174,1
A14,5742,A74,A93,A101,2,A173,1
A12,2896,A72,A93,A101,1,A173,1
A14,1236,A73,A93,A101,4,A173,1
A13,1377,A75,A92,A101,2,A173,1
A12,6560,A74,A93,A101,2,A173,2
A13,3148,A73,A93,A101,2,A173,1
A12,433,A72,A92,A101,2,A173,2
A14,250,A73,A92,A101,2,A172,1
A12,6403,A72,A93,A101,2,A173,1
A12,760,A74,A92,A103,2,A172,1
A13,1299,A73,A93,A101,1,A171,1
A13,1271,A73,A93,A101,4,A173,2
A11,2124,A73,A92,A101,4,A173,2
A14,2223,A75,A93,A101,4,A173,1
A12,3872,A71,A92,A101,4,A173,1
A12,4933,A74,A93,A103,2,A173,2
A12,6468,A71,A91,A101,4,A174,1
A14,6313,A75,A93,A101,4,A174,1
A14,1258,A72,A92,A101,4,A172,1
A14,1338,A73,A91,A101,4,A173,1
A12,3976,A74,A93,A101,3,A173,1
A11,1364,A74,A93,A101,4,A173,1
A14,2221,A73,A92,A101,4,A173,1
A11,3590,A73,A93,A102,2,A172,1
A14,9277,A73,A91,A101,4,A173,1
A12,2825,A74,A93,A101,3,A173,1
A12,3711,A73,A94,A101,2,A173,1
A14,4454,A73,A92,A101,4,A173,1
A12,2063,A72,A94,A101,3,A174,1
A12,3590,A71,A94,A101,3,A171,1
A12,1154,A75,A93,A101,4,A172,1
A12,2353,A73,A91,A101,4,A173,1
A13,2923,A73,A92,A101,1,A174,1
A11,1433,A73,A92,A101,3,A173,1
A11,1936,A74,A94,A101,4,A172,1
