@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,18,A42,A64,4,A101,28,A201,1
A14,15,A43,A62,4,A101,34,A201,1
A11,20,A42,A65,4,A101,39,A201,1
A11,12,A42,A61,4,A101,22,A201,1
A12,9,A42,A65,2,A101,24,A201,1
A11,18,A43,A61,4,A101,32,A201,1
A14,10,A41,A65,1,A101,31,A201,1
A14,18,A49,A62,3,A101,24,A201,1
A14,6,A43,A61,1,A101,24,A201,1
A12,12,A43,A61,1,A101,22,A201,1
A11,36,A42,A61,1,A103,37,A201,1
A14,24,A40,A61,2,A103,31,A201,1
A11,12,A41,A61,4,A101,66,A201,1
A14,18,A43,A65,4,A101,29,A201,1
A14,12,A40,A65,4,A101,38,A201,1
A14,12,A43,A61,2,A101,26,A201,1
A14,12,A42,A61,4,A101,43,A201,1
A12,24,A41,A64,2,A101,29,A201,1
A14,24,A48,A61,4,A101,27,A201,1
A14,27,A49,A61,3,A101,26,A201,1
A11,12,A40,A61,4,A103,29,A201,1
A14,36,A41,A65,3,A101,31,A201,1
A14,18,A42,A61,4,A101,28,A201,1
A14,18,A43,A61,4,A101,24,A201,1
A14,18,A40,A61,4,A101,36,A201,1
A14,24,A45,A61,4,A101,33,A201,1
A12,18,A40,A61,3,A101,28,A201,1
A12,60,A43,A65,1,A101,27,A201,1
A14,24,A40,A61,4,A101,60,A201,1
A11,12,A40,A61,4,A101,38,A202,1
A12,6,A49,A62,1,A101,31,A201,1
A14,18,A43,A65,4,A101,21,A201,1
A12,12,A40,A63,3,A101,36,A201,1
A11,30,A41,A61,3,A101,38,A201,1
A14,12,A41,A61,4,A101,41,A201,1
A14,36,A46,A65,2,A101,35,A201,1
A14,12,A40,A61,4,A101,49,A201,1
A12,15,A49,A63,2,A101,27,A201,1
A14,24,A41,A61,4,A101,41,A201,1
A14,24,A43,A61,3,A101,47,A201,1
A12,9,A40,A65,4,A101,35,A201,1
A11,24,A43,A61,2,A101,28,A201,1
A11,12,A43,A61,2,A101,20,A201,1
A14,12,A40,A61,1,A101,38,A201,1
A14,22,A40,A65,4,A101,25,A201,1
A11,24,A41,A61,3,A103,63,A201,1
A11,6,A40,A61,4,A101,37,A202,1
A11,18,A42,A61,4,A101,21,A201,1
A14,24,A41,A64,2,A101,28,A201,1
A12,18,A46,A65,4,A101,61,A201,1
A11,6,A43,A61,1,A101,31,A201,1
A13,15,A49,A61,2,A101,26,A201,1
