@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6,8,10,13,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,12,A43,A64,2,A101,61,A201,1
A11,24,A43,A62,4,A101,32,A201,2
A14,10,A42,A65,2,A101,26,A202,1
A13,12,A43,A64,3,A101,42,A201,1
A11,30,A41,A62,1,A101,24,A201,1
A14,12,A43,A62,4,A102,28,A201,1
A12,48,A49,A61,2,A101,25,A201,2
A14,27,A45,A65,4,A101,48,A201,1
A12,42,A49,A61,2,A101,41,A201,1
A14,24,A43,A65,1,A101,44,A201,2
A11,18,A40,A62,4,A101,30,A201,1
A12,18,A49,A62,4,A101,34,A201,1
A14,24,A40,A62,4,A101,41,A201,1
A13,6,A40,A64,2,A101,27,A202,1
A11,36,A42,A61,3,A103,28,A201,1
A11,21,A40,A61,4,A101,65,A201,1
A14,24,A42,A64,4,A101,50,A201,1
A12,18,A40,A61,4,A101,36,A201,2
A12,9,A41,A61,2,A101,74,A201,2
A12,9,A46,A61,2,A101,34,A201,2
A11,18,A49,A61,3,A101,31,A201,1
A13,36,A43,A61,2,A101,23,A201,1
A12,18,A43,A61,4,A103,25,A201,1
A14,24,A43,A61,4,A101,38,A201,1
A14,24,A43,A65,4,A101,25,A201,1
A14,9,A43,A61,1,A101,32,A201,1
A11,24,A41,A61,2,A101,44,A201,1
A13,42,A41,A61,4,A101,56,A201,1
A14,12,A46,A61,4,A101,32,A201,1
A12,60,A40,A62,4,A101,24,A201,2
A14,48,A41,A62,2,A101,24,A201,2
A14,15,A43,A61,4,A101,43,A201,1
A14,12,A43,A65,1,A102,49,A201,1
A11,48,A49,A61,2,A103,37,A201,2
A14,18,A40,A61,2,A101,30,A201,1
A12,12,A42,A64,1,A101,19,A201,1
A12,39,A46,A62,2,A101,32,A201,1
A12,12,A40,A61,1,A101,46,A201,2
A14,18,A43,A61,3,A101,39,A201,1
A14,24,A43,A63,3,A101,26,A201,1
A14,36,A41,A61,2,A101,35,A201,1
A14,28,A43,A61,4,A101,29,A201,1
A11,42,A45,A61,4,A102,65,A201,1
A12,20,A410,A61,2,A101,29,A201,1
A14,12,A42,A61,2,A101,34,A201,1
A11,11,A40,A61,2,A101,36,A201,1
A11,6,A44,A61,4,A101,27,A201,1
A11,15,A40,A61,2,A101,36,A201,1
A14,33,A49,A61,2,A101,26,A201,1
A12,24,A43,A62,3,A101,22,A201,2
A11,18,A42,A61,1,A101,26,A201,2
A14,15,A42,A64,3,A101,30,A201,1
A11,24,A40,A61,4,A101,24,A201,2
A12,26,A41,A61,2,A101,30,A201,1
A13,21,A46,A61,2,A101,33,A201,2
A11,12,A43,A61,4,A101,24,A201,2
A12,9,A46,A61,4,A101,67,A201,1
A14,24,A46,A65,3,A101,33,A201,1
A14,9,A42,A61,4,A101,26,A201,1
A12,24,A40,A65,4,A101,42,A201,1
A14,18,A40,A61,2,A101,31,A201,2
A14,18,A43,A61,4,A101,33,A201,1
A13,24,A40,A61,4,A101,38,A201,2
A12,18,A42,A61,2,A101,41,A201,1
A14,24,A410,A61,4,A102,27,A201,1
A13,30,A43,A61,4,A101,47,A201,1
A14,24,A49,A62,3,A101,27,A201,1
A14,60,A40,A61,2,A101,42,A201,1
A14,15,A43,A61,4,A101,33,A201,1
A14,60,A40,A65,4,A101,34,A201,1
A11,12,A40,A64,1,A101,31,A201,1
A14,18,A43,A63,4,A101,32,A201,1
A14,30,A41,A65,1,A101,63,A201,1
A13,9,A43,A61,4,A101,34,A201,2
A11,18,A43,A61,4,A101,25,A201,2
A11,13,A49,A61,3,A101,28,A201,1
A14,30,A43,A61,4,A101,25,A201,1
A14,36,A41,A64,4,A101,38,A201,1
A12,12,A48,A61,2,A101,31,A201,1
A14,48,A41,A65,4,A101,38,A201,1
A14,9,A42,A62,2,A101,22,A201,1
A14,24,A40,A65,4,A101,54,A201,1
A11,48,A40,A61,4,A101,46,A201,2
A12,36,A40,A61,2,A101,54,A201,1
A14,24,A43,A61,4,A102,46,A201,1
A11,20,A40,A61,4,A103,33,A202,2
A11,15,A40,A61,3,A101,29,A201,2
A14,27,A42,A64,4,A101,32,A201,1
A14,36,A43,A61,4,A101,28,A201,1
A11,12,A46,A61,4,A101,53,A201,2
A12,48,A49,A61,2,A101,23,A201,2
A14,28,A41,A65,3,A103,40,A201,1
A12,36,A41,A61,3,A101,34,A201,1
A11,24,A42,A62,1,A101,33,A201,2
A14,30,A43,A65,4,A101,58,A201,1
A12,9,A43,A61,4,A101,22,A201,2
A13,9,A43,A61,3,A101,28,A201,2
A11,36,A49,A61,2,A101,24,A201,2
A14,24,A43,A63,3,A101,35,A201,2
A14,24,A40,A61,4,A101,47,A201,2
