@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,9,12-13,16,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A11,30,8072,A93,A123,25,3,1
A11,6,1374,A93,A121,36,1,1
A11,60,6836,A93,A124,63,2,2
A11,24,4020,A93,A123,27,1,1
A12,9,1391,A94,A121,27,1,1
A14,18,1568,A92,A122,24,1,1
A12,36,2337,A93,A121,36,1,1
A14,18,6458,A93,A124,39,2,2
A11,12,1680,A94,A121,35,1,1
A11,33,4281,A92,A123,23,2,2
A11,21,1835,A92,A121,25,2,2
A11,36,6887,A93,A122,29,1,2
A12,36,4795,A92,A124,30,1,1
A14,21,2288,A92,A122,23,1,1
A14,6,1346,A93,A124,42,1,1
A12,24,1935,A91,A121,31,2,2
A14,12,1963,A93,A123,31,2,1
A14,15,1360,A93,A122,31,2,1
A14,9,3074,A93,A121,33,2,1
A12,6,14555,A93,A122,23,1,2
A11,18,5302,A93,A124,36,3,1
A14,12,1402,A92,A123,37,1,1
A11,47,10722,A92,A121,35,1,1
A13,24,3749,A92,A123,26,1,1
A11,12,708,A93,A122,38,1,1
A11,18,2659,A93,A123,28,1,1
A14,24,1525,A92,A123,34,1,1
A12,6,1068,A93,A123,28,1,1
A11,21,3599,A92,A123,26,1,1
A14,6,1743,A93,A121,34,2,1
A12,24,1246,A93,A121,23,1,2
A11,18,3650,A92,A123,22,1,1
A14,18,2238,A92,A123,25,2,1
A11,12,2578,A92,A124,55,1,1
A13,12,939,A94,A121,28,3,2
A14,10,1597,A93,A124,40,1,1
A11,18,1190,A92,A124,55,3,2
A11,6,1872,A93,A124,36,3,1
A13,12,609,A92,A121,26,1,2
A12,15,1512,A94,A122,61,2,2
A11,24,2924,A93,A124,63,1,1
A12,24,1201,A93,A122,26,1,1
A14,36,4686,A93,A124,32,1,1
A14,24,3488,A92,A123,23,1,1
A14,12,1503,A94,A121,41,1,1
A14,24,1311,A94,A122,26,1,1
A11,6,1374,A92,A122,75,1,1
A14,24,2032,A93,A124,60,2,1
A14,48,8858,A93,A124,35,2,1
A11,24,3552,A93,A123,27,1,2
A11,24,2964,A93,A124,49,1,1
A11,24,1546,A93,A123,24,1,2
A12,36,12389,A93,A124,37,1,2
A12,48,3979,A93,A123,41,2,1
A12,12,2930,A92,A121,27,1,1
A12,36,2384,A93,A124,33,1,2
A11,18,2039,A92,A121,20,1,2
A11,12,2246,A93,A122,60,2,2
A12,7,2329,A92,A121,45,1,1
A14,36,3349,A92,A123,28,1,2
A11,24,3632,A92,A123,22,1,1
A14,15,4623,A93,A122,40,1,2
A11,24,2303,A93,A121,45,1,2
A14,24,5150,A93,A123,33,1,1
A11,15,975,A91,A122,25,2,1
A12,12,1103,A93,A121,29,2,1
A12,24,11560,A92,A123,23,2,2
A11,39,14179,A93,A122,30,2,1
A14,24,2463,A94,A122,27,2,1
A12,12,1155,A94,A121,40,2,1
A11,18,3509,A92,A121,25,1,1
A12,12,836,A92,A122,23,1,2
A12,18,1941,A93,A122,35,1,1
A12,21,1188,A92,A122,39,1,2
A11,18,1345,A94,A121,26,1,2
A11,36,2712,A93,A122,41,1,2
A11,18,3966,A92,A121,33,3,2
A11,18,1216,A92,A123,23,1,2
A11,45,11816,A93,A123,29,2,2
A14,12,3331,A93,A122,42,1,1
A14,15,874,A92,A121,24,1,1
A11,9,1422,A93,A124,27,1,2
A14,24,7814,A93,A123,38,1,1
A12,30,2181,A93,A121,36,2,1
A14,36,6614,A93,A123,34,2,1
A11,12,2171,A93,A122,38,2,1
A14,20,3485,A91,A121,44,2,1
A14,24,1278,A93,A121,36,1,1
A11,12,1107,A93,A121,20,1,1
A14,10,2848,A93,A121,32,1,1
A14,48,12749,A93,A123,37,1,1
A14,24,6842,A93,A122,46,2,1
A14,12,3527,A93,A122,45,1,1
A14,10,1546,A93,A121,31,1,1
A14,4,1455,A93,A121,42,3,1
A12,48,8358,A92,A123,30,2,1
A14,12,2859,A93,A124,38,1,1
A11,24,1231,A92,A122,57,2,1
A12,24,3069,A93,A124,30,1,1
A14,30,2831,A92,A123,33,1,1
