@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,A34,A62,3,A173,1
A11,A34,A61,4,A172,1
A12,A34,A61,4,A172,1
A14,A34,A61,4,A174,1
A12,A32,A61,4,A172,1
A13,A34,A65,4,A172,1
A13,A32,A61,3,A174,1
A14,A34,A65,2,A173,1
A11,A32,A61,4,A173,1
A11,A34,A61,4,A171,1
A11,A32,A61,2,A173,1
A14,A32,A64,3,A173,1
A14,A32,A65,1,A172,1
A11,A34,A61,4,A172,1
A14,A34,A63,4,A173,1
A11,A32,A61,1,A173,1
A14,A32,A65,2,A173,1
A14,A32,A65,4,A173,1
A12,A32,A61,4,A173,1
A12,A33,A61,2,A173,1
A11,A32,A61,1,A173,1
A14,A32,A63,3,A173,1
A14,A32,A62,3,A173,1
A14,A34,A65,2,A173,1
A14,A32,A61,3,A173,1
A14,A34,A64,2,A173,1
A12,A32,A61,2,A172,1
A12,A34,A61,1,A172,1
A11,A31,A61,1,A173,1
A14,A32,A65,2,A174,1
A14,A34,A65,4,A172,1
A14,A34,A65,3,A173,1
A14,A34,A65,3,A173,1
A14,A34,A61,4,A173,1
A14,A32,A62,4,A172,1
A13,A32,A61,1,A172,1
A14,A34,A61,1,A173,1
A14,A34,A61,4,A173,1
A14,A34,A63,4,A173,1
A11,A32,A61,2,A174,1
A11,A31,A62,2,A173,1
A14,A32,A65,4,A173,1
A11,A34,A61,1,A173,1
A12,A30,A62,3,A173,1
A14,A32,A65,4,A173,1
A14,A34,A65,4,A173,1
A14,A31,A65,3,A173,1
A14,A32,A65,1,A173,1
A13,A31,A65,4,A172,1
A14,A32,A65,1,A173,1
A14,A34,A61,2,A173,1
A14,A33,A62,2,A173,1
A14,A32,A65,1,A173,1
A14,A34,A65,4,A174,1
A13,A30,A61,2,A173,1
A12,A32,A61,2,A173,1
A14,A32,A65,2,A172,1
A12,A32,A64,4,A173,1
A14,A34,A61,3,A173,1
A12,A32,A63,4,A172,1
A13,A32,A61,3,A173,1
A14,A32,A61,4,A173,1
A14,A32,A65,2,A173,1
A14,A32,A61,4,A173,1
A13,A32,A61,2,A173,1
A14,A34,A62,3,A172,1
A14,A32,A65,3,A173,1
A13,A32,A61,2,A173,1
A11,A34,A61,4,A172,1
A12,A32,A61,4,A173,1
A11,A34,A61,2,A174,1
A14,A34,A65,4,A173,1
A14,A32,A62,4,A173,1
A12,A32,A62,4,A173,1
A14,A32,A61,3,A172,1
A11,A34,A61,1,A173,1
A12,A32,A65,3,A171,1
A14,A32,A62,4,A174,1
A14,A34,A63,2,A172,1
A12,A30,A65,2,A174,1
A14,A32,A64,2,A172,1
A11,A32,A61,4,A173,1
A14,A32,A61,4,A174,1
A14,A32,A62,2,A173,1
A14,A34,A61,4,A173,1
A14,A32,A61,2,A174,1
A11,A34,A61,3,A172,1
A11,A34,A61,4,A173,1
A14,A32,A65,4,A173,1
A14,A32,A61,2,A173,1
A14,A34,A61,3,A174,1
A14,A32,A61,2,A173,1
A12,A34,A61,3,A171,1
A14,A32,A64,4,A172,1
A12,A34,A61,4,A173,1
A11,A32,A65,4,A173,1
A14,A34,A61,2,A172,1
A14,A32,A65,4,A174,1
A14,A32,A61,3,A173,1
A12,A32,A62,3,A172,1
A14,A34,A61,4,A173,1
A13,A34,A62,2,A173,1
A11,A32,A61,2,A173,1
A13,A34,A65,3,A173,1
A11,A32,A61,4,A172,1
A13,A32,A63,3,A172,1
A14,A34,A61,2,A172,1
A14,A32,A61,1,A173,1
A13,A32,A61,1,A172,1
A14,A33,A62,1,A172,1
A14,A34,A61,3,A173,1
A11,A32,A61,3,A172,1
A14,A32,A61,4,A173,1
A12,A32,A65,2,A173,1
A12,A34,A62,3,A173,1
A11,A32,A61,1,A173,1
A12,A31,A65,3,A171,1
A12,A34,A61,2,A173,1
A12,A32,A64,4,A172,1
A11,A32,A61,4,A173,1
A14,A33,A61,3,A173,1
A14,A31,A61,1,A173,1
A12,A34,A61,1,A172,1
A11,A32,A65,1,A173,1
A14,A32,A62,1,A173,1
A14,A32,A61,3,A173,1
A12,A32,A62,2,A173,1
A11,A34,A61,1,A172,1
A13,A33,A61,2,A173,1
A14,A34,A65,4,A173,1
A14,A32,A61,4,A173,1
A14,A34,A64,4,A173,1
A14,A30,A65,2,A172,1
A14,A34,A65,4,A173,1
A14,A32,A61,4,A172,1
A11,A34,A61,1,A173,1
A14,A32,A61,4,A173,1
A12,A32,A61,4,A172,1
A12,A31,A61,1,A174,1
A12,A32,A61,4,A173,1
A14,A34,A64,3,A173,1
A11,A34,A61,4,A172,1
A12,A33,A62,1,A173,1
A14,A33,A65,4,A173,1
A14,A32,A61,4,A174,1
A14,A34,A61,2,A172,1
A14,A32,A61,2,A173,1
A14,A34,A65,1,A173,1
A12,A32,A61,4,A173,1
A12,A32,A63,3,A173,1
A12,A34,A61,4,A173,1
A12,A32,A61,3,A173,1
A11,A34,A61,4,A173,1
A14,A32,A61,1,A172,1
A14,A32,A61,1,A172,1
A14,A34,A61,1,A173,1
A14,A33,A64,3,A173,1
A11,A32,A61,4,A172,1
A14,A34,A61,2,A173,1
A12,A32,A61,4,A173,1
A14,A33,A63,4,A174,1
A12,A32,A61,2,A173,1
A11,A34,A65,1,A172,1
A12,A33,A65,4,A173,1
A12,A32,A61,3,A172,1
A14,A34,A63,4,A173,1
A14,A34,A61,2,A173,1
A14,A34,A61,4,A173,1
A13,A34,A61,1,A171,1
A14,A33,A65,3,A173,1
A14,A34,A65,4,A172,1
A14,A32,A61,2,A174,1
A14,A32,A65,2,A172,1
A14,A32,A61,3,A173,1
A14,A34,A62,1,A173,1
A12,A32,A63,1,A171,1
A11,A34,A61,2,A174,1
A11,A32,A61,4,A173,1
A14,A34,A61,4,A171,1
A14,A32,A65,4,A173,1
A13,A32,A61,4,A173,1
A12,A32,A62,2,A172,1
A14,A34,A61,3,A173,1
A14,A33,A61,4,A173,1
A11,A32,A61,3,A174,1
A12,A32,A61,4,A173,1
A12,A30,A61,1,A173,1
A14,A34,A61,2,A173,1
A11,A32,A64,4,A173,1
A14,A34,A61,2,A172,1
A12,A32,A61,4,A172,1
A14,A33,A65,3,A173,1
A14,A32,A61,2,A173,1
A14,A34,A61,4,A172,1
A14,A34,A61,4,A173,1
A12,A33,A65,4,A173,1
A14,A34,A64,2,A172,1
A11,A34,A61,4,A174,1
A12,A32,A61,4,A173,1
