@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11,13-14,16-17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,A73,3,4,53,A143,2,A173,2
A14,A73,2,4,35,A143,1,A172,1
A12,A71,4,2,28,A143,2,A174,2
A12,A73,1,1,22,A143,1,A173,1
A11,A73,2,4,28,A143,1,A173,1
A13,A72,4,1,33,A141,1,A174,1
A14,A73,1,3,31,A141,1,A173,1
A13,A73,4,2,37,A142,1,A173,2
A12,A71,2,1,52,A143,1,A174,2
A14,A73,4,4,25,A143,1,A173,1
A12,A74,3,4,36,A141,2,A174,1
A14,A74,2,4,21,A143,1,A173,1
A11,A75,1,4,39,A143,2,A173,1
A14,A74,4,3,36,A143,2,A173,1
A14,A75,4,4,36,A143,1,A173,1
A12,A73,4,2,33,A143,1,A173,1
A11,A73,2,1,42,A143,1,A173,1
A12,A73,2,2,30,A142,2,A174,2
A11,A73,4,2,40,A143,2,A172,2
A12,A74,4,4,34,A143,1,A172,2
A12,A73,4,2,36,A143,1,A173,2
A11,A73,2,2,21,A142,1,A172,1
A13,A75,4,4,66,A143,1,A174,2
A11,A73,2,2,24,A143,1,A172,1
A11,A75,4,4,53,A143,1,A174,2
A13,A73,4,2,26,A143,1,A173,2
A11,A75,1,3,39,A143,1,A173,1
A11,A75,3,4,24,A143,2,A173,2
A14,A74,4,1,25,A143,1,A173,1
A11,A75,1,4,45,A143,1,A174,2
A12,A74,4,4,28,A143,2,A173,2
A12,A72,1,4,28,A143,1,A174,2
A12,A73,1,4,48,A143,1,A172,1
A14,A75,2,4,49,A143,1,A173,1
A13,A75,4,2,31,A143,1,A173,1
A12,A73,4,4,61,A143,1,A173,1
A14,A74,2,4,36,A143,1,A173,1
A14,A72,1,3,23,A143,2,A173,1
A14,A71,2,3,34,A143,2,A173,1
A12,A73,4,4,28,A141,2,A173,1
A11,A72,4,2,27,A143,1,A173,1
A14,A74,1,2,31,A141,1,A174,1
A14,A75,1,4,20,A143,1,A173,1
A14,A74,1,4,74,A143,1,A172,1
A14,A75,4,4,41,A143,2,A172,1
A11,A72,4,2,29,A143,1,A172,2
A14,A75,3,4,44,A143,2,A173,1
A14,A74,2,1,42,A143,2,A172,1
A13,A73,2,1,34,A143,1,A172,2
A12,A72,3,3,28,A143,2,A173,2
A14,A73,1,4,29,A141,2,A173,2
A13,A72,2,1,29,A141,1,A173,1
A11,A74,2,3,36,A143,1,A173,2
A14,A74,3,2,38,A143,1,A173,1
A12,A75,3,3,30,A141,2,A173,2
A11,A73,2,2,36,A143,2,A173,1
A14,A75,4,4,36,A141,1,A172,1
A14,A73,3,2,74,A143,1,A174,1
A13,A75,1,4,48,A143,1,A172,2
A11,A73,1,3,37,A143,3,A173,1
A14,A72,2,2,19,A143,2,A173,2
A14,A72,4,4,27,A143,2,A173,2
A11,A74,4,1,50,A143,1,A174,1
A12,A75,4,4,41,A141,1,A172,2
A12,A71,4,1,35,A142,2,A174,1
A14,A74,2,2,31,A143,2,A173,1
A12,A72,2,1,29,A143,1,A173,1
A14,A73,2,4,50,A143,1,A173,1
A13,A75,4,2,47,A143,1,A173,1
A12,A74,3,2,24,A143,1,A173,2
A13,A73,3,2,31,A143,2,A173,1
A12,A72,4,2,24,A141,1,A173,2
A14,A73,2,2,41,A141,2,A172,1
A12,A72,1,2,33,A143,1,A173,1
A12,A74,4,2,44,A143,1,A172,1
A13,A73,1,1,74,A143,3,A171,1
A13,A73,3,4,39,A143,2,A173,2
A11,A73,4,4,24,A143,2,A173,2
A14,A75,4,4,52,A141,2,A173,1
A12,A71,2,4,67,A143,1,A173,1
A12,A74,2,2,25,A143,2,A173,2
A12,A71,1,4,60,A143,1,A174,1
A14,A75,3,4,41,A143,1,A174,1
A14,A72,2,4,22,A143,2,A172,1
A14,A73,1,4,62,A143,1,A173,1
A12,A74,2,3,35,A143,1,A173,1
A11,A74,3,4,59,A143,1,A173,1
A14,A73,2,4,20,A143,1,A173,1
A11,A73,2,2,29,A143,1,A172,1
A14,A73,2,4,48,A143,1,A173,1
A12,A74,4,3,34,A143,2,A173,1
A12,A73,2,2,27,A143,1,A173,1
A14,A73,4,4,34,A143,2,A173,1
A12,A72,4,3,30,A143,1,A174,1
A12,A71,3,3,40,A143,3,A171,1
A12,A75,2,4,37,A143,3,A172,1
A12,A73,1,4,47,A143,2,A173,1
A13,A73,1,1,28,A141,1,A174,1
A11,A73,4,3,25,A143,2,A173,1
A11,A74,2,4,23,A143,2,A172,1
