@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,6,1204,A93,A124,35,1,1
A14,18,1169,A93,A122,29,2,1
A13,24,1275,A91,A121,36,2,1
A14,18,1582,A93,A123,46,2,1
A12,48,3566,A93,A123,30,1,1
A11,12,1344,A93,A121,43,2,1
A14,12,640,A91,A121,49,1,1
A14,24,2670,A93,A123,35,1,1
A11,6,343,A92,A121,27,1,1
A13,15,1905,A93,A123,40,1,1
A12,24,5743,A92,A124,24,2,1
A11,6,428,A92,A122,49,1,1
A11,10,2315,A93,A121,52,1,1
A12,6,454,A94,A122,22,1,1
A14,15,5045,A92,A123,59,1,1
A11,12,701,A94,A121,40,1,1
A14,12,2073,A92,A121,28,1,1
A12,24,1965,A92,A123,42,2,1
A14,21,5248,A93,A123,26,1,1
A12,16,1175,A93,A123,68,3,1
A12,12,3017,A92,A121,34,1,1
A12,15,2631,A92,A121,25,1,1
A14,12,1736,A92,A121,31,1,1
A14,24,9277,A91,A124,48,1,1
A14,36,3342,A93,A123,51,1,1
A14,24,5507,A93,A124,44,2,1
A13,30,3017,A93,A122,47,1,1
A12,9,2118,A93,A121,37,1,1
A12,12,754,A93,A122,38,2,1
A14,24,4139,A93,A122,27,2,1
A11,14,3973,A93,A124,22,1,1
A14,6,700,A93,A124,36,2,1
A14,12,3059,A91,A121,61,1,1
A14,30,4811,A92,A122,24,1,1
A14,24,1469,A94,A121,41,1,1
A11,15,2511,A92,A123,23,1,1
A14,15,1300,A93,A124,45,1,1
A13,6,2116,A93,A121,41,1,1
A13,12,2247,A92,A123,36,2,1
A12,12,6078,A93,A123,32,1,1
A11,6,1361,A93,A121,40,1,1
A11,12,1657,A93,A121,27,1,1
A13,6,1047,A92,A122,50,1,1
A11,6,1352,A92,A122,23,1,1
A12,12,1007,A94,A121,22,1,1
A12,42,5954,A92,A121,41,2,1
A14,36,9055,A93,A124,35,1,1
A12,12,3124,A93,A121,49,2,1
A13,42,4796,A93,A124,56,1,1
A14,9,2406,A93,A123,31,1,1
A13,9,1126,A91,A121,49,1,1
A12,18,1795,A92,A121,48,2,1
A14,18,1817,A92,A124,28,2,1
A14,15,1532,A92,A123,31,1,1
A14,12,2141,A93,A124,35,1,1
A14,6,1898,A93,A121,34,2,1
A14,10,1924,A93,A122,38,1,1
A12,8,1414,A93,A121,33,1,1
A11,24,2957,A93,A122,63,2,1
A14,12,701,A93,A123,32,2,1
A14,36,6304,A93,A121,36,2,1
A11,9,1364,A93,A121,59,1,1
A12,12,841,A92,A121,23,1,1
A14,12,804,A93,A123,38,1,1
A14,12,2390,A93,A123,50,1,1
A11,24,6568,A94,A123,21,1,1
A14,24,4526,A93,A121,74,1,1
A14,15,3556,A93,A124,29,1,1
A14,4,1503,A93,A121,42,2,1
A12,24,2760,A93,A124,36,1,1
A14,24,2603,A92,A123,28,1,1
A14,24,3235,A91,A123,26,1,1
A14,10,1364,A92,A123,64,1,1
A11,18,8471,A92,A123,23,2,1
A14,12,2171,A92,A123,29,1,1
A14,21,2476,A93,A121,46,1,1
A14,12,2331,A93,A121,49,1,1
A11,36,3959,A93,A122,30,1,1
A11,12,652,A92,A122,24,1,1
A12,24,4712,A93,A122,37,2,1
A13,18,3049,A92,A122,45,1,1
A14,24,1559,A93,A123,50,1,1
A12,11,1577,A92,A121,20,1,1
A11,27,2442,A93,A123,43,4,1
A12,11,1322,A92,A123,40,2,1
A14,7,730,A93,A122,46,2,1
A14,15,960,A92,A122,30,2,1
A11,12,2122,A93,A121,39,2,1
A14,24,2679,A92,A124,29,1,1
A12,18,3872,A92,A123,67,1,1
A11,9,1288,A93,A121,48,2,1
A11,24,3021,A91,A121,24,1,1
A12,42,9283,A93,A124,55,1,1
A14,24,1552,A93,A123,32,1,1
A11,20,2212,A93,A123,39,1,1
A11,6,860,A92,A124,39,2,1
A12,18,2899,A93,A123,43,1,1
A14,12,5801,A93,A122,49,1,1
A14,12,4675,A92,A123,20,1,1
A12,36,2862,A93,A124,30,1,1
A11,12,3651,A93,A122,31,1,1
A11,36,3249,A93,A124,39,1,1
A12,30,2991,A92,A123,25,1,1
A12,18,6361,A93,A124,41,1,1
A11,18,2389,A92,A123,27,1,1
A14,36,9566,A92,A123,31,2,1
A14,21,2782,A92,A123,31,1,1
A14,12,2012,A92,A123,61,1,1
A12,21,3976,A93,A123,35,1,1
A14,6,362,A92,A123,52,2,1
A14,18,1984,A93,A124,47,2,1
A14,12,776,A94,A121,28,1,1
A14,12,2279,A93,A124,37,1,1
A12,12,1804,A93,A122,44,1,1
A14,12,930,A93,A121,65,4,1
A12,24,4351,A92,A122,48,1,1
A12,18,4439,A93,A121,33,1,1
A14,24,1901,A93,A123,29,1,1
A14,10,727,A93,A124,46,1,1
A14,24,2375,A93,A123,44,2,1
A14,24,1249,A94,A121,28,1,1
A14,9,2753,A93,A123,35,1,1
A13,6,1323,A91,A123,28,2,1
A14,24,5433,A92,A122,26,1,1
A12,20,6148,A94,A123,31,2,1
A12,12,2028,A93,A123,30,1,1
A14,24,1927,A92,A123,33,2,1
A14,36,8947,A93,A123,31,1,1
A13,10,1225,A93,A123,37,1,1
A12,60,7418,A93,A121,27,1,1
A14,6,660,A94,A121,23,1,1
A11,24,2812,A92,A121,26,1,1
A13,24,3148,A93,A123,31,2,1
A14,12,717,A93,A121,52,3,1
A14,60,6527,A93,A124,34,1,1
A14,24,3863,A93,A124,32,1,1
A14,21,3160,A93,A122,41,1,1
A12,8,907,A94,A121,26,1,1
A12,15,1444,A93,A122,23,1,1
A11,8,731,A93,A121,47,2,1
A11,10,2241,A93,A121,48,2,1
A14,60,15653,A93,A123,21,2,1
A13,36,3913,A93,A121,23,1,1
A14,12,1240,A92,A121,38,2,1
A11,12,1858,A92,A123,22,1,1
A11,12,1893,A92,A122,29,1,1
A14,15,5324,A92,A124,35,1,1
A14,14,802,A93,A123,27,2,1
A14,12,1655,A93,A121,63,2,1
A14,6,1740,A94,A121,30,2,1
A14,30,5771,A92,A123,25,2,1
A12,24,2333,A93,A122,29,1,1
A12,12,1158,A91,A123,26,1,1
A12,48,12204,A93,A123,48,1,1
A12,8,760,A92,A121,44,1,1
A14,48,3609,A92,A121,27,1,1
A12,18,1113,A92,A121,26,1,1
A14,6,932,A92,A121,24,1,1
A12,12,625,A94,A121,26,1,1
A14,9,2697,A93,A121,32,1,1
A14,24,2684,A93,A121,35,2,1
A12,13,882,A93,A121,23,2,1
A14,21,2241,A93,A121,50,2,1
A14,30,5954,A93,A123,38,1,1
A11,12,2214,A93,A122,24,1,1
A13,6,709,A94,A121,27,1,1
A11,6,1203,A93,A122,43,1,1
A12,24,3878,A91,A123,37,1,1
A12,48,6681,A93,A124,38,1,1
A14,42,7166,A94,A122,29,1,1
A13,15,2360,A93,A123,36,1,1
A12,18,7374,A93,A122,40,2,1
A14,24,1376,A92,A123,28,1,1
A13,15,392,A92,A122,23,1,1
A14,33,7253,A93,A123,35,2,1
A13,12,1330,A93,A121,26,1,1
A14,36,4454,A92,A121,34,2,1
A11,21,3763,A93,A121,24,1,1
A12,12,1037,A93,A121,39,1,1
A12,18,1913,A94,A121,36,1,1
A14,24,1258,A93,A121,25,1,1
A14,30,4530,A92,A123,26,1,1
A14,18,1453,A92,A121,26,1,1
A14,9,1224,A93,A121,30,2,1
A14,24,3972,A92,A122,25,1,1
A14,15,1213,A93,A122,47,1,1
A12,12,958,A93,A121,47,2,1
A14,27,8613,A93,A123,27,2,1
A12,36,3711,A94,A123,27,1,1
A14,15,4657,A93,A123,30,1,1
A14,12,1262,A93,A123,25,1,1
A12,21,3652,A93,A122,27,2,1
A14,15,3812,A92,A123,23,1,1
A14,12,1076,A94,A121,26,1,1
A12,9,790,A92,A121,66,1,1
A14,36,2394,A92,A123,25,1,1
A14,24,3062,A93,A124,32,1,1
A11,30,4583,A91,A121,32,2,1
A14,6,783,A93,A121,26,1,1
A12,12,1318,A93,A121,54,1,1
A11,15,806,A92,A122,22,1,1
A11,24,2483,A93,A121,22,1,1
A11,24,1755,A92,A121,58,1,1
